Date,Team,Score,Opp,Opp Score
10/4/2014,McLennan CC,54,Mtn View,46
10/5/2014,Ancilla,51,Malcolm X,24
10/11/2014,Highland CC IL,69,Lewis & Clark CC,60
10/12/2014,Sinclair CC,53,Ancilla,48
10/18/2014,Lewis & Clark CC,60,Black Hawk-E,50
10/18/2014,NE OK A&M,49,Dodge City CC,31
10/21/2014,Durham,69,Loyalist,62
10/21/2014,Sheridan ON,95,Niagara ON,84
10/22/2014,George Brown,81,Seneca,78
10/22/2014,St Clair,80,Lambton,78
10/22/2014,Centennial Col,104,Fleming,92
10/23/2014,Humber,97,Mohawk,77
10/23/2014,Rochester MI,84,Redeemer,51
10/24/2014,Carroll MT,63,Valley City St,60
10/24/2014,Simpson CA,84,Eastern Oregon,81
10/24/2014,Southeastern FL,85,Florida Col,67
10/25/2014,Durham,98,Canadore,85
10/25/2014,St Lawrence ON,87,Georgian,83
10/25/2014,Fanshawe,92,Sheridan ON,82
10/25/2014,Jamestown,73,Carroll MT,64
10/25/2014,Rocky Mtn,71,Dickinson St ND,39
10/25/2014,Eastern Oregon,83,Simpson CA,77
10/25/2014,MT Western,90,Walla Walla,53
10/25/2014,Rochester MI,65,Redeemer,51
10/26/2014,Canadore,99,Fleming,84
10/26/2014,Georgian,81,Loyalist,68
10/26/2014,Lambton,88,Niagara ON,80
10/26/2014,Rocky Mtn,80,Walla Walla,41
10/26/2014,MT Western,94,Dickinson St ND,80
10/27/2014,Spartanburg Meth,125,Davidson Co CC,99
10/27/2014,Wm Jessup,94,Menlo,81
10/27/2014,TN Temple,95,Fisk,92
10/28/2014,Cumberlands KY,85,IN Southeast,72
10/28/2014,Rochester MI,56,MI Dearborn,34
10/28/2014,Thomas GA,100,Point,68
10/28/2014,ME Augusta,89,Unity,88
10/28/2014,Warner,78,Florida Col,55
10/28/2014,Humber,98,Redeemer,72
10/29/2014,Xavier LA,93,Belhaven MS,82
10/29/2014,Dakota St,86,Waldorf,70
10/29/2014,Doane,85,KS Wesleyan,73
10/29/2014,Philander Smith,82,Texas Col,75
10/29/2014,Lawrence Tech,57,Calumet-St Jos,50
10/29/2014,Lambton,75,Fanshawe,62
10/30/2014,Benedictine-Spfld,86,Lincoln Chr,55
10/30/2014,Morningside,86,Grandview,78
10/30/2014,N New Mexico,102,St Mary KS,100
10/30/2014,Wm Carey,79,Tougaloo,76
10/31/2014,Arizona Chr,103,St Xavier IL,86
10/31/2014,Bacone,75,Oklahoma S&A,72
10/31/2014,Bethel IN,113,Northwestern OH,84
10/31/2014,Trinity IL,81,Clarke,67
10/31/2014,Cumberlands KY,66,St Thomas FL,52
10/31/2014,Dordt,84,Jamestown,68
10/31/2014,St Gregory's,91,Evangel,79
10/31/2014,Indiana-East,77,Purdue-N Cent,46
10/31/2014,Morningside,112,William Penn,100
10/31/2014,Loyalist,106,Fleming,83
10/31/2014,Durham,80,St Lawrence ON,59
10/31/2014,Algonquin,68,Seneca,65
10/31/2014,Otero JC,67,NM Military,63
10/31/2014,North Idaho,67,W Wyoming CC,53
10/31/2014,Trinity Valley CC,91,Midland,79
10/31/2014,E Florida St,85,Clinton JC,48
10/31/2014,Coffeyville CC,76,StL CC-Meramec,61
10/31/2014,Howard Col,80,Carl Albert,68
10/31/2014,Tyler JC,101,SW Chr TX,98
10/31/2014,Columbia St,70,Olney,64
10/31/2014,Wallace St,63,S Georgia Tech,60
10/31/2014,Chipola,90,Atlanta Metro,79
10/31/2014,St Petersburg,68,Marion Mil,57
10/31/2014,Sandhills CC,94,Frederick CC,72
10/31/2014,Three Rivers,101,Kalamazoo Val,95
10/31/2014,Cuyahoga CC,107,Malcolm X,91
10/31/2014,John Wood CC,72,Highland CC IL,65
10/31/2014,Iowa Western CC,97,Ark Baptist,82
10/31/2014,Daytona St,86,SE Illinois,76
10/31/2014,North Platte CC,103,Clarendon,59
10/31/2014,Mid-South CC,90,Kaskaskia,82
10/31/2014,Lamar St,80,Gulf Coast CC,76
10/31/2014,Northeastern JC,59,Cent Wyoming,57
10/31/2014,Pratt CC,85,Brown Mackie,72
10/31/2014,Faulkner St,86,Delgado CC,68
10/31/2014,Pensacola St,89,Enterprise St,62
10/31/2014,Motlow St,104,Snead St,86
10/31/2014,NW Florida St,106,Volunteer St,59
10/31/2014,Barton Co,97,Fort Scott CC,76
10/31/2014,Northwest WY,97,Eastern Wyoming,91
10/31/2014,N OK-Enid,81,Seward Co,74
10/31/2014,McLennan CC,87,Southern-Shreve,49
10/31/2014,Salt Lake CC,90,Tohono O'odham,74
10/31/2014,Kirkwood CC,78,Parkland,62
10/31/2014,Elgin CC,49,Lincoln Land,42
10/31/2014,Cincinnati St Tech,79,IL Central,75
10/31/2014,Danville CC,91,Columbus St CC,67
10/31/2014,Hostos CC,85,Jefferson CC,64
10/31/2014,Sprfld Tech CC,81,Rockland CC,65
10/31/2014,Manitoba,84,Trinity Western,56
10/31/2014,Calgary,77,Winnipeg,64
10/31/2014,Univ Lethbridge,85,Brandon,82
10/31/2014,Saskatchewan,72,Alberta,60
10/31/2014,Victoria,72,Regina,63
10/31/2014,Bellevue,86,Hastings,71
10/31/2014,Brewton-Parker,98,Morris SC,83
10/31/2014,Voorhees,95,Coastal GA,91
10/31/2014,Col of Idaho,89,Walla Walla,71
10/31/2014,Concordia NE,85,KS Wesleyan,72
10/31/2014,IN Wesleyan,104,OK Wesleyan,60
10/31/2014,Oregon Tech,95,Menlo,75
10/31/2014,Albany Tech,81,AL Southern,77 O1
10/31/2014,Hill Col,80,Richland,78
10/31/2014,USC Salkehatchie,69,Florida St-Jax,57
10/31/2014,Hutchinson CC,81,Trinidad St JC,64
10/31/2014,Colorado NW,83,United Tribes,81
10/31/2014,Rock Valley,71,Lincoln Col,63
10/31/2014,Sauk Valley CC,79,Prairie St,64
10/31/2014,Queensborough,72,Mohawk Val,70
10/31/2014,Campbellsville,71,Benedictine KS,61
10/31/2014,Goshen,89,Brescia,80
10/31/2014,Briar Cliff,90,Grandview,70
10/31/2014,Cincinnati Chr,91,Marygrove,78
10/31/2014,Grace IN,89,Concordia MI,71
10/31/2014,Texas Col,83,Dillard,80
10/31/2014,Faulkner,87,Point,60
10/31/2014,Friends,63,York NE,53
10/31/2014,Olivet Naz,88,Indiana Tech,49
10/31/2014,St Ambrose,94,IU Kokomo,79
10/31/2014,St Mary KS,93,J&W CO,76
10/31/2014,Mt Mercy,84,Judson IL,63
10/31/2014,N New Mexico,102,Univ of Southwest,95
10/31/2014,Warner Pacific,78,Simpson CA,57
10/31/2014,Jackson St CC,117,N Arkansas,74
10/31/2014,IN S Bend,86,Silver Lake,75
10/31/2014,Mt Vernon Naz,69,Andrews,52
10/31/2014,Milligan,96,King's NY,31
11/1/2014,St Gregory's,96,Bacone,93
11/1/2014,Lyon,67,Blue Mtn,59
11/1/2014,Brewton-Parker,94,Voorhees,91
11/1/2014,Evangel,88,Oklahoma S&A,67
11/1/2014,Northwestern OH,72,Goshen,69
11/1/2014,Indiana-East,89,OK Wesleyan,70
11/1/2014,Jamestown,76,Northwestern IA,70
11/1/2014,Spring Arbor,65,Lourdes,63
11/1/2014,Midland,68,Mayville St,62
11/1/2014,TX Wesleyan,103,Texas Col,87
11/1/2014,Centennial Col,86,St Lawrence ON,68
11/1/2014,George Brown,60,Algonquin,37
11/1/2014,Fanshawe,91,Redeemer,70
11/1/2014,Seneca,79,La Cite,56
11/1/2014,Georgian,83,Canadore,70
11/1/2014,Sheridan ON,105,Sault,47
11/1/2014,Humber,93,Cambrian,67
11/1/2014,Mohawk,120,St Clair,111
11/1/2014,Washington Advt,75,Oakwood,68
11/1/2014,South Plains,80,Weatherford,63
11/1/2014,Harcum Col,135,Stevens Tech PA,69
11/1/2014,Broward CC,86,Polk CC,80
11/1/2014,Midland,92,Carl Albert,81
11/1/2014,USC Salkehatchie,73,Marion Mil,67
11/1/2014,E Florida St,91,SE Illinois,54
11/1/2014,Jackson St CC,87,Mid-South CC,70
11/1/2014,Daytona St,86,Clinton JC,46
11/1/2014,Cuyahoga CC,77,Kennedy-King,73
11/1/2014,Dodge City CC,69,Fort Scott CC,43
11/1/2014,Lincoln Land,61,Truman Col,37
11/1/2014,Wallace St,64,Atlanta Metro,50
11/1/2014,Tyler JC,107,Brookhaven,85
11/1/2014,Lee TX,73,Western Texas,55
11/1/2014,McCook CC,127,Clarendon,100
11/1/2014,Lawson St,82,Wallace CC-Selma,75
