TEAM,CONFERENCE,
Albany,America East,
Binghamton,America East,
Hartford,America East,
Maine,America East,
New Hampshire,America East,
Stony Brook,America East,
UMass Lowell,America East,
UMBC,America East,
Vermont,America East,
Cincinnati,American,
Connecticut,American,
East Carolina,American,
Houston,American,
Memphis,American,
SMU,American,
South Florida,American,
Temple,American,
Tulane,American,
Tulsa,American,
UCF,American,
Davidson,Atlantic 10,
Dayton,Atlantic 10,
Duquesne,Atlantic 10,
Fordham,Atlantic 10,
George Mason,Atlantic 10,
George Washington,Atlantic 10,
La Salle,Atlantic 10,
Massachusetts,Atlantic 10,
Rhode Island,Atlantic 10,
Richmond,Atlantic 10,
Saint Joseph's,Atlantic 10,
Saint Louis,Atlantic 10,
St. Bonaventure,Atlantic 10,
Virginia Commonwealth,Atlantic 10,
Boston College,ACC,
Clemson,ACC,
Duke,ACC,
Florida St,ACC,
Georgia Tech,ACC,
Louisville,ACC,
Miami (FL),ACC,
NC State,ACC,
North Carolina,ACC,
Notre Dame,ACC,
Pittsburgh,ACC,
Syracuse,ACC,
Virginia,ACC,
Virginia Tech,ACC,
Wake Forest,ACC,
Florida Gulf Coast,Atlantic Sun,
Jacksonville,Atlantic Sun,
Kennesaw St,Atlantic Sun,
Lipscomb,Atlantic Sun,
North Florida,Atlantic Sun,
Northern Kentucky,Atlantic Sun,
South Carolina Upstate,Atlantic Sun,
Stetson,Atlantic Sun,
Baylor,Big 12,
Iowa State,Big 12,
Kansas,Big 12,
Kansas St,Big 12,
Oklahoma,Big 12,
Oklahoma St,Big 12,
TCU,Big 12,
Texas,Big 12,
Texas Tech,Big 12,
West Virginia,Big 12,
Butler,Big East,
Creighton,Big East,
DePaul,Big East,
Georgetown,Big East,
Marquette,Big East,
Providence,Big East,
Seton Hall,Big East,
St. John's,Big East,
Villanova,Big East,
Xavier,Big East,
Eastern Washington,Big Sky,
Idaho,Big Sky,
Idaho State,Big Sky,
Montana,Big Sky,
Montana St,Big Sky,
North Dakota,Big Sky,
Northern Arizona,Big Sky,
Northern Colorado,Big Sky,
Portland St,Big Sky,
Sacramento St,Big Sky,
Southern Utah,Big Sky,
Weber State,Big Sky,
Campbell,Big South,
High Point,Big South,
Liberty,Big South,
Longwood,Big South,
Radford,Big South,
Charleston Southern,Big South,
Coastal Carolina,Big South,
Gardner-Webb,Big South,
Presbyterian,Big South,
UNC Asheville,Big South,
Winthrop,Big South,
Illinois,Big Ten,
Indiana,Big Ten,
Iowa,Big Ten,
Maryland,Big Ten,
Michigan,Big Ten,
Michigan St,Big Ten,
Minnesota,Big Ten,
Nebraska,Big Ten,
Northwestern,Big Ten,
Ohio State,Big Ten,
Penn State,Big Ten,
