Date,Visitor.Team,Visitor.Score,Home.Team,Home.Score,Neutral,Spread,
1-Dec-14,Virginia,75,North Carolina,64,,1,
1-Dec-14,UW-Green Bay,71,Wright St,58,,6.5,
1-Dec-14,Iowa St,76,Kansas,89,,-7,
1-Dec-14,American U.,57,Holy Cross MA,50,,-3.5,
1-Dec-14,Alabama A&M,65,Texas Southern,68,,-13,
1-Dec-14,Morgan St,67,Coppin St,80,,-4.5,
1-Dec-14,St John's NY,62,Butler,85,,-6,
1-Dec-14,Indiana,78,Wisconsin,92,,-16,
1-Dec-14,Northern Iowa,61,Indiana St,51,,6,
1-Dec-14,Georgia,58,Kentucky,69,,-18,
1-Dec-14,Mississippi St,71,Tennessee,66,,-9,
1-Dec-14,Northwestern,60,Nebraska,76,,-7.5,
1-Dec-14,St Joseph's PA,61,St Louis U.,68,,0,
1-Dec-14,Florida Atlantic,56,Florida Int'l,64,,-4.5,
1-Dec-14,North Carolina St,84,Wake Forest,88,,1,
1-Dec-14,Evansville,51,Illinois St,77,,-6,
1-Dec-14,West Virginia,52,Oklahoma,71,,-5.5,
1-Dec-14,Louisville,63,Miami FL,55,,4.5,
1-Dec-14,South Carolina,55,Arkansas,75,,-8,
1-Dec-14,Florida,61,Vanderbilt,67,,2.5,
1-Dec-14,Seton Hall,62,DePaul,75,,2.5,
1-Dec-14,Virginia Tech,70,Syracuse,72,,-11,
1-Dec-14,Rutgers,54,Illinois,66,,-11,
1-Dec-14,Boise St,68,Utah St,63,,1.5,
1-Dec-14,UNC-Greensboro,85,VMI,56,,-7,
1-Dec-14,Temple,61,South Florida,48,,7.5,
1-Dec-14,Ohio State,58,Purdue,60,,1,
1-Dec-14,VA Commonwealth,72,George Mason,60,,-10,
1-Dec-14,Marquette,52,Villanova,70,,-14,
1-Dec-14,Hofstra,79,Delaware,69,,6,
1-Dec-14,Towson,62,Northeastern,69,,-9,
1-Dec-14,UNC-Wilmington,77,James Madison,65,,-4,
1-Dec-14,East Carolina,52,Connecticut,65,,-14,
1-Dec-14,Bowling Green,76,Central Michigan,74,,-4.5,
1-Dec-14,Buffalo,82,Ball St,78,,5.5,
1-Dec-14,Kent St,66,Western Michigan,67,,-5,
1-Dec-14,Akron,82,Ohio U.,83,,3.5,
1-Dec-14,Youngstown St,60,Cleveland St,73,,-14.5,
1-Dec-14,Northern Illinois,69,Miami OH,67,,-1.5,
1-Dec-14,Georgia Tech,66,Duke,72,,-14,
1-Dec-14,Boston College,63,Notre Dame,71,,-12.5,
1-Dec-14,Wichita St,62,Bradley,59,,-16,
1-Dec-14,Penn St,58,Maryland,64,,-8,
1-Dec-14,TCU,57,Baylor,77,,-8,
1-Dec-14,Creighton,79,Xavier OH,72,,-13.5,
1-Dec-14,Clemson,62,Florida St,56,,-2.5,
1-Dec-14,Iowa,72,Michigan,54,,2,
1-Dec-14,Tulsa,57,Houston,44,,6.5,
1-Dec-14,Rice,55,Marshall,69,,-4.5,
1-Dec-14,Drexel,67,Elon,63,,-4,
Feb-15,Dayton,64,George Washington,65,,-3.5,
Feb-15,Dartmouth,66,Yale,81,,-7.5,
Feb-15,Harvard,52,Yale,50,,-1.5,
Feb-15,High Point,60,Coastal Carolina,65,,-3,
Feb-15,Niagara NY,61,Marist,63,,-6.5,
Feb-15,Siena,83,Iona,87,,-10.5,
Feb-15,Princeton,74,Columbia NY,62,,-3.5,
Feb-15,Wake Forest,59,Georgia Tech,73,,-5.5,
Feb-15,Illinois,59,Michigan St,54,,-10,
Feb-15,Baylor,87,West Virginia,69,,-5.5,
Feb-15,Buffalo,72,Akron,75,,-2.5,
Feb-15,Delaware,73,Northeastern,68,,-10.5,
Feb-15,Marquette,57,Seton Hall,54,,-5.5,
Feb-15,Creighton,66,St John's NY,84,,-7,
Feb-15,Tennessee,53,Georgia,56,,-6,
Feb-15,Providence RI,69,Xavier OH,78,,-6.5,
Feb-15,Notre Dame,60,Duke,90,,-9.5,
Feb-15,Temple,61,Memphis,60,,-3.5,
Feb-15,Georgetown DC,53,Villanova,69,,-9.5,
Feb-15,Kansas,62,Oklahoma St,67,,1.5,
Feb-15,Texas Tech,38,Iowa St,75,,-17.5,
Feb-15,Western Michigan,65,Central Michigan,70,,-6.5,
Feb-15,Wyoming,50,Air Force,73,,-1,
Feb-15,Illinois St,59,Southern Illinois,65,,5,
Feb-15,Bradley,56,Evansville,53,,-8,
7-Feb-15,James Madison,63,Towson,61,,-3,
7-Feb-15,Wright St,72,Cleveland St,88,,-10,
7-Feb-15,VA Commonwealth,71,St Bonaventure,73,,2,
7-Feb-15,Toledo,72,Ball St,61,,5,
7-Feb-15,Oklahoma,68,TCU,56,,3.5,
7-Feb-15,Purdue,58,Minnesota,62,,-5,
7-Feb-15,Southern Miss,68,Alabama-Birmingham,78,,-13.5,
7-Feb-15,Florida St,73,Virginia Tech,65,,1,
7-Feb-15,North Carolina,79,Boston College,68,,9.5,
7-Feb-15,DePaul,73,Butler,83,,-13,
7-Feb-15,Troy,62,Appalachian St,65,,-3.5,
7-Feb-15,St Louis U.,65,Fordham,83,,-1,
7-Feb-15,George Mason,54,St Joseph's PA,58,,-6,
7-Feb-15,Indiana St,79,Loyola-Chicago,65,,-3,
7-Feb-15,Brigham Young,87,Loyola Marymount,68,,8,
7-Feb-15,UNLV,82,Colorado St,83,,-9.5,
7-Feb-15,Mississippi St,41,Arkansas,61,,-15,
7-Feb-15,Syracuse,77,Pittsburgh,83,,-3.5,
7-Feb-15,Nebraska,43,Penn St,56,,-4,
7-Feb-15,Arizona,78,Arizona St,81,,8.5,
7-Feb-15,Georgia St,65,South Alabama,54,,10.5,
7-Feb-15,Central Florida,49,East Carolina,67,,-5,
7-Feb-15,Northwestern,50,Wisconsin,65,,-19.5,
7-Feb-15,Connecticut,62,Tulane,53,,5,
7-Feb-15,Louisville,47,Virginia,52,,-7,
1-Dec-14,Nebraska,70,Florida St,65,,2.5,
1-Dec-14,East Tennessee St,63,Morehead St,59,,-6.5,
1-Dec-14,Oral Roberts,61,Weber St,62,,-5.5,
2-Dec-14,Pittsburgh,69,Indiana,81,,-2.5,
2-Dec-14,Massachusetts,60,LSU,82,,-2.5,
2-Dec-14,Syracuse,65,Michigan,68,,-4,
2-Dec-14,Brigham Young,91,Utah St,81,,6.5,
2-Dec-14,Minnesota,84,Wake Forest,69,,4.5,
3-Dec-14,UNLV,55,Arizona St,77,,-7,
3-Dec-14,Toledo,59,Cleveland St,54,,-2.5,
3-Dec-14,East Carolina,63,Florida Atlantic,72,,-3,
3-Dec-14,Old Dominion,75,George Mason,69,,4,
3-Dec-14,Dayton,66,Miami OH,62,,9.5,
3-Dec-14,Iowa,60,North Carolina,55,,-7.5,
4-Dec-14,Western Illinois,49,Akron,73,,-11.5,
4-Dec-14,Morehead St,48,Alabama-Birmingham,58,,-1,
4-Dec-14,Arkansas,77,Iowa St,95,,-6.5,
4-Dec-14,TCU,66,Mississippi,54,,-6,
5-Dec-14,Providence RI,60,Boston College,69,,2.5,
5-Dec-14,Yale,45,Connecticut,44,,-8.5,
5-Dec-14,Florida,65,Kansas,71,,-8,
5-Dec-14,Texas,51,Kentucky,63,,-12.5,
6-Dec-14,Gonzaga,63,Arizona,66,,-4.5,
6-Dec-14,Central Florida,73,Florida St,96,,-12.5,
6-Dec-14,Wisconsin,49,Marquette,38,,12,
6-Dec-14,Rutgers,54,Seton Hall,81,,-9.5,
6-Dec-14,La Salle,57,Temple,58,N,-2.5,
6-Dec-14,Kansas St,64,Tennessee,65,,-2,
6-Dec-14,Arizona St,71,Texas A&M,72,,-6.5,
7-Dec-14,Colorado,57,Georgia,64,,-4.5,
7-Dec-14,Eastern Kentucky,49,Kentucky,82,,-25.5,
7-Dec-14,Creighton,65,Nebraska,55,,-7,
7-Dec-14,California,63,Nevada,56,,8,
7-Dec-14,East Carolina,64,North Carolina,108,,-22.5,
8-Dec-14,North Dakota,56,Minnesota,92,,-21,
8-Dec-14,Brown,77,Providence RI,67,,-15.5,
9-Dec-14,Utah Valley St,56,Arizona,87,,-27.5,
9-Dec-14,Eastern Michigan,45,Michigan,42,,-14.5,
9-Dec-14,Illinois,59,Villanova,73,N,-6,
10-Dec-14,Colorado St,62,Colorado,60,,-5.5,
10-Dec-14,Kansas,75,Georgetown DC,70,,-2,
10-Dec-14,Arkansas St,46,Purdue,87,,-18,
11-Dec-14,Wright St,79,Belmont,71,,-4,
11-Dec-14,DePaul,68,George Washington,81,,-10,
