Team,League,Division,Conference,League,
Abilene Christian,NCAA,I,SC,Southland,
Academy of Art,NCAA,II,W,PacWest,
Acadia,CIS,Atl,*,CIS-Atlantic,
Adams St,NCAA,II,NC,RMAC,
Adelphi,NCAA,II,E,NE-10,
Adrian,NCAA,III,GL,Mich IAA,
AFLBS,ACCA,*,*,NIAC,
AIB Coll Bus,NAIA,II,*,Midwest Coll,
Air Force,NCAA,I,W,Mtn West,
Akron,NCAA,I,MW,MAC,
Akron-Wayne,Indep.,*,*,ORCC,
Alabama,NCAA,I,S,SEC,
Alabama A&M,NCAA,I,S,SWAC,
Alabama St,NCAA,I,S,SWAC,
Alabama-Birmingham,NCAA,I,MW,CUSA,
Alabama-Huntsville,NCAA,II,S,Gulf South,
Alaska-Anchorage,NCAA,II,W,Great NW,
Alaska-Fairbanks,NCAA,II,W,Great NW,
Albany NY,NCAA,I,E,Amer E,
Albany Pharmacy,USCAA,II,*,Hudson Val,
Albany St GA,NCAA,II,S,SIAC,
Alberta,CIS,Can W,Pion'r CIS-Can W,*,
Albertus Magnus,NCAA,III,NE,Great NE,
Albion,NCAA,III,GL,Mich IAA,
Albright,NCAA,III,M Atl,Middle Atl C'wlth,
Alcorn St,NCAA,I,S,SWAC,
Alderson-Broaddus,NCAA,II,E,Great Midwest,
Alfred,NCAA,III,E,Empire 8,
Alfred St,NCAA,III,E,NCAA-III-Indep.,
Algoma,CIS,OUA,West,CIS-OUA,
Algonquin,CCAA,OCAA,E,OCAA,
Alice Lloyd,NAIA,II,*,Kentucky IAC,
Allegheny,NCAA,III,GL,North Coast,
Allen,NAIA,I,*,AII-I,
Alma,NCAA,III,GL,Mich IAA,
Alvernia,NCAA,III,M Atl,Middle Atl C'wlth,
American Int'l,NCAA,II,NE,NE-10,
American U.,NCAA,I,E,Patriot,
Amherst,NCAA,III,NE,NESCAC,
Anderson IN,NCAA,III,MW,Heartland CAC,
Anderson SC,NCAA,II,E,South Atl,
Andrews,USCAA,II,*,USCAA-II-Indep.,
Angelo St,NCAA,II,SC,Lone Star,
Anna Maria,NCAA,III,NE,Great NE,
Appalachian Bible,Indep.,NCCAA,II,MidE,
Appalachian St,NCAA,I,S,Sun Belt,
Apprentice,USCAA,I,*,USCAA-I-Indep.,
Aquinas,NAIA,II,*,Wolv-Hoosier,
Arcadia,NCAA,III,M Atl,Middle Atl C'wlth,
Arizona,NCAA,I,W,Pac 12,
Arizona Christian,NAIA,I,*,Golden State,
Arizona St,NCAA,I,W,Pac 12,
Arkansas,NCAA,I,S,SEC,
Arkansas St,NCAA,I,S,Sun Belt,
Arkansas Tech,NCAA,II,S,Great Amer,
Arkansas-Fort Smith,NCAA,II,*,Heartland Conf,
Arkansas-Little Rock,NCAA,I,S,Sun Belt,
Arkansas-Monticello,NCAA,II,S,Great Amer,
Arkansas-Pine Bluff,NCAA,I,S,SWAC,
Arlington Baptist,NCCAA,II,SW,NCCAA-II-Indep.,
Armstrong Atl St,NCAA,II,S Atl,Peach Belt,
Army,NCAA,I,E,Patriot,
Asbury,NAIA,II,*,Kentucky IAC,
Ashford,NAIA,II,*,AII-II,
Ashland,NCAA,II,MW,GLIAC,
Assumption,NCAA,II,NE,NE-10,
Auburn,NCAA,I,S,SEC,
Auburn Montgomery,NAIA,I,*,Southern States,
Augsburg,NCAA,III,W,Minn IAC,
Augustana AB,CCAA,ACAC,North,Alberta,
Augustana IL,NCAA,III,MW,CCIW,
Augustana SD,NCAA,II,Cen,Northern Sun,
Aurora,NCAA,III,MW,Northern AC,
Austin,NCAA,III,S,SCAC,
Austin Peay,NCAA,I,S,Ohio Valley,
Ave Maria,NAIA,II,*,Sun Conf,
Averett,NCAA,III,S,USA South,
Avila,NAIA,I,*,HAAC,
Azusa Pacific,NCAA,II,*,PacWest,
Babson,NCAA,III,NE,NEWMAC,
Bacone,NAIA,I,*,Red River,
Baker,NAIA,I,*,HAAC,
Baldwin Wallace,NCAA,III,GL,Ohio AC,
Ball St,NCAA,I,MW,MAC,
Baptist Bible MO,NCCAA,II,Cen,NCCAA-II-Indep.,
Baptist Bible PA,NCAA,III,M Atl,Colonial States,
Barber-Scotia,USCAA,II,*,USCAA-II-Indep.,
Barclay,ACCA,*,*,Midwest Chr,
Bard,NCAA,III,E,Liberty,
Barry,NCAA,II,S,Sunshine State,
Barton,NCAA,II,SE,Conf Carolinas,
Baruch,NCAA,III,Atl,CUNY AC,
Bates,NCAA,III,NE,NESCAC,
Baylor,NCAA,I,S,Big 12,
Becker,NCAA,III,NE,New England,
Belhaven,NAIA,I,*,Southern States,
Bellarmine,NCAA,II,MW,Great Lakes Val,
Bellevue,NAIA,II,*,Midlands,
Belmont,NCAA,I,S,Ohio Valley,
Belmont Abbey,NCAA,II,E,Conf Carolinas,
Beloit,NCAA,III,MW,Midwest Conf,
Bemidji St,NCAA,II,NC,Northern Sun,
Benedict,NCAA,II,S,SIAC,
Benedictine IL,NCAA,III,MW,Northern AC,
Benedictine KS,NAIA,I,*,HAAC,
Benedictine-Springfield Bulldogs,I,*,Amer MidW,*,
Bentley,NCAA,II,NE,NE-10,
Berea,NAIA,II,*,Kentucky IAC,
Berkeley-NYC,USCAA,II,*,Hudson Val,
Berry,NCAA,III,S,Southern AA,
Bethany KS,NAIA,II,*,Kansas CAC,
Bethany Lutheran,NCAA,III,NC,UMAC,
Bethany WV,NCAA,III,GL,Presidents',
Bethel IN,NAIA,II,*,Crossroads,
Bethel KS,NAIA,II,*,Kansas CAC,
Bethel MN,NCAA,III,W,Minn IAC,
Bethel TN,NAIA,I,*,Southern States,
Bethesda,NCCAA,I,W,NCCAA-I-Indep.,
Bethune-Cookman,NCAA,I,E,MEAC,
Binghamton,NCAA,I,S,Amer E,
Biola,NAIA,I,*,Golden State,
Birmingham-Southern,NCAA,III,S,Southern AA,
Bishop's,CIS,QSSF,*,CIS-QSSF,
Black Hills St,NCAA,II,*,RMAC,
Blackburn,NCAA,III,MW,SLIAC,
Bloomfield,NCAA,II,E,Cent Atl,
Bloomsburg,NCAA,II,E,PSAC,
Blue Mountain,NAIA,I,*,Southern States,
Bluefield St WV,NCAA,II,E,NCAA-II-Indep.,
Bluefield VA,NAIA,II,*,Appal AC,
Bluffton,NCAA,III,MW,Heartland CAC,
Bob Jones U.,NCCAA,I,S,NCCAA-I-Indep.,
Boise St,NCAA,I,W,Mtn West,
Boston College,NCAA,I,E,ACC,
Boston U.,NCAA,I,E,Patriot,
Bowdoin,NCAA,III,NE,NESCAC,
Bowie St,NCAA,II,S Atl,CIAA,
Bowling Green,NCAA,I,MW,MAC,
Boyce,NCCAA,II,MidE,NCCAA-II-Indep.,
Bradley,NCAA,I,MW,Missouri Val,
Brandeis,NCAA,III,NE,UAA,
Brandon,CIS,Can W,Pion'r CIS-Can W,*,
Brescia,Indep.,*,*,Kentucky IAC,
Brevard,NCAA,II,S,South Atl,
Brewton-Parker,NAIA,I,*,Southern States,
Briar Cliff,NAIA,II,*,GPAC,
Bridgeport,NCAA,II,NE,East Coast,
Bridgewater St MA,NCAA,III,NE,Mass SCAC,
Bridgewater VA,NCAA,III,S,ODAC,
Briercrest,CCAA,ACAC,South,Alberta,
Brigham Young,NCAA,I,W,West Coast,
Bristol,USCAA,II,*,USCAA-II-Indep.,
Brock,CIS,OUA,Cent.,CIS-OUA,
Brockport St,NCAA,III,E,SUNY AC,
Brooklyn,NCAA,III,Atl,CUNY AC,
Brown,NCAA,I,E,Ivy,
Bryan,NAIA,II,*,Appal AC,
Bryant,NCAA,I,E,Northeast,
Bryn Athyn,NCAA,III,E,NEAC,
Bucknell,NCAA,I,E,Patriot,
Buena Vista,NCAA,III,W,Iowa IAC,
Buffalo,NCAA,I,MW,MAC,
Buffalo St,NCAA,III,E,SUNY AC,
Butler,NCAA,I,MW,Big East,
BYU-Hawai`i,NCAA,II,W,PacWest,
Cabrini,NCAA,III,M Atl,Colonial States,
Cairn,NCAA,III,M Atl,Colonial States,
Cal Lutheran,NCAA,III,W,SCIAC,
Cal Poly Pomona,NCAA,II,W,Cal CAA,
Cal Poly SLO,NCAA,I,W,Big West,
Caldwell,NCAA,II,E,Cent Atl,
Calgary,CIS,Can W,Pion'r CIS-Can W,*,
California,NCAA,I,W,Pac 12,
California Baptist,NCAA,II,*,PacWest,
California Maritime,NAIA,II,*,Cal Pac,
California PA,NCAA,II,E,PSAC,
Caltech,NCAA,III,W,SCIAC,
Calumet-St Joseph,NAIA,II,*,Chicagoland,
Calvary Bible,ACCA,*,*,Midwest Chr,
Calvin,NCAA,III,GL,Mich IAA,
Cambrian,CCAA,OCAA,W,OCAA,
Cameron,NCAA,II,SC,Lone Star,
Camosun,CCAA,PACWEST,*,PACWEST,
Campbell,NCAA,I,S,Big South,
Campbellsville,NAIA,I,*,Mid-South,
Canadian Mennonite,Indep.,*,*,Man CAC,
Canadore,CCAA,OCAA,E,OCAA,
Canisius,NCAA,I,E,Metro Atl,
Capilano,CCAA,PACWEST,*,PACWEST,
Capital,NCAA,III,GL,Ohio AC,
Cardinal Stritch,NAIA,II,*,Chicagoland,
Carleton MN,NCAA,III,W,Minn IAC,
Carleton ON,CIS,OUA,North,CIS-OUA,
Carlow,NAIA,II,*,Kentucky IAC,
Carnegie Mellon,NCAA,III,GL,UAA,
Carroll MT,NAIA,I,*,Frontier,
Carroll WI,NCAA,III,MW,Midwest Conf,
Carson-Newman,NCAA,II,S Atl,South Atl,
Carthage,NCAA,III,MW,CCIW,
Carver,NCCAA,I,S,NCCAA-I-Indep.,
Case Western Reserve,NCAA,III,GL,UAA,
Castleton St,NCAA,III,NE,North Atl,
Catawba,NCAA,II,S Atl,South Atl,
Catholic,NCAA,III,M Atl,Landmark,
Cazenovia,NCAA,III,E,NEAC,
CCNY,NCAA,III,Atl,CUNY AC,
Cedarville,NCAA,II,*,Great Midwest,
Centenary LA,NCAA,III,S,SCAC,
Centenary NJ,NCAA,III,Atl,Colonial States,
Centennial,CCAA,OCAA,E,OCAA,
Central Arkansas,NCAA,I,S,Southland,
Central Baptist,NAIA,II,*,Midlands,
Central Christian KS,NAIA,II,*,Midlands,
Central Connecticut St,NCAA,I,E,Northeast,
Central Florida,NCAA,I,S,American,
Central IA,NCAA,III,W,Iowa IAC,
Central Maine CC,USCAA,II,*,Yankee Small,
Central Methodist,NAIA,I,*,HAAC,
Central Michigan,NCAA,I,MW,MAC,
Central Missouri,NCAA,II,SC,Mid-Amer IAA,
Central Oklahoma,NCAA,II,SC,Mid-Amer IAA,
Central Penn,USCAA,II,*,USCAA-II-Indep.,
Central St OH,NCAA,II,*,Great Midwest,
Central Washington,NCAA,II,W,Great NW,
Centre,NCAA,III,S,Southern AA,
Chadron St,NCAA,II,NC,RMAC,
Chaminade,NCAA,II,W,PacWest,
Champion Baptist,ACCA,*,*,*,
Champlain St-Lambert,CCAA,RSEQ,*,RSEQ,
Chapman,NCAA,III,W,SCIAC,
Charleston Southern,NCAA,I,S,Big South,
Charleston WV,NCAA,II,E,Mtn East,
Charlotte,NCAA,I,MW,CUSA,
Chattanooga,NCAA,I,S,Southern,
Chestnut Hill,NCAA,II,E,Cent Atl,
Cheyney,NCAA,II,E,PSAC,
Chicago,NCAA,III,MW,UAA,
Chicago St,NCAA,I,MW,WAC,
Chico St,NCAA,II,W,Cal CAA,
Chowan,NCAA,II,S,CIAA,
Christendom,USCAA,II,*,Shena & Chesa,
Christian Brothers,NCAA,II,S,Gulf South,
Christopher Newport,NCAA,III,S,Capital,
Cincinnati,NCAA,I,MW,American,
Cincinnati Christian U. Golden Eagles,II,*,Kentucky IAC,NCCAA,
Cincinnati-Clermont,USCAA,II,*,OCAC,
Claflin,NCAA,II,S,SIAC,
Claremont-Mudd-Scripps,NCAA,III,W,SCIAC,
Clarion,NCAA,II,E,PSAC,
Clark Atlanta,NCAA,II,S,SIAC,
Clark MA,NCAA,III,NE,NEWMAC,
Clark St CC,Indep.,*,*,OCAC,
Clarke IA,NAIA,II,*,Midwest Coll,
Clarkson,NCAA,III,E,Liberty,
Clayton St,NCAA,II,S Atl,Peach Belt,
Clearwater Christian,NCCAA,II,S,NCCAA-II-Indep.,
Clemson,NCAA,I,E,ACC,
Cleveland St,NCAA,I,MW,Horizon,
Coast Guard,NCAA,III,NE,NEWMAC,
Coastal Carolina,NCAA,I,S,Big South,
Coastal Georgia,NAIA,I,*,Southern States,
Coe,NCAA,III,W,Iowa IAC,
Coker,NCAA,II,E,South Atl,
Col. de Sainte-Foy,CCAA,RSEQ,*,RSEQ,
Col. Éd.-Montpetit,CCAA,RSEQ,*,RSEQ,
Col. Montmorency,CCAA,RSEQ,*,RSEQ,
Colby,NCAA,III,NE,NESCAC,
Colby-Sawyer,NCAA,III,NE,North Atl,
Col-Colorado Springs,NCAA,II,NC,RMAC,
Colgate,NCAA,I,E,Patriot,
Coll of Charleston,NCAA,I,S,Colonial,
Coll of Faith,Indep.,*,*,*,
Coll of Idaho,NAIA,II,*,Cascade,
Coll of the Ozarks MO,NAIA,II,*,Midlands,
Colorado,NCAA,I,S,Pac 12,
Colorado Christian,NCAA,II,NC,RMAC,
Colorado College,NCAA,III,W,SCAC,
Colorado Mesa,NCAA,II,NC,RMAC,
Colorado Mines,NCAA,II,NC,RMAC,
Colorado St,NCAA,I,W,Mtn West,
Colorado St-Pueblo,NCAA,II,NC,RMAC,
Columbia Bible,CCAA,PACWEST,*,PACWEST,
