Date,Visitor.Team,Visitor.Score,Home.Team,Home.Score,Neutral
2-Mar-15,Texas Southern,77,Alabama A&M,75,
2-Mar-15,Prairie View A&M,67,Alabama St,65,
2-Mar-15,Jackson St,62,Arkansas-Pine Bluff,64,
2-Mar-15,Simpson CA,76,California Maritime,85,
2-Mar-15,Missouri Western,72,Central Oklahoma,73,
2-Mar-15,Hampton,75,Delaware St,85,
2-Mar-15,Warner U.,58,Embry-Riddle FL,72,
2-Mar-15,Norfolk St,59,Howard,61,
2-Mar-15,Oklahoma,70,Iowa St,77,
2-Mar-15,Benedict,59,Kentucky St,46,
2-Mar-15,Clark Atlanta,70,LeMoyne-Owen,60,
2-Mar-15,Lamar,69,McNeese St,70,
2-Mar-15,Minn St-Mankato,80,Minn St-Moorhead,81,
2-Mar-15,Grambling St,62,Mississippi Valley St,66,
2-Mar-15,SW Baptist,74,Nebraska-Kearney,90,
2-Mar-15,Nicholls St,89,New Orleans,79,
2-Mar-15,Bethune-Cookman,50,North Carolina A&T,67,
2-Mar-15,Augustana SD,67,Northern St,65,
2-Mar-15,SE Louisiana,79,Northwestern St,92,
2-Mar-15,Science & Arts OK,86,Oklahoma Baptist U.,81,
2-Mar-15,John Brown,75,Oklahoma City,81,
2-Mar-15,Southern-New Orleans,74,Philander Smith,90,
2-Mar-15,Northeastern St OK,54,Pittsburg St,69,
2-Mar-15,Dallas Baptist,62,Rogers St,92,
2-Mar-15,Central Arkansas,49,Sam Houston St,76,
2-Mar-15,North Carolina Central,62,Savannah St,49,
2-Mar-15,Southeastern FL,80,St Thomas FL,76,N
2-Mar-15,Huston-Tillotson,71,St Thomas TX,74,
2-Mar-15,Incarnate Word,62,Stephen F. Austin,83,
2-Mar-15,Friends,74,Sterling,59,N
2-Mar-15,St Gregory's,74,SW Christian,63,
2-Mar-15,Virginia,59,Syracuse,47,
2-Mar-15,Baylor,59,Texas,61,
2-Mar-15,Talladega,89,Tougaloo,90,
2-Mar-15,Boston College,66,Virginia Tech,59,
2-Mar-15,Fort Hays St,57,Washburn,66,
3-Mar-15,Houston Baptist,71,Abilene Christian,83,
3-Mar-15,Mississippi,82,Alabama,74,
3-Mar-15,North Alabama,79,Alabama-Huntsville,97,
3-Mar-15,Baker,53,Avila,71,
3-Mar-15,Eastern Michigan,67,Ball St,60,
3-Mar-15,Missouri Baptist,69,Benedictine-Springfield,79,
3-Mar-15,Kent St,81,Bowling Green,80,
3-Mar-15,Ohio U.,66,Buffalo,93,
3-Mar-15,Georgetown DC,60,Butler,54,
3-Mar-15,Graceland,70,Central Methodist,78,
3-Mar-15,Toledo,77,Central Michigan,85,
3-Mar-15,North Carolina St,66,Clemson,61,
3-Mar-15,Colorado Mesa,71,Col-Colorado Springs,82,
3-Mar-15,Southern Oregon,79,Coll of Idaho,86,
3-Mar-15,Bellevue,91,Coll of the Ozarks MO,89,
3-Mar-15,Adams St,94,Colorado Mines,91,
3-Mar-15,Fort Lewis,63,Colorado St-Pueblo,72,
3-Mar-15,Villanova,76,Creighton,72,
3-Mar-15,Cornerstone,78,Davenport,65,
3-Mar-15,Rhode Island,59,Dayton,75,
3-Mar-15,Youngstown St,67,Detroit Mercy,77,
3-Mar-15,Southeastern FL,86,Embry-Riddle FL,90,
3-Mar-15,Texas A&M,62,Florida,66,
3-Mar-15,Jacksonville FL,63,Florida Gulf Coast,81,
3-Mar-15,Slippery Rock,45,Gannon,71,
3-Mar-15,Kentucky,72,Georgia,64,
3-Mar-15,North Carolina,81,Georgia Tech,49,
3-Mar-15,Virginia-Wise,64,Glenville St,92,
3-Mar-15,Loyola-Maryland,45,Holy Cross MA,62,
3-Mar-15,Wright St,57,Illinois-Chicago,60,
3-Mar-15,Iowa,77,Indiana,63,
3-Mar-15,Bethel IN,72,Indiana Wesleyan,87,
3-Mar-15,Point Park,67,IU East,84,
3-Mar-15,Dakota St,66,Jamestown,65,
3-Mar-15,West Virginia,69,Kansas,76,
3-Mar-15,Fort Valley St,70,Lane,80,
3-Mar-15,U of the Southwest,79,Langston,82,
3-Mar-15,Harris-Stowe St,58,Lyon,86,
3-Mar-15,Indiana PA,67,Mercyhurst,59,
3-Mar-15,Colorado Christian,57,Metropolitan St,70,
3-Mar-15,Akron,63,Miami OH,70,
3-Mar-15,Claflin,72,Miles,69,
3-Mar-15,Augustana SD,98,Minn St-Moorhead,82,
3-Mar-15,Auburn,61,Missouri,63,
3-Mar-15,Midland U.,89,Morningside,67,
3-Mar-15,Army,52,Navy,56,
3-Mar-15,Nebraska-Omaha,80,North Dakota,78,
3-Mar-15,Stetson,67,North Florida,81,
3-Mar-15,Western Michigan,63,Northern Illinois,65,
3-Mar-15,Lipscomb,76,Northern Kentucky,73,
