Visitor.Team,Visitor.Score,Home.Team,Home.Score
Lakeland AB,67,Briercrest,57
Augustana AB,94,St Mary's AB,78
Concordia AB,95,Briercrest,86
Lethbridge Col,87,King's AB,47
McMaster,69,McGill,62
Victoria,76,Regina,67
St Fran Xavier,92,Acadia,90
Augustana AB,75,Briercrest,71
Concordia AB,78,Ambrose,61
Concordia QC,74,Queen's ON,53
St Mary's AB,96,King's AB,81
Winnipeg,76,Lakehead,70
Medicine Hat,80,Lakeland AB,66
Carleton ON,85,Laval,62
Laurier,74,Nipissing,50
McMaster,75,Regina,61
Toronto,105,Memorial,69
St Mary's NS,98,New Brunswick,84
UQAM,75,Ottawa ON,72
McGill,69,Victoria,44
Carleton ON,112,Acadia,62
Laurier,64,Algoma,52
Lethbridge Col,70,Augustana AB,57
Guelph,90,Memorial,65
Ambrose,79,King's AB,54
Winnipeg,74,Lakehead,69
St Fran Xavier,82,Laval,66
Grant MacEwan,96,Northern BC,73
N Alberta Tech,75,Briercrest,68
McGill,82,Regina,61
Concordia AB,105,St Mary's AB,55
Bishop's,69,New Brunswick,60
UQAM,83,Queen's ON,61
McMaster,76,Victoria,65
Laval,84,Acadia,76
Alberta,92,Northern BC,61
St Mary's NS,82,Bishop's,66
Nipissing,68,Algoma,64
Carleton ON,116,St Fran Xavier,72
Memorial,78,York ON,74
UQAM,85,Cape Breton,82
Lakehead,84,Brandon,70
Brock,83,St Fran Xavier,76
Calgary,99,Windsor,64
Lethbridge Col,86,Keyano,59
Medicine Hat,89,Ambrose,62
Mt Royal,85,Regina,73
Red Deer,91,King's AB,82
Olds,103,St Mary's AB,67
Calgary,89,Regina,72
Concordia QC,81,Nipissing,68
Keyano,75,King's AB,56
Manitoba,87,Laurier,63
Windsor,95,Mt Royal,83
Lethbridge Col,91,Red Deer,50
Ryerson,102,St Fran Xavier,61
Medicine Hat,103,St Mary's AB,78
Brock,74,Cape Breton,53
Winnipeg,65,Lakehead,59
Dalhousie,89,York ON,65
Montmorency,76,Sheridan ON,75
Concordia QC,75,Cape Breton,53
Lethbridge Col,78,King's AB,62
Lakehead,77,Manitoba,72
McMaster,80,St Fran Xavier,63
Calgary,88,Mt Royal,79
Brock,85,Nipissing,54
Medicine Hat,100,Olds,81
Red Deer,104,Keyano,65
Windsor,70,Regina,67
Dalhousie,58,Ryerson,54
Winnipeg,90,Laurier,86
Sheridan ON,95,Dawson,60
Laurier,101,Brandon,76
Brock,95,Concordia QC,78
McMaster,76,Dalhousie,70
Nipissing,87,Cape Breton,66
Montmorency,76,Sheridan ON,70
Niagara ON,86,Durham,49
Concordia AB,84,Augustana AB,71
Guelph,60,Laurier,52
UQAM,99,Waterloo,71
Ottawa ON,73,Alberta,63
Regina,92,Brandon,78
Carleton ON,106,Victoria,52
Ed Montpetit,70,St Lambert,53
Montmorency,115,Sainte-Foy,62
Dawson,79,Vanier,63
Grande rairie,86,King's AB,82
Lakeland AB,76,Keyano,70
Western ON,72,Laval,66
Lethbridge Col,83,Briercrest,64
Queen's ON,87,Memorial,67
Grant MacEwan,80,Thompson Riv,74
Brit Columbia,94,Univ Lethbridge,81
Saskatchewan,68,Okanagan,56
St Mary's NS,84,Cape Breton,74
Dalhousie,90,UEI,78
Manitoba,85,UQAM,78
St Clair,76,Durham,70
Sheridan ON,88,Canadore,65
Concordia AB,84,Augustana AB,55
Carleton ON,82,Laval,52
Univ Lethbridge,91,Fraser Val,79
Grande rairie,70,King's AB,46
Keyano,68,Lakeland AB,64
Lethbridge Col,101,Briercrest,65
Ottawa ON,84,Memorial,47
Alberta,73,Queen's ON,65
St Mary's NS,83,St Fran Xavier,77
Saskatchewan,79,Thompson Riv,71
Grant MacEwan,76,Okanagan,62
Concordia QC,85,UEI,69
Waterloo,85,Manitoba,82
Victoria,68,Western ON,55
Niagara ON,61,Durham,58
Sheridan ON,83,Canadore,58
Dalhousie,70,Concordia QC,69
Victoria,70,Laval,61
Saskatchewan,89,Grant MacEwan,70
Alberta,90,Memorial,64
Ottawa ON,64,Queen's ON,60
Brit Columbia,101,Univ Lethbridge,73
Carleton ON,80,Western ON,59
S Alberta Tech,96,Ambrose,81
Calgary,89,Algoma,70
McMaster,74,Concordia QC,65
New Brunswick,75,Laval,71
Nipissing,78,Grant MacEwan,71
Bishop's,89,Mt Royal,69
St Mary's NS,81,UEI,65
Sheridan ON,84,Niagara ON,80
St Lawrence ON,72,Centennial Col,65
Alberta,84,Nipissing,67
Keyano,91,Augustana AB,85
Brock,78,Ryerson,68
Vanier,87,St Lambert,45
N Alberta Tech,71,Concordia AB,65
Brebeuf,67,Dawson,57
Lakeland AB,76,Grande rairie,67
Regina,83,Guelph,74
McMaster,87,Laurentian,68
Univ Lethbridge,71,Bishop's,69
Brandon,73,Manitoba,63
McGill,79,Okanagan,59
Saskatchewan,83,Algoma,52
Acadia,90,St Mary's NS,88
St Fran Xavier,104,Cape Breton,88
Queen's ON,84,New Brunswick,83
Windsor,79,UQAM,76
Brit Columbia,94,Western ON,70
Dalhousie,84,York ON,59
Centennial Col,91,Loyalist,81
Georgian,86,Fleming,82
Seneca,98,Canadore,93
St Fran Xavier,73,Acadia,66
Alberta,103,Western ON,73
Augustana AB,71,Keyano,63
Dalhousie,74,Brock,72
Lakeland AB,79,Grande rairie,57
Toronto,81,Guelph,70
Laval,77,Queen's ON,69
Univ Lethbridge,77,Bishop's,71
McGill,74,Laurentian,62
N Alberta Tech,81,Concordia AB,75
Brit Columbia,83,Nipissing,59
Calgary,74,Saskatchewan,69
Thompson Riv,92,Trinity Western,78
McMaster,84,Okanagan,82
St Mary's NS,96,Cape Breton,87
Regina,74,UQAM,65
Winnipeg,71,Brandon,57
Windsor,93,York ON,85
Windsor,83,Dalhousie,75
Grant MacEwan,71,Western ON,70
Ryerson,84,Regina,63
Laurentian,79,Okanagan,66
UQAM,86,York ON,68
Doane,78,Haskell,75
Wm Jessup,76,Pacific Union,72
Pikeville,79,Central enn,59
Judson IL,92,Indiana NW,91
Rochester MI,81,Marygrove,57
Wilberforce,94,MI Dearborn,74
Sheridan ON,110,Redeemer,78
Seneca,76,Durham,59
Unity,61,ME Augusta,57
Bryan,65,Oakwood,60
Humber,79,Fanshawe,58
Biola,85,La Sierra,53
Cumberlands KY,80,Milligan,56
Dakota St,90,Northwestern IA,89
Georgetown KY,78,IN Southeast,63
St Mary KS,86,Morningside,75
Dalhousie,83,Acadia,81
Thompson Riv,71,Lakehead,66
IN Wesleyan,93,Aquinas,73
York NE,79,Bellevue,65
Bethel KS,74,Central Chr,71
Pikeville,81,Bluefield VA,65
Webber,88,Bryan,86
Wm Jessup,80,Cal Maritime,68
Mt Vernon Naz,89,Calumet-St Jos,75
Lindsey Wilson,73,Coastal GA,72
SW Assemb God,77,Col Ozarks,71
Concordia NE,73,Dickinson St ND,66
Corban,83,UC Merced,73
Spring Arbor,72,Cornerstone,64
Dakota Wesleyan,93,Waldorf,64
Doane,91,J&W CO,59
N New Mexico,80,Embry-Riddle AZ,67
Hastings,93,Friends,71
Mid-Am Chr,123,Philander Smith,93
Voorhees,87,Mid Georgia,77
Thomas GA,101,Point,67
Valley City St,74,Silver Lake,51
St Francis IN,117,Cincinnati Chr,90
Marian IN,90,Midway,76
Purdue Calumet,82,MI Dearborn,67
Centennial Col,89,Fleming,54
Loyalist,76,Georgian,65
St Lawrence ON,59,Canadore,53
Langara,94,Quest,83
Capilano,82,Douglas,69
Brewton-arker,78,Morris SC,70
Oakwood,75,Talladega,63
Indiana Tech,81,Wright St-Lake,54
Langston,80,Oklahoma S&A,76
Andrews,78,Trinity IL,71
Carroll MT,74,Alberta,68
Augustana AB,90,King's AB,86
Bethany KS,89,Barclay,87
Benedictine AZ,78,W Coast Bap,65
Brebeuf,107,Sainte-Foy,54
Southwestern KS,101,Dallas Chr,78
Faulkner,97,Selma AL,62
MT-Great Falls,84,Yellowstone Chr,59
Guelph,79,Laurentian,75
Holy Cross IN,82,Grace Bib,73
Dawson,83,John Abbott,72
Concordia AB,88,Keyano,87
Northern BC,82,Lakehead,78
Univ Lethbridge,103,Regina,90
New Hope Chr,94,Multnomah Bib,92
N Alberta Tech,85,Grande rairie,68
OK Wesleyan,90,Ecclesia,70
Ottawa ON,89,Bishop's,56
Shawnee St,95,Mia-Middletown,79
Taylor IN,128,Great Lakes Chr,69
Concordia QC,79,Toronto,63
Col of Idaho,75,Trinity Western,53
Brit Columbia,96,Laurier,63
Vanier,84,Ed Montpetit,58
Victoria,80,Mt Royal,72
McGill,84,Waterloo,70
Grace IN,126,East-West,100
Bethesda,99,Eastern Oregon,97
Aquinas,74,Spring Arbor,66
Friends,74,Bellevue,72
Brewton-arker,87,Voorhees,86
Cal Maritime,70,Corban,69
Marian IN,85,Calumet-St Jos,75
Harris-Stowe,71,Campbellsville,68
John Brown,104,Central Bap,94
Col Ozarks,69,OK Wesleyan,51
Concordia MI,91,IU Kokomo,68
J&W CO,82,Concordia NE,81
Cornerstone,90,IN Wesleyan,83
Doane,76,Dickinson St ND,72
Dillard,90,Mobile,73
Lindsey Wilson,71,Edward Waters,45
Embry-Riddle AZ,76,Univ of Southwest,74
Lindenwood-Belleville,92,Fisk,81
