"Team","Previous.Score","Score","Home.Score","Rank","Home.Adv","Home.Adv.Rank"
"Briercrest",1498.97161438347,1498.97161438347,1430.5556800353,1595,-68.415934348169,357
"St Mary's AB",1392.24406486404,1392.24406486404,1286.06807603999,1899,-106.175988824042,995
"King's AB",1388.07415041902,1388.07415041902,1335.06500840571,1907,-53.0091420133051,198
"McGill",1703.50635817041,1703.50635817041,1477.54043479392,418,-225.965923376488,2051
"Regina",1507.06151898234,1507.06151898234,1391.66616826711,1550,-115.395350715226,1157
"Acadia",1577.41212039627,1577.41212039627,1502.66405538486,1165,-74.7480650114128,440
"Ambrose",1582.2241183954,1582.2241183954,1489.11449979041,1132,-93.1096186049936,736
"Queen's ON",1532.29792576155,1532.29792576155,1445.88285763515,1424,-86.4150681263927,618
"Lakehead",1552.40795978687,1552.40795978687,1476.63006693504,1322,-75.7778928518301,453
"Lakeland AB",1593.37772552356,1593.37772552356,1462.58358796472,1049,-130.794137558835,1399
"Laval",1526.2564768897,1526.2564768897,1444.50040708407,1458,-81.7560698056313,540
"Nipissing",1549.6905051784,1549.6905051784,1405.82680728517,1338,-143.863697893233,1569
"Memorial",1533.67123751396,1533.67123751396,1329.67641890549,1418,-203.994818608471,2001
"New Brunswick",1606.06582196324,1606.06582196324,1423.76529900046,956,-182.300522962781,1912
"Ottawa ON",1819.58945884452,1819.58945884452,1686.37578460307,91,-133.213674241453,1432
"Victoria",1542.7757564291,1542.7757564291,1431.05338952624,1374,-111.72236690286,1084
"Algoma",1432.09614068888,1432.09614068888,1364.05866551364,1812,-68.0374751752347,350
"Augustana AB",1498.92770753303,1498.92770753303,1387.98670199238,1596,-110.941005540656,1078
"Northern BC",1455.90505199882,1455.90505199882,1386.65217686577,1752,-69.2528751330549,367
"Bishop's",1515.05713083893,1515.05713083893,1451.5365101393,1516,-63.520620699629,284
"St Fran Xavier",1570.60333046367,1570.60333046367,1476.23340554523,1216,-94.3699249184358,754
"York ON",1466.29495409555,1466.29495409555,1406.89588757071,1719,-59.3990665248466,251
"Cape Breton",1379.14570194093,1379.14570194093,1377.94147532338,1923,-1.20422661754446,15
"Brandon",1462.27955146394,1462.27955146394,1312.77675515661,1735,-149.502796307323,1631
"Windsor",1563.35375949302,1563.35375949302,1410.72944047283,1260,-152.624319020193,1675
"Keyano",1499.34914169025,1499.34914169025,1401.76450897022,1593,-97.5846327200254,809
"Laurier",1527.07212071829,1527.07212071829,1397.47354446389,1452,-129.598576254401,1376
"Mt Royal",1520.82448815378,1520.82448815378,1413.84409059424,1484,-106.980397559547,1014
"Red Deer",1718.5841183185,1718.5841183185,1627.09868817603,346,-91.4854301424677,712
"Sheridan ON",1876.14534845722,1876.14534845722,1800.93843814174,37,-75.2069103154806,446
"Manitoba",1620.61377681878,1620.61377681878,1446.45726629598,873,-174.1565105228,1858
"Olds",1480.97059993809,1480.97059993809,1357.72906989918,1659,-123.241530038915,1274
"Ryerson",1840.17526491509,1840.17526491509,1648.87632982225,56,-191.298935092835,1963
"Dawson",1624.71367305306,1624.71367305306,1505.92579560888,845,-118.787877444179,1209
"Concordia QC",1608.58570851759,1608.58570851759,1485.60305820186,943,-122.982650315729,1269
"Dalhousie",1685.32215990626,1685.32215990626,1529.5051083562,503,-155.817051550066,1709
"Durham",1549.30311926063,1549.30311926063,1475.37766247724,1344,-73.9254567833855,425
"Waterloo",1509.10559845747,1509.10559845747,1408.12871812695,1540,-100.976880330522,880
"Alberta",1697.42701273647,1697.42701273647,1565.25586696585,452,-132.17114577062,1414
"St Lambert",1316.48997483518,1316.48997483518,1249.74458075545,1997,-66.7453940797284,328
"Sainte-Foy",1428.17018628096,1428.17018628096,1303.30072480127,1821,-124.869461479687,1293
"Vanier",1697.29243749327,1697.29243749327,1553.0722425908,453,-144.220194902471,1572
"Thompson Riv",1520.14459991166,1520.14459991166,1420.26262184949,1491,-99.8819780621689,855
"Univ Lethbridge",1600.71310943358,1600.71310943358,1429.26966881617,995,-171.443440617404,1833
"Okanagan",1367.77326458402,1367.77326458402,1326.02394971879,1947,-41.7493148652229,110
"UEI",1511.34278129987,1511.34278129987,1445.91605228234,1534,-65.4267290175353,311
"UQAM",1546.80189350821,1546.80189350821,1405.31317941924,1355,-141.488714088975,1539
"Canadore",1551.02492747185,1551.02492747185,1505.94921896072,1331,-45.0757085111354,140
"Fraser Val",1507.57126345051,1507.57126345051,1349.7536285903,1546,-157.817634860211,1731
"Western ON",1537.41203213722,1537.41203213722,1424.58029598569,1399,-112.831736151521,1104
"Grant MacEwan",1530.90832017179,1530.90832017179,1419.08470484672,1433,-111.823615325063,1088
"Niagara ON",1753.83584015497,1753.83584015497,1668.05257697197,219,-85.7832631830015,600
"Centennial Col",1635.51231330195,1635.51231330195,1479.40354365165,786,-156.108769650303,1715
"Concordia AB",1631.61161571872,1631.61161571872,1440.50909295942,810,-191.102522759301,1961
"Grande rairie",1513.547859825,1513.547859825,1429.48739746334,1526,-84.0604623616639,575
"Guelph",1548.8610178224,1548.8610178224,1434.25393644271,1348,-114.607081379697,1143
"Laurentian",1595.14588658766,1595.14588658766,1471.19660220178,1041,-123.949284385879,1282
"St Mary's NS",1631.23618856913,1631.23618856913,1485.95780152191,814,-145.278387047218,1593
"Loyalist",1492.32246554172,1492.32246554172,1376.83836000963,1622,-115.484105532091,1158
"Fleming",1419.10046480886,1419.10046480886,1359.75257386287,1836,-59.3478909459868,249
"Brock",1728.46840035042,1728.46840035042,1508.31900668178,309,-220.149393668647,2036
"Saskatchewan",1668.1342310268,1668.1342310268,1485.95253389464,586,-182.181697132165,1911
"Trinity Western",1359.44992849216,1359.44992849216,1295.47040147308,1959,-63.9795270190782,289
"Haskell",1462.99123750162,1462.99123750162,1420.44339450822,1731,-42.5478429934035,114
"acific Union",1526.30312212475,1526.30312212475,1375.0096181242,1457,-151.293504000546,1659
"Central enn",1570.31067570052,1570.31067570052,1405.65251510896,1217,-164.658160591559,1778
"Indiana NW",1536.8516593661,1536.8516593661,1399.28664428807,1402,-137.565015078027,1483
"Marygrove",1518.03440833317,1518.03440833317,1395.4136624445,1501,-122.620745888668,1261
"MI Dearborn",1612.88605205412,1612.88605205412,1422.45746679611,913,-190.428585258015,1955
"Redeemer",1648.68166275414,1648.68166275414,1483.04098219433,702,-165.640680559808,1784
"ME Augusta",1204.06847042932,1204.06847042932,1151.04837883084,2063,-53.0200915984783,199
"Oakwood",1578.86661602403,1578.86661602403,1525.48033355581,1150,-53.3862824682162,203
"Fanshawe",1638.66563796693,1638.66563796693,1478.68228116984,766,-159.983356797086,1745
"La Sierra",1260.35451884139,1260.35451884139,1239.8845431858,2037,-20.4699756555881,51
"Milligan",1477.41781763603,1477.41781763603,1356.79653508066,1674,-120.621282555371,1230
"Northwestern IA",1706.90275560213,1706.90275560213,1520.01203441549,399,-186.890721186637,1938
"IN Southeast",1660.23887504794,1660.23887504794,1469.39779980982,631,-190.84107523812,1959
"Morningside",1672.51606633102,1672.51606633102,1530.29521207943,566,-142.220854251583,1546
"Aquinas",1666.79193297471,1666.79193297471,1528.63579136838,595,-138.156141606327,1493
"Bellevue",1666.9219140181,1666.9219140181,1478.68366655983,594,-188.238247458271,1944
"Central Chr",1557.10713001065,1557.10713001065,1413.49038220307,1289,-143.616747807584,1566
"Bluefield VA",1495.42345406508,1495.42345406508,1391.19723769294,1610,-104.226216372145,944
