Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
8/31/2006, Alcorn St.,40,26,165,33,17,8,55,3,2,2,16,4,1,0,1615,6, Louisiana-Monroe,179,46,131,20,11,9,70,2,2,9,13,5,2,2,1985,24
8/31/2006, Boston College,85,32,323,48,32,7,87,2,0,3,15,7,0,0,2102,31, Central Michigan,123,27,243,42,24,5,49,1,1,5,15,4,3,2,1498,24
8/31/2006, Sacramento State,50,28,32,15,6,11,86,0,2,3,12,1,0,0,1722,0, Boise State,215,42,212,24,15,4,26,1,0,12,11,6,0,0,1878,45
8/31/2006, Eastern Michigan,226,38,209,28,18,8,60,0,1,11,12,4,2,0,1821,20, Ball State,159,36,230,28,17,3,20,0,0,8,12,4,2,2,1779,38
8/31/2006, Eastern Washington,-14,30,140,26,12,7,43,3,1,2,13,1,1,0,1581,17, Oregon State,209,38,274,30,19,9,96,1,1,11,12,5,1,1,2019,56
8/31/2006, Florida International,97,25,150,39,22,4,40,1,0,3,16,4,3,3,1692,6, Middle Tennessee,92,35,83,18,11,6,51,0,1,7,14,2,0,0,1908,7
8/31/2006, Minnesota,322,55,146,15,8,5,44,0,1,18,10,7,1,1,1827,44, Kent State,132,37,150,13,7,4,28,3,3,10,10,6,0,0,1760,0
8/31/2006, Northern Arizona,53,39,259,20,15,9,79,0,1,4,13,5,1,0,2044,14, Arizona State,154,34,261,24,17,7,70,1,1,7,10,4,1,0,1556,35
8/31/2006, Northwestern,193,39,106,17,13,5,42,0,0,10,13,6,1,0,1743,21, Miami (Ohio),72,29,175,26,16,4,50,0,0,3,12,2,2,0,1857,3
8/31/2006, Rhode Island,198,49,95,18,7,6,35,0,2,11,16,5,4,3,1892,7, Connecticut,418,52,149,13,8,3,25,0,0,16,11,6,2,2,1708,52
8/31/2006, South Carolina,81,29,193,27,15,8,60,0,1,5,13,3,1,1,1959,15, Mississippi State,79,33,82,23,8,1,10,0,2,6,14,4,2,0,1641,0
8/31/2006, Southeastern Louisiana,88,26,130,28,17,5,55,1,1,5,12,2,4,0,1427,15, New Mexico State,134,44,381,40,29,16,162,4,0,8,17,8,3,2,2173,30
8/31/2006, Stephen F. Austin,106,25,79,25,12,4,32,0,1,6,12,2,1,1,1413,7, Tulsa,175,43,346,28,20,3,30,0,0,11,12,5,2,2,2187,45
8/31/2006, Temple,80,27,103,25,20,7,43,0,1,6,14,4,0,0,1918,3, Buffalo,168,41,188,24,13,6,40,1,0,12,13,4,1,0,1682,9
8/31/2006, UTEP,30,19,213,29,20,0,0,0,4,1,10,5,0,0,1348,34, San Diego State,109,46,275,30,24,5,39,1,2,12,19,9,2,2,2252,27
8/31/2006, Toledo,45,27,367,49,39,6,58,1,1,5,17,10,3,2,1915,43, Iowa State,159,41,234,26,17,3,18,1,0,12,13,8,2,1,1685,45
9/1/2006, Nevada,168,34,183,34,18,3,25,1,0,11,15,9,1,0,1676,19, Fresno State,212,38,124,24,16,2,37,1,0,11,15,9,2,2,1924,28
9/2/2006, Akron,33,34,192,43,23,8,57,1,2,5,18,5,4,4,2249,16, Penn State,76,27,206,32,16,5,33,2,0,4,15,7,2,0,1303,34
9/2/2006, Alabama St.,65,33,69,22,11,11,64,1,0,5,16,5,0,0,1830,0, Troy,238,38,191,39,25,4,35,1,1,14,16,9,3,1,1770,38
9/2/2006, UAB,135,40,169,17,11,11,77,1,0,8,11,2,0,0,2114,17, Oklahoma,143,29,227,24,14,5,40,2,2,5,11,3,0,0,1486,24
9/2/2006, Appalachian State,67,37,66,16,5,5,44,1,1,5,14,2,0,0,1603,10, North Carolina State,206,44,36,13,7,3,20,3,1,9,12,3,0,0,1997,23
9/2/2006, BYU,24,24,289,37,28,10,76,2,0,3,12,3,1,0,1898,13, Arizona,67,24,186,39,19,8,61,0,1,2,14,3,0,0,1702,16
9/2/2006, California,64,23,272,42,20,6,40,0,2,4,16,4,1,0,1812,18, Tennessee,216,41,298,20,13,6,47,1,1,9,11,5,1,0,1788,35
9/2/2006, Citadel,115,33,128,38,19,8,65,1,0,8,17,4,3,1,1836,3, Texas A&M,184,41,200,25,16,5,35,4,0,9,11,4,2,2,1764,35
9/2/2006, East Carolina,76,25,283,35,24,3,28,1,0,6,13,8,0,0,1595,23, Navy,403,70,6,6,2,2,10,2,0,26,11,6,3,3,2005,28
9/2/2006, Eastern Illinois,106,33,187,22,12,2,25,0,2,6,11,4,0,0,1812,17, Illinois,345,48,174,21,15,5,28,3,0,14,11,8,1,1,1788,42
9/2/2006, Eastern Kentucky,73,31,177,33,17,6,39,0,3,3,14,5,2,0,1898,0, Cincinnati,129,36,282,34,19,10,106,0,0,7,12,5,0,0,1702,31
9/2/2006, Florida Atlantic,47,34,216,43,20,4,35,3,1,5,18,8,1,0,2070,6, Clemson,199,39,173,23,14,6,50,3,1,12,13,8,1,1,1530,54
9/2/2006, Hawai'i,22,15,350,44,30,11,82,2,1,1,12,5,3,0,1456,17, Alabama,125,36,253,29,16,5,34,0,0,7,15,6,1,1,2144,25
9/2/2006, Houston,96,28,233,35,22,10,88,0,0,6,12,3,1,0,1835,31, Rice,131,31,152,26,12,1,5,1,1,6,13,5,1,0,1765,30
9/2/2006, Idaho State,62,29,288,36,19,4,37,1,1,5,13,3,2,0,1651,10, UNLV,174,33,332,46,26,6,48,0,0,9,16,6,4,3,1949,54
9/2/2006, Idaho,113,36,155,31,17,3,25,0,1,8,16,7,3,3,1932,17, Michigan State,175,36,225,25,16,2,21,0,0,9,11,4,1,0,1658,27
9/2/2006, Illinois State,93,34,253,38,24,1,7,1,1,7,17,9,2,1,2031,23, Kansas State,44,28,163,26,15,5,49,0,2,5,13,5,1,1,1569,24
9/2/2006, Indiana State,152,32,235,36,23,10,54,0,2,7,13,5,4,2,1723,35, Purdue,190,38,311,35,20,6,41,0,0,13,18,14,1,0,1877,60
9/2/2006, Louisiana Tech,67,21,238,32,13,5,25,2,1,3,14,5,0,0,1495,10, Nebraska,252,48,332,36,24,5,45,1,1,16,16,11,2,1,2105,49
9/2/2006, Marshall,154,34,168,22,12,11,120,0,1,6,12,5,1,0,1674,10, West Virginia,312,52,173,15,11,8,75,0,0,16,10,7,0,0,1926,42
9/2/2006, McNeese State,82,37,81,19,7,7,60,0,2,7,12,3,2,1,1789,10, South Florida,286,42,209,21,14,10,82,2,1,17,9,5,1,0,1811,41
9/2/2006, Montana State,50,35,238,35,24,9,71,0,0,4,18,7,1,0,2007,19, Colorado,106,32,110,22,8,5,44,1,0,8,14,5,0,0,1593,10
