Visitor,Visitor Score,Home,Home Score
 Charleston So.,7, Miami (Florida),52
 Eastern Illinois,12, Central Michigan,31
 Eastern Kentucky,7, Cincinnati,40
 Hofstra,3, Connecticut,35
 Indiana State,0, Eastern Michigan,52
 Jacksonville State,14, Georgia Tech,41
 North Carolina State,0, South Carolina,34
 Northeastern,14, Ball State,48
 Oregon State,28, Stanford,36
 South Dakota State,17, Iowa State,44
 UTEP,17, Buffalo,42
 Troy,31, Middle Tennessee,17
 Vanderbilt,34, Miami (Ohio),13
 Wake Forest,41, Baylor,13
 SMU,27, Rice,56
 Temple,35, Army,7
 Akron,17, Wisconsin,38
 Alabama,34, Clemson,10
 Appalachian State,13, LSU,41
 Arkansas State,18, Texas A&M,14
 Boston College,21, Kent State,0
 Bowling Green,27, Pittsburgh,17
 Cal Poly,29, San Diego State,27
 UC Davis,10, San Jose State,13
 Coastal Carolina,10, Penn State,66
 Delaware,7, Maryland,14
 Eastern Washington,24, Texas Tech,49
 Florida Atlantic,10, Texas,52
 Florida International,10, Kansas,40
 Georgia Southern,21, Georgia,45
 Grambling,13, Nevada,49
 Hawai'i,10, Florida,56
 Idaho State,7, Boise State,49
 Idaho,0, Arizona,70
 Illinois State,10, Marshall,35
 Illinois,42, Missouri,52
 James Madison,7, Duke,31
 Maine,3, Iowa,46
 McNeese State,27, North Carolina,35
 Memphis,24, Mississippi,41
 Michigan State,31, California,38
 Mississippi State,14, Louisiana Tech,22
 North Texas,6, Kansas State,45
 Louisiana-Monroe,0, Auburn,34
 Northern Arizona,13, Arizona State,30
 Northern Illinois,27, Minnesota,31
 Northern Iowa,17, BYU,41
 Ohio,20, Wyoming,21
 Oklahoma State,39, Washington State,13
 South Carolina State,0, UCF,17
 USC,52, Virginia,7
 Southern University,3, Houston,55
 Southern Utah,7, Air Force,41
 Louisiana-Lafayette,21, Southern Mississippi,51
 Syracuse,10, Northwestern,30
 Chattanooga,2, Oklahoma,57
 Tennessee-Martin,7, South Florida,56
 TCU,26, New Mexico,3
 Towson,13, Navy,41
 Tulsa,45, UAB,22
 Utah State,17, UNLV,27
 Utah,25, Michigan,23
 Villanova,21, West Virginia,48
 Virginia Tech,22, East Carolina,27
 Washington,10, Oregon,44
 Western Illinois,24, Arkansas,28
 Western Kentucky,13, Indiana,31
 Western Michigan,24, Nebraska,47
 Youngstown State,0, Ohio State,43
 Colorado State,17, Colorado,38
 Kentucky,27, Louisville,2
 Fresno State,24, Rutgers,7
 Tennessee,24, UCLA,27
 South Carolina,17, Vanderbilt,24
 Navy,23, Ball State,35
 Akron,42, Syracuse,28
 UAB,34, Florida Atlantic,49
 Arkansas,28, Louisiana-Monroe,27
