TEAM,CONF W,CONF L,OVERALL W,OVERALL L,
Clemson,6,2,10,4,
Wake Forest,5,3,6,7,
Florida State,5,3,9,4,
NC State,4,4,8,5,
Boston College,3,5,4,8,
Maryland,1,7,2,10,
Virginia Tech,7,1,11,3,
Virginia,5,3,8,5,
Georgia Tech,5,3,8,5,
Miami (Florida),3,5,6,6,
North Carolina,3,5,7,6,
Duke,1,7,3,9,
Oklahoma State,8,1,12,1,
Kansas State,7,2,10,3,
Baylor,6,3,10,3,
Oklahoma,6,3,10,3,
Missouri,5,4,8,5,
Texas,4,5,8,5,
Texas A&M,4,5,7,6,
Iowa State,3,6,6,7,
Texas Tech,2,7,5,7,
Kansas,0,9,2,10,
West Virginia,5,2,10,3,
Cincinnati,5,2,10,3,
Louisville,5,2,7,6,
Rutgers,4,3,9,4,
Pittsburgh,4,3,6,7,
Connecticut,3,4,5,7,
South Florida,1,6,5,7,
Syracuse,1,6,5,7,
Michigan State,7,1,11,3,
Michigan,6,2,11,2,
Nebraska,5,3,9,4,
Iowa,4,4,7,6,
Northwestern,3,5,6,7,
Minnesota,2,6,3,9,
Wisconsin,6,2,11,3,
Penn State,6,2,9,4,
Purdue,4,4,7,6,
Ohio State,3,5,6,7,
Illinois,2,6,7,6,
Indiana,0,8,1,11,
Southern Miss,6,2,12,2,
Marshall,5,3,7,6,
East Carolina,4,4,5,7,
UAB,3,5,3,9,
UCF,3,5,5,7,
Memphis,1,7,2,10,
Houston,8,0,13,1,
Tulsa,7,1,8,5,
SMU,5,3,8,5,
Rice,3,5,4,8,
UTEP,2,6,5,7,
Tulane,1,7,2,11,
BYU,0,0,10,3,
Notre Dame,0,0,8,5,
Navy,0,0,5,7,
Army,0,0,3,9,
Ohio,6,2,10,4,
Temple,5,3,9,4,
Kent State,4,4,5,7,
Bowling Green,3,5,5,7,
Miami (Ohio),3,5,4,8,
Buffalo,2,6,3,9,
Akron,0,8,1,11,
Northern Illinois,7,1,11,3,
Toledo,7,1,9,4,
Western Michigan,5,3,7,6,
Ball State,4,4,6,6,
Eastern Michigan,4,4,6,6,
Central Michigan,2,6,3,9,
TCU,7,0,11,2,
Boise State,6,1,12,1,
Wyoming,5,2,8,5,
San Diego State,4,3,8,5,
Air Force,3,4,7,6,
Colorado State,1,6,3,9,
UNLV,1,6,2,10,
New Mexico,1,6,1,11,
Oregon,8,1,12,2,
Stanford,8,1,11,2,
Washington,5,4,7,6,
California,4,5,7,6,
Oregon State,3,6,3,9,
Washington State,2,7,4,8,
USC,7,2,10,2,
UCLA,5,4,6,8,
Arizona State,4,5,6,7,
Utah,4,5,8,5,
Colorado,2,7,3,10,
Arizona,2,7,4,8,
Georgia,7,1,10,4,
South Carolina,6,2,11,2,
Florida,3,5,7,6,
Vanderbilt,2,6,6,7,
Kentucky,2,6,5,7,
Tennessee,1,7,5,7,
LSU,8,0,13,1,
Alabama,7,1,12,1,
Arkansas,6,2,11,2,
Auburn,4,4,8,5,
Mississippi State,2,6,7,6,
Ole Miss,0,8,2,10,
Arkansas State,8,0,10,3,
Western Kentucky,7,1,7,5,
Louisiana-Lafayette,6,2,9,4,
Florida Intl,5,3,8,5,
North Texas,4,4,5,7,
Louisiana-Monroe,3,5,4,8,
Troy,2,6,3,9,
Middle Tennessee,1,7,2,10,
Florida Atlantic,0,8,1,11,
Louisiana Tech,6,1,8,5,
Utah State,5,2,7,6,
Nevada,5,2,7,6,
San Jose State,3,4,5,7,
Fresno State,3,4,4,9,
Hawaii,3,4,6,7,
New Mexico State,2,5,4,9,
Idaho,1,6,2,10,
Montana,7,1,11,3,
Montana State,7,1,10,3,
Portland State,5,3,7,4,
Eastern Washington,5,3,6,5,
Weber State,5,3,5,6,
Northern Arizona,3,5,4,7,
Sacramento State,3,5,4,7,
Idaho State,1,7,2,9,
Northern Colorado,0,8,0,11,
Stony Brook,6,0,9,4,
Liberty,5,1,7,4,
Coastal Carolina,3,3,7,4,
Presbyterian College,3,3,4,7,
Gardner-Webb,2,4,4,7,
VMI,2,4,2,9,
Charleston Southern,0,6,0,11,
Texas State,0,0,6,6,
Texas San Antonio,0,0,4,6,
Georgia State,0,0,3,8,
Towson,7,1,9,3,
Old Dominion,6,2,10,3,
Maine,6,2,9,4,
New Hampshire,6,2,8,4,
Delaware,5,3,7,4,
James Madison,5,3,8,5,
William & Mary,3,5,5,6,
Massachusetts,3,5,5,6,
Rhode Island,2,6,3,8,
Villanova,1,7,2,9,
Richmond,0,8,3,8,
North Dakota,3,1,8,3,
Cal Poly,3,1,6,5,
South Dakota,2,2,6,5,
Southern Utah,1,3,6,5,
UC Davis,1,3,4,7,
Harvard,7,0,9,1,
Brown,4,3,7,3,
Yale,4,3,5,5,
Penn,4,3,5,5,
Dartmouth,4,3,5,5,
Cornell,3,4,5,5,
Princeton,1,6,1,9,
Columbia,1,6,1,9,
Norfolk State,7,1,9,3,
Bethune-Cookman,6,2,8,3,
South Carolina State,6,2,7,4,
Florida A&M,5,3,7,4,
Hampton,5,3,7,4,
North Carolina A&T,4,4,5,6,
Morgan State,4,4,5,6,
Howard,4,4,5,6,
Delaware State,1,7,3,8,
North Carolina Central,1,7,2,9,
Savannah State,1,7,1,10,
North Dakota State,7,1,14,1,
Northern Iowa,7,1,10,3,
Illinois State,5,3,7,4,
Indiana State,4,4,6,5,
South Dakota State,4,4,5,6,
Youngstown State,4,4,6,5,
Southern Illinois,2,6,4,7,
Missouri State,2,6,2,9,
Western Illinois,1,7,2,9,
Duquesne,7,1,9,2,
Albany,7,1,8,4,
Bryant,5,3,7,4,
Monmouth,4,4,5,6,
Wagner,4,4,4,7,
Sacred Heart,3,5,5,6,
Central Connecticut,3,5,4,7,
Robert Morris,2,6,2,9,
St Francis (PA),1,7,2,9,
Jacksonville State,6,2,7,4,
Tennessee Tech,6,2,7,4,
Eastern Kentucky,6,2,7,5,
Murray State,5,3,7,4,
Tennessee-Martin,4,4,5,6,6
Tennessee State,4,4,5,6,
Southeast Missouri State,2,6,3,8,
Austin Peay,2,6,3,8,
Eastern Illinois,1,7,2,9,
Lehigh,6,0,11,2,
Georgetown,4,2,8,3,
Holy Cross,4,2,6,5,
Bucknell,3,3,6,5,
Colgate,2,4,5,6,
Lafayette,2,4,4,7,
Fordham,0,6,1,10,
San Diego,7,1,9,2,
Drake,7,1,9,2,
Jacksonville,6,2,7,4,
Campbell,5,3,6,5,
Dayton,4,4,6,5,
Butler,3,5,5,6,
Marist,3,5,4,7,
Davidson,2,6,4,7,
Morehead State,2,6,3,8,
Valparaiso,1,7,1,10,
Georgia Southern,7,1,11,3,
Wofford,6,2,8,4,
Appalachian State,6,2,8,4,
Furman,5,3,6,5,
Samford,4,4,6,5,
Chattanooga,3,5,5,6,
Elon,3,5,5,6,
The Citadel,2,6,4,7,
Western Carolina,0,8,1,10,
Sam Houston State,7,0,14,1,
Central Arkansas,6,1,9,4,
Stephen F Austin,5,2,6,5,
McNeese State,4,3,6,5,
Northwestern State,3,4,5,6,
Lamar,2,5,4,7,
Southeastern Louisiana,1,6,3,8,
Nicholls State,0,7,1,10,
Jackson State,7,2,9,2,
Alabama State,7,2,8,3,
Alabama A&M,7,2,8,4,
Alcorn State,1,8,2,8,
Mississippi Valley State,1,8,1,10,
Grambling State,6,3,8,4,
Arkansas-Pine Bluff,5,4,6,5,
Prairie View A&M,5,4,5,6,
Southern,4,5,4,7,
Texas Southern,2,7,4,7,
