TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Florida State,7,1,12,2
Clemson,7,1,11,2
NC State,4,4,7,6
Wake Forest,3,5,5,7
Maryland,2,6,4,8
Boston College,1,7,2,10
North Carolina,5,3,8,4
Miami (FL),5,3,7,5
Georgia Tech,5,3,7,7
Virginia Tech,4,4,7,6
Duke,3,5,6,7
Virginia,2,6,4,8
Kansas State,8,1,11,2
Oklahoma,8,1,10,3
Texas,5,4,9,4
Oklahoma State,5,4,8,5
Baylor,4,5,8,5
Texas Tech,4,5,8,5
West Virginia,4,5,7,6
TCU,4,5,7,6
Iowa State,3,6,6,7
Kansas,0,9,1,11
Louisville,5,2,11,2
Cincinnati,5,2,10,3
Rutgers,5,2,9,4
Syracuse,5,2,8,5
Pittsburgh,3,4,6,7
Temple,2,5,4,7
Connecticut,2,5,5,7
South Florida,1,6,3,9
Nebraska,7,1,10,4
Michigan,6,2,8,5
Northwestern,5,3,10,3
Michigan State,3,5,7,6
Iowa,2,6,4,8
Minnesota,2,6,6,7
Ohio State,8,0,12,0
Penn State,6,2,8,4
Wisconsin,4,4,8,6
Purdue,3,5,6,7
Indiana,2,6,4,8
Illinois,0,8,2,10
UCF,7,1,10,4
East Carolina,7,1,8,5
Marshall,4,4,5,7
Memphis,4,4,4,8
UAB,2,6,3,9
Southern Mississippi,0,8,0,12
Tulsa,7,1,11,3
SMU,5,3,7,6
Houston,4,4,5,7
Rice,4,4,7,6
UTEP,2,6,3,9
Tulane,2,6,2,10
Notre Dame,0,0,12,1
BYU,0,0,8,5
Navy,0,0,8,5
Army,0,0,2,10
Kent State,8,0,11,3
Bowling Green,6,2,8,5
Ohio,4,4,9,4
Buffalo,3,5,4,8
Miami (OH),3,5,4,8
Massachusetts,1,7,1,11
Akron,0,8,1,11
Northern Illinois,8,0,12,2
Ball State,6,2,9,4
Toledo,6,2,9,4
Central Michigan,4,4,7,6
Western Michigan,2,6,4,8
Eastern Michigan,1,7,2,10
Boise State,7,1,11,2
San Diego State,7,1,9,4
Fresno State,7,1,9,4
Air Force,5,3,6,7
Nevada,4,4,7,6
Wyoming,3,5,4,8
Colorado State,3,5,4,8
UNLV,2,6,2,11
New Mexico,1,7,4,9
Hawaii,1,7,3,9
Stanford,8,1,12,2
Oregon,8,1,12,1
Oregon State,6,3,9,4
Washington,5,4,7,6
California,2,7,3,9
Washington State,1,8,3,9
UCLA,6,3,9,5
USC,5,4,7,6
Arizona State,5,4,8,5
Arizona,4,5,8,5
Utah,3,6,5,7
Colorado,1,8,1,11
Georgia,7,1,12,2
Florida,7,1,11,2
South Carolina,6,2,11,2
Vanderbilt,5,3,9,4
Missouri,2,6,5,7
Tennessee,1,7,5,7
Kentucky,0,8,2,10
Alabama,7,1,13,1
LSU,6,2,10,3
Texas A&M,6,2,11,2
Mississippi State,4,4,8,5
Ole Miss,3,5,7,6
Arkansas,2,6,4,8
Auburn,0,8,3,9
Arkansas State,7,1,10,3
Louisiana Lafayette,6,2,9,4
Middle Tennessee,6,2,8,4
Louisiana Monroe,6,2,8,5
Western Kentucky,4,4,7,6
Troy,3,5,5,7
North Texas,3,5,4,8
Florida Intl,2,6,3,9
Florida Atlantic,2,6,3,9
South Alabama,1,7,2,11
Utah State,6,0,11,2
San José State,5,1,11,2
Louisiana Tech,4,2,9,3
Texas San Antonio,3,3,8,4
Texas State,2,4,4,8
Idaho,1,5,1,11
New Mexico State,0,6,1,11
Eastern Washington,7,1,11,3
Montana State,7,1,11,2
Cal Poly,7,1,9,3
Northern Arizona,6,2,8,3
Sacramento State,4,4,6,5
Northern Colorado,4,4,5,6
Southern Utah,4,4,5,6
Montana,3,5,5,6
North Dakota,3,5,5,6
UC Davis,3,5,4,7
