TEAM,Conference
UCF,American Athletic
Louisville,American Athletic
Cincinnati,American Athletic
Houston,American Athletic
SMU,American Athletic
Connecticut,American Athletic
Rutgers,American Athletic
South Florida,American Athletic
Temple,American Athletic
Memphis,American Athletic
Florida State,ACC
Clemson,ACC
Syracuse,ACC
Boston College,ACC
Maryland,ACC
Wake Forest,ACC
North Carolina State,ACC
Duke,ACC
Virginia Tech,ACC
Miami (FL),ACC
Georgia Tech,ACC
North Carolina,ACC
Pittsburgh,ACC
Virginia,ACC
Baylor,Big 12
Oklahoma,Big 12
Oklahoma State,Big 12
Texas,Big 12
Kansas State,Big 12
Texas Tech,Big 12
West Virginia,Big 12
TCU,Big 12
Iowa State,Big 12
Kansas,Big 12
Michigan State,Big Ten
Iowa,Big Ten
Nebraska,Big Ten
Minnesota,Big Ten
Michigan,Big Ten
Northwestern,Big Ten
Ohio State,Big Ten
Wisconsin,Big Ten
Penn State,Big Ten
Indiana,Big Ten
Illinois,Big Ten
Purdue,Big Ten
Marshall,Conference USA
East Carolina,Conference USA
Middle Tennessee,Conference USA
Florida Atlantic,Conference USA
UAB,Conference USA
Southern Miss,Conference USA
Florida International,Conference USA
Rice,Conference USA
UTSA,Conference USA
North Texas,Conference USA
Tulane,Conference USA
Louisiana Tech,Conference USA
Tulsa,Conference USA
UTEP,Conference USA
Notre Dame,Independent
Navy,Independent
Old Dominion,Independent
BYU,Independent
Army,Independent
New Mexico State,Independent
Idaho,Independent
Bowling Green,Mid-American
Buffalo,Mid-American
Ohio,Mid-American
Akron,Mid-American
Kent State,Mid-American
Massachusetts,Mid-American
Miami (OH),Mid-American
Northern Illinois,Mid-American
Ball State,Mid-American
Toledo,Mid-American
Central Michigan,Mid-American
Eastern Michigan,Mid-American
Western Michigan,Mid-American
Fresno State,Mountain West
San Diego State,Mountain West
San Jose St,Mountain West
UNLV,Mountain West
Nevada,Mountain West
Hawaii,Mountain West
Utah State,Mountain West
Boise State,Mountain West
Colorado State,Mountain West
Wyoming,Mountain West
New Mexico,Mountain West
Air Force,Mountain West
Stanford,Pac-12
Oregon,Pac-12
Washington,Pac-12
Oregon State,Pac-12
Washington State,Pac-12
California,Pac-12
Arizona State,Pac-12
UCLA,Pac-12
USC,Pac-12
Arizona,Pac-12
Utah,Pac-12
Colorado,Pac-12
Missouri,SEC
South Carolina,SEC
Georgia,SEC
Vanderbilt,SEC
Florida,SEC
Tennessee,SEC
Kentucky,SEC
Auburn,SEC
Alabama,SEC
LSU,SEC
Texas A&M,SEC
Mississippi State,SEC
Ole Miss,SEC
Arkansas,SEC
Louisiana-Lafayette,Sun Belt
Arkansas State,Sun Belt
Western Kentucky,Sun Belt
South Alabama,Sun Belt
Louisiana-Monroe,Sun Belt
Troy,Sun Belt
Texas State,Sun Belt
Georgia State,Sun Belt
Eastern Washington,FCS
Northern Arizona,FCS
Montana,FCS
Southern Utah,FCS
Montana State,FCS
Cal Poly,FCS
UC Davis,FCS
Sacramento State,FCS
Portland State,FCS
North Dakota,FCS
Weber State,FCS
Idaho State,FCS
Northern Colorado,FCS
Coastal Carolina,FCS
Liberty,FCS
Charleston Southern,FCS
Gardner-Webb,FCS
Presbyterian,FCS
Virginia Military Institute,FCS
Maine,FCS
Towson,FCS
New Hampshire,FCS
Villanova,FCS
Richmond,FCS
William & Mary,FCS
Delaware,FCS
Stony Brook,FCS
James Madison,FCS
Rhode Island,FCS
Albany,FCS
Abilene Christian,FCS
Incarnate Word,FCS
Monmouth,FCS
Charlotte,FCS
Houston Baptist,FCS
Harvard,FCS
Princeton,FCS
Dartmouth,FCS
Brown,FCS
Yale,FCS
Pennsylvania,FCS
Cornell,FCS
Columbia,FCS
Bethune-Cookman,FCS
South Carolina State,FCS
Delaware State,FCS
Morgan State,FCS
North Carolina A&T,FCS
Howard,FCS
Hampton,FCS
NC Central,FCS
Norfolk State,FCS
Florida A&M,FCS
Savannah State,FCS
North Dakota State,FCS
Youngstown State,FCS
South Dakota State,FCS
Southern Illinois,FCS
Missouri State,FCS
Illinois State,FCS
South Dakota,FCS
Northern Iowa,FCS
Western Illinois,FCS
Indiana State,FCS
Sacred Heart,FCS
Duquesne,FCS
Robert Morris,FCS
St. Francis U,FCS
Bryant,FCS
Central Connecticut State,FCS
Wagner,FCS
Eastern Illinois,FCS
Tennessee State,FCS
Jacksonville State,FCS
Tennessee-Martin,FCS
Murray State,FCS
Eastern Kentucky,FCS
Tennessee Tech,FCS
Southeast Missouri State,FCS
Austin Peay,FCS
Lafayette,FCS
Lehigh,FCS
Bucknell,FCS
Colgate,FCS
Holy Cross,FCS
Georgetown,FCS
Fordham,FCS
Marist,FCS
San Diego,FCS
Butler,FCS
Mercer,FCS
Dayton,FCS
Drake,FCS
Jacksonville,FCS
Morehead State,FCS
Campbell,FCS
Stetson,FCS
Valparaiso,FCS
Davidson,FCS
Chattanooga,FCS
Samford,FCS
Furman,FCS
Georgia Southern,FCS
Wofford,FCS
Citadel,FCS
Appalachian State,FCS
Elon,FCS
Western Carolina,FCS
Southeastern Louisiana,FCS
McNeese State,FCS
Sam Houston State,FCS
Central Arkansas,FCS
Northwestern State,FCS
Lamar,FCS
Nicholls State,FCS
Stephen F. Austin,FCS
Jackson State,FCS
Alcorn State,FCS
Alabama State,FCS
Alabama A&M,FCS
Mississippi Valley State,FCS
Southern University,FCS
Prairie View A&M,FCS
Arkansas-Pine Bluff,FCS
Texas Southern,FCS
Grambling State,FCS
