"Visitor","Visitor.Score","Home.Team","Home.Score"
" Akron",7,"UCF",38
" Sacramento State",0,"San Jose State",24
" Illinois State",28,"Ball State",51
" Indiana State",35,"Indiana",73
" Jackson State",7,"Tulane",34
" Liberty",10,"Kent State",17
" Mississippi",39,"Vanderbilt",35
" North Carolina",10,"South Carolina",27
" UNLV",23,"Minnesota",51
" Rutgers",51,"Fresno State",52
" USC",30,"Hawai'i",13
" Southern Utah",22,"South Alabama",21
" Towson",33,"Connecticut",18
" Tulsa",7,"Bowling Green",34
" Utah State",26,"Utah",30
" Western Carolina",24,"Middle Tennessee",45
" Presbyterian",7,"Wake Forest",31
" Florida Atlantic",6,"Miami (FL)",34
" Morgan State",12,"Army",28
" North Dakota State",24,"Kansas State",21
" Northern Arizona",0,"Arizona",35
" Samford",31,"Georgia State",21
" Southern University",13,"Houston",62
" Texas Tech",41,"SMU",23
" Western Michigan",13,"Michigan State",26
" Alabama",35,"Virginia Tech",10
" UAB",31,"Troy",34
" Austin Peay",0,"Tennessee",45
" Boise State",6,"Washington",38
" BYU",16,"Virginia",19
" Buffalo",20,"Ohio State",40
" Central Michigan",9,"Michigan",59
" Colgate",13,"Air Force",38
" Eastern Illinois",40,"San Diego State",19
" Eastern Washington",49,"Oregon State",46
" Florida International",10,"Maryland",43
" Georgia",35,"Clemson",38
" Howard",24,"Eastern Michigan",34
" Idaho",6,"North Texas",40
" Kentucky",26,"Western Kentucky",35
" LSU",37,"TCU",27
" Louisiana Tech",14,"North Carolina State",40
" Massachusetts",0,"Wisconsin",45
" McNeese State",53,"South Florida",21
" Miami (OH)",14,"Marshall",52
" Mississippi State",3,"Oklahoma State",21
" Murray State",14,"Missouri",58
" Nevada",20,"UCLA",58
" New Mexico State",7,"Texas",56
" Nicholls State",3,"Oregon",66
" N.C. Central",0,"Duke",45
" Louisiana-Monroe",0,"Oklahoma",34
" Northern Illinois",30,"Iowa",27
" Northern Iowa",28,"Iowa State",20
" Northwestern",44,"California",30
" Old Dominion",38,"East Carolina",52
" Penn State",23,"Syracuse",17
" Purdue",7,"Cincinnati",42
" Rice",31,"Texas A&M",52
" Southern Illinois",34,"Illinois",42
" Texas State",22,"Southern Mississippi",15
" Louisiana-Lafayette",14,"Arkansas",34
" Temple",6,"Notre Dame",28
" UTSA",21,"New Mexico",13
" Toledo",6,"Florida",24
" Villanova",14,"Boston College",24
" Washington State",24,"Auburn",31
" William & Mary",17,"West Virginia",24
" Wyoming",34,"Nebraska",37
" Elon",0,"Georgia Tech",70
" Ark.-Pine Bluff",11,"Arkansas State",62
" Wofford",3,"Baylor",69
" Colorado",41,"Colorado State",27
" Ohio",7,"Louisville",49
" Florida State",41,"Pittsburgh",13
" Sacramento State",0,"Arizona State",55
" Florida Atlantic",13,"East Carolina",31
" UCF",38,"Florida International",0
" Wake Forest",10,"Boston College",24
" UAB",17,"LSU",56
" Alcorn St.",7,"Mississippi State",51
" Arizona",58,"UNLV",13
" Arkansas State",9,"Auburn",38
" Austin Peay",3,"Vanderbilt",38
" Bowling Green",41,"Kent State",22
" Buffalo",13,"Baylor",70
" Cal Poly",25,"Fresno State",41
" UC Davis",7,"Nevada",36
" Cincinnati",17,"Illinois",45
" Colorado State",27,"Tulsa",30
" Duke",28,"Memphis",14
" Eastern Kentucky",7,"Louisville",44
" Eastern Michigan",7,"Penn State",45
" Florida",16,"Miami (FL)",21
" Grambling",10,"Louisiana-Monroe",48
" Hawai'i",14,"Oregon State",33
" Houston",22,"Temple",13
" Idaho",10,"Wyoming",42
" Indiana State",14,"Purdue",20
" James Madison",33,"Akron",35
" Lamar",14,"Louisiana Tech",27
" Maine",24,"Massachusetts",14
" Miami (OH)",7,"Kentucky",41
" Middle Tennessee",20,"North Carolina",40
" Minnesota",44,"New Mexico State",21
" Montana State",30,"SMU",31
" New Hampshire",21,"Central Michigan",24
" New Mexico",42,"UTEP",35
" Nicholls State",27,"Western Michigan",23
" Norfolk State",0,"Rutgers",38
" North Texas",21,"Ohio",27
" Notre Dame",30,"Michigan",41
" Oklahoma State",56,"UTSA",35
" Old Dominion",10,"Maryland",47
" Oregon",59,"Virginia",10
" Portland State",30,"California",37
" Prairie View",3,"Texas State",28
" Richmond",21,"North Carolina State",23
" Sam Houston State",28,"Texas A&M",65
" Samford",21,"Arkansas",31
" San Diego State",7,"Ohio State",42
" San Jose State",13,"Stanford",34
" Savannah State",3,"Troy",66
" South Alabama",41,"Tulane",39
" South Carolina State",13,"Clemson",52
" South Carolina",30,"Georgia",41
" South Dakota",14,"Kansas",31
" South Florida",6,"Michigan State",21
" Southeast Missouri State",13,"Mississippi",31
" Southeastern Louisiana",17,"TCU",38
" Southern Mississippi",13,"Nebraska",56
" Missouri State",14,"Iowa",28
" Louisiana-Lafayette",27,"Kansas State",48
" Stephen F. Austin",13,"Texas Tech",61
" Syracuse",27,"Northwestern",48
" Tennessee Tech",0,"Wisconsin",48
" Chattanooga",42,"Georgia State",14
" Tennessee-Martin",14,"Boise State",63
" Texas",21,"BYU",40
" Toledo",23,"Missouri",38
" Army",14,"Ball State",40
" Navy",41,"Indiana",35
" Utah State",52,"Air Force",20
" Washington State",10,"USC",7
" Weber State",7,"Utah",70
" West Virginia",7,"Oklahoma",16
" Western Carolina",3,"Virginia Tech",45
" Western Kentucky",20,"Tennessee",52
" Central Arkansas",24,"Colorado",38
" Gardner-Webb",0,"Marshall",55
" TCU",10,"Texas Tech",20
" Troy",34,"Arkansas State",41
" Tulane",24,"Louisiana Tech",15
" Air Force",20,"Boise State",42
" Akron",24,"Michigan",28
" Alabama",49,"Texas A&M",42
" Ball State",27,"North Texas",34
" Bethune-Cookman",34,"Florida International",13
" Boston College",7,"USC",35
" Bowling Green",10,"Indiana",42
" Cal Poly",17,"Colorado State",34
" UCLA",41,"Nebraska",21
" UCF",34,"Penn State",31
" Central Michigan",21,"UNLV",31
" Delaware",7,"Navy",51
" Eastern Michigan",10,"Rutgers",28
" Eastern Washington",21,"Toledo",33
" Florida Atlantic",28,"South Florida",10
" Fordham",30,"Temple",29
" Georgia State",7,"West Virginia",41
" Georgia Tech",38,"Duke",14
" Iowa",27,"Iowa State",21
" Kansas",14,"Rice",23
