Visitor,Visitor Score,Home Team,Home Score
Abilene Christian,37,Georgia State,38
Texas A&M,52,South Carolina,28
Wake Forest,10,Louisiana-Monroe,17
Tulane,31,Tulsa,38
Boise State,13,Ole Miss,35
Temple,37,Vanderbilt,7
Rutgers,41,Washington State,38
Chattanooga,16,Central Michigan,20
Eastern Illinois,20,Minnesota,42
Howard,0,Akron,41
Presbyterian,3,Northern Illinois,55
Idaho State,14,Utah,56
Cal-San Luis Obispo,10,New Mexico State,28
North Dakota,10,San Jose State,42
Weber State,14,Arizona State,45
BYU,35,Connecticut,10
Bowling Green,31,Western Kentucky,59
Colorado State,31,Colorado,17
UTSA,27,Houston,7
UNLV,13,Arizona,58
Jacksonville St,7,Michigan State,45
Villanova,26,Syracuse,27
Penn State,26,UCF,24
Ohio State,34,Navy,17
UCLA,28,Virginia,20
Appalachian State,14,Michigan,52
Troy,10,UAB,48
California,31,Northwestern,24
Georgia Southern,23,North Carolina State,24
Florida Atlantic,7,Nebraska,55
Boston College,30,Massachusetts,7
Marshall,42,Miami (OH),27
Rice,17,Notre Dame,48
Alabama,33,West Virginia,23
Arkansas,21,Auburn,45
Clemson,21,Georgia,45
Ohio,17,Kent State,14
Louisiana Tech,16,Oklahoma,48
Western Michigan,34,Purdue,43
Fresno State,13,USC,52
Southern Miss,0,Mississippi State,49
Washington,17,Hawaii,16
Florida State,37,Oklahoma State,31
North Texas,7,Texas,38
UTEP,31,New Mexico,24
LSU,28,Wisconsin,24
Wofford,19,Georgia Tech,38
Colgate,10,Ball State,30
Nicholls State,16,Air Force,44
Southern Utah,19,Nevada,28
Duquesne,28,Buffalo,38
South Dakota State,18,Missouri,38
William + Mary,9,Virginia Tech,34
UC-Davis,0,Stanford,45
Montana,12,Wyoming,17
Portland State,14,Oregon State,29
Elon,13,Duke,52
Liberty,29,North Carolina,56
Morgan State,28,Eastern Michigan,31
Arkansas-Pine Bluff,0,Texas State,65
Central Arkansas,35,Texas Tech,42
Montana State,10,Arkansas State,37
New Hampshire,20,Toledo,54
Northern Arizona,7,San Diego State,38
Austin Peay,0,Memphis,63
Samford,14,TCU,48
Southern Univ,6,Louisiana-Lafayette,45
Western Carolina,31,South Florida,36
Stephen F Austin,16,Kansas State,55
No Carolina Central,7,East Carolina,52
South Dakota,13,Oregon,62
Bethune-Cookman,14,Florida International,12
Delaware,0,Pittsburgh,62
Hampton,28,Old Dominion,41
Indiana State,10,Indiana,28
James Madison,7,Maryland,52
North Dakota St,34,Iowa State,14
Northern Iowa,23,Iowa,31
Savannah State,7,Middle Tennessee,61
Tennessee-Martin,14,Kentucky,59
Youngstown State,17,Illinois,28
Utah State,7,Tennessee,38
SMU,0,Baylor,45
Miami (FL),13,Louisville,31
Arizona,26,UTSA,23
Pittsburgh,30,Boston College,20
Washington State,13,Nevada,24
Florida Atlantic,0,Alabama,41
Kansas State,32,Iowa State,28
SMU,6,North Texas,43
Ball State,13,Iowa,17
Northern Illinois,23,Northwestern,15
Central Michigan,38,Purdue,17
Buffalo,39,Army,47
Missouri,49,Toledo,24
Navy,31,Temple,24
