,Predicted Winner,,Predicted Loser,Winner Percent,,,Spread Prediction,,Cover Percent,,Over Under Prediction,,Over Under Percent,
[](#f/),Arizona,[](#f/),New Mexico,79.68,%,[](#f/),Arizona,-9.5,68.26,%,Over,64,52.87,%
[](#f/),Utah,[](#f/),BYU,55.42,%,[](#f/),BYU,+2.5,50.28,%,Under,53.5,62.7,%
[](#f/),Appalachian State,[](#f/),Ohio,75.88,%,[](#f/),Appalachian State,-8.5,62.87,%,Under,54,55.4,%
[](#f/),Georgia State,[](#f/),San Jose State,70.44,%,[](#f/),Georgia State,+3,76,%,Under,56,61.01,%
[](#f/),Louisiana Tech,[](#f/),Arkansas State,61,%,[](#f/),Louisiana Tech,-2,57.96,%,Over,67,57.83,%
[](#f/),Western Kentucky,[](#f/),South Florida,59.81,%,[](#f/),Western Kentucky,-3,54.78,%,Under,65.5,55.8,%
[](#f/),Utah State,[](#f/),Akron,67.23,%,[](#f/),Utah State,-6.5,55.14,%,Under,49,57.34,%
[](#f/),Temple,[](#f/),Toledo,51.37,%,[](#f/),Toledo,+1.5,51.63,%,Under,51,57.41,%
[](#f/),Boise State,[](#f/),Northern Illinois,61.16,%,[](#f/),Northern Illinois,-8,52.46,%,Over,54.5,56.07,%
[](#f/),Bowling Green,[](#f/),Georgia Southern,88,%,[](#f/),Bowling Green,-7.5,82.32,%,Over,66,60.22,%
[](#f/),Western Michigan,[](#f/),Middle Tennessee,53.52,%,[](#f/),Middle Tennessee,+3,51.49,%,Over,62.5,50.79,%
[](#f/),San Diego State,[](#f/),Cincinnati,65.08,%,[](#f/),San Diego State,+1.5,67.55,%,Over,57,53.96,%
[](#f/),Marshall,[](#f/),Connecticut,69.67,%,[](#f/),Marshall,-4.5,58.12,%,Under,44,74.2,%
[](#f/),Washington State,[](#f/),Miami (FL),65.09,%,[](#f/),Washington State,-2.5,60.22,%,Under,62,52.68,%
[](#f/),Washington,[](#f/),Southern Miss,63.15,%,[](#f/),Southern Miss,+8.5,53.14,%,Under,55.5,65.18,%
[](#f/),Indiana,[](#f/),Duke,58.89,%,[](#f/),Indiana,-2,55.52,%,Under,67,54.8,%
[](#f/),Tulsa,[](#f/),Virginia Tech,55.48,%,[](#f/),Tulsa,+13.5,76.81,%,Over,61.5,67.67,%
[](#f/),UCLA,[](#f/),Nebraska,72.63,%,[](#f/),UCLA,-6.5,62.51,%,Under,61,55.38,%
[](#f/),Navy,[](#f/),Pittsburgh,59.96,%,[](#f/),Navy,-3.5,51.95,%,Under,56,58.07,%
[](#f/),Minnesota,[](#f/),Central Michigan,57.63,%,[](#f/),Central Michigan,+5.5,53.83,%,Under,49.5,52.86,%
[](#f/),California,[](#f/),Air Force,77.61,%,[](#f/),California,-7,68.75,%,Under,65.5,55.94,%
[](#f/),Baylor,[](#f/),North Carolina,53.77,%,[](#f/),North Carolina,+3,51.87,%,Under,70,56.47,%
[](#f/),Nevada,[](#f/),Colorado State,55.97,%,[](#f/),Nevada,-3,62.2,%,Under,56,51.49,%
[](#f/),LSU,[](#f/),Texas Tech,62.52,%,[](#f/),LSU,-7,52.03,%,Over,73.5,61.98,%
[](#f/),Memphis,[](#f/),Auburn,69.85,%,[](#f/),Memphis,+2.5,73.9,%,Under,64,58.98,%
[](#f/),Mississippi State,[](#f/),North Carolina State,68.63,%,[](#f/),Mississippi State,-5.5,59.05,%,Over,59,51.26,%
[](#f/),Texas A&M,[](#f/),Louisville,58.55,%,[](#f/),Texas A&M,-1,56.38,%,Under,50.5,52.22,%
[](#f/),USC,[](#f/),Wisconsin,53.41,%,[](#f/),Wisconsin,+3,52.66,%,Under,50.5,67.03,%
[](#f/),Florida State,[](#f/),Houston,60.8,%,[](#f/),Houston,+7,55.21,%,Under,54.5,74.71,%
[](#f/),Alabama,[](#f/),Michigan State,73.22,%,[](#f/),Alabama,-9.5,53.57,%,Over,47,53.14,%
[](#f/),Oklahoma,[](#f/),Clemson,76,%,[](#f/),Oklahoma,-3.5,70.85,%,Under,65.5,54.95,%
[](#f/),Tennessee,[](#f/),Northwestern,69.49,%,[](#f/),Tennessee,-8.5,50.79,%,Under,45.5,67.1,%
[](#f/),Michigan,[](#f/),Florida,60.57,%,[](#f/),Michigan,-4,50.52,%,Under,41,62.92,%
[](#f/),Ohio State,[](#f/),Notre Dame,75.83,%,[](#f/),Ohio State,-6.5,62.48,%,Under,53.5,63.93,%
[](#f/),Iowa,[](#f/),Stanford,53.22,%,[](#f/),Iowa,+6.5,65.7,%,Over,53,55.57,%
[](#f/),Ole Miss,[](#f/),Oklahoma State,63.6,%,[](#f/),Ole Miss,+7,72.3,%,Over,67,51.95,%
[](#f/),Georgia,[](#f/),Penn State,52.09,%,[](#f/),Penn State,+6.5,61.1,%,Under,41.5,58.44,%
[](#f/),Arkansas,[](#f/),Kansas State,77.02,%,[](#f/),Arkansas,-11.5,61.13,%,Over,59.5,56.03,%
[](#f/),TCU,[](#f/),Oregon,55.22,%,[](#f/),TCU,PICK,55.22,%,Over,78,57.31,%
[](#f/),West Virginia,[](#f/),Arizona State,61.4,%,[](#f/),West Virginia,PICK,61.4,%,Under,66.5,62.17,%
