TeamA,TeamB,TeamA.Spread,OverUnder
Arizona,New Mexico,-9.5,64
BYU,Utah,2.5,53.5
Ohio,Appalachian State,8.5,54
San Jose State,Georgia State,-3,56
Arkansas State,Louisiana Tech,2,67
Western Kentucky,South Florida,-3,65.5
Akron,Utah State,6.5,49
Toledo,Temple,1.5,51
Boise State,Northern Illinois,-8,54.5
Georgia Southern,Bowling Green,7.5,66
Middle Tennessee,Western Michigan,3,62.5
Cincinnati,San Diego State,-1.5,57
Connecticut,Marshall,4.5,44
Miami (FL),Washington State,2.5,62
Southern Miss,Washington,8.5,55.5
Indiana,Duke,-2,67
Tulsa,Virginia Tech,13.5,61.5
Nebraska,UCLA,6.5,61
Pittsburgh,Navy,3.5,56
Central Michigan,Minnesota,5.5,49.5
Air Force,California,7,65.5
Baylor,North Carolina,-3,70
Nevada,Colorado State,3,56
Texas Tech,LSU,7,73.5
Memphis,Auburn,2.5,64
North Carolina State,Mississippi State,5.5,59
Louisville,Texas A&M,1,50.5
Wisconsin,USC,3,50.5
Houston,Florida State,7,54.5
Michigan State,Alabama,9.5,47
Oklahoma,Clemson,-3.5,65.5
Tennessee,Northwestern,-8.5,45.5
Florida,Michigan,4,41
Notre Dame,Ohio State,6.5,53.5
Iowa,Stanford,6.5,53
Ole Miss,Oklahoma State,7,67
Penn State,Georgia,6.5,41.5
Kansas State,Arkansas,11.5,59.5
TCU,Oregon,0,78
West Virginia,Arizona State,0,66.5
