Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
12/5/2015,Bowling Green,266,53,235,37,25,13,110,0,2,25,15,6,4,1,2066,34,Northern Illinois,107,38,152,28,12,6,49,2,3,17,13,2,5,1,1534,14
12/5/2015,Florida,15,21,165,24,9,5,51,0,1,7,11,0,1,0,981,15,Alabama,233,58,204,26,18,5,35,1,0,25,17,7,1,1,2593,29
12/5/2015,Georgia State,143,37,346,32,20,8,103,0,1,23,14,8,0,0,1909,34,Georgia Southern,135,44,68,19,6,6,38,0,2,14,14,4,2,1,1691,7
12/5/2015,New Mexico State,89,52,308,36,23,10,100,2,2,18,22,7,5,1,1937,35,Louisiana-Monroe,64,43,239,26,9,2,20,1,2,13,18,5,1,0,1663,42
12/5/2015,Southern Miss,159,32,181,30,15,5,52,1,3,14,13,5,2,1,1497,28,Western Kentucky,111,36,410,52,34,2,15,0,1,24,20,11,3,1,2103,45
12/5/2015,Texas State,154,43,227,32,19,6,45,1,2,21,15,5,1,1,1954,17,Arkansas State,343,46,192,16,12,9,67,1,0,23,12,8,1,1,1646,55
12/5/2015,Temple,98,27,287,44,26,2,15,1,1,19,14,5,4,1,1978,13,Houston,233,40,106,22,12,5,40,0,0,16,14,5,2,2,1622,24
12/5/2015,Texas,156,42,151,21,12,7,60,0,0,15,14,3,1,0,1658,23,Baylor,395,66,84,28,13,10,60,2,2,29,16,4,5,2,1942,17
12/5/2015,Troy,128,33,320,28,22,10,95,0,0,18,12,4,2,0,1850,41,Louisiana-Lafayette,103,39,207,39,22,9,85,3,1,21,19,7,5,3,1750,17
12/5/2015,West Virginia,166,42,281,42,19,3,40,1,0,22,20,6,1,0,1456,23,Kansas State,98,49,206,31,10,3,35,0,2,15,20,7,1,0,2144,24
12/6/2015,Appalachian State,301,36,163,22,15,3,19,3,1,20,10,4,1,1,1575,34,South Alabama,214,56,151,27,15,7,65,0,3,21,19,8,3,2,2025,27
12/6/2015,Michigan State,174,46,191,33,16,8,80,0,1,20,20,10,1,1,2198,16,Iowa,52,24,216,27,18,5,45,2,1,13,12,3,0,0,1402,13
12/6/2015,North Carolina,142,32,240,35,12,6,44,1,1,21,14,5,2,1,1264,37,Clemson,319,56,289,42,26,11,80,0,1,33,18,9,2,1,2336,45
12/6/2015,USC,170,32,187,37,22,7,62,1,0,25,11,4,2,1,1458,22,Stanford,262,51,155,13,10,7,58,0,0,20,13,7,3,2,2142,41
12/6/2015,Air Force,305,46,35,11,5,2,9,0,0,14,11,2,2,1,1724,24,San Diego State,233,46,203,14,9,5,39,1,0,17,13,5,1,1,1876,27
