"TeamA","TeamB","TeamA.Spread","OverUnder"
"Bowling Green","Kent State",2.5,54
"Central Michigan","Ohio",-1.5,51
"Eastern Michigan","Northern Illinois",1,63
"Toledo","Ball State",-20.5,68
"Troy","Arkansas State",-8,55.5
"Houston","Louisville",14.5,68.5
"Cincinnati","Memphis",7,56.5
"Boise State","UNLV",-28,66.5
"Boston College","Connecticut",-7,38
"Appalachian State","Louisiana-Monroe",-25.5,53.5
"Rice","UTEP",-1.5,58.5
"North Carolina State","Miami (FL)",3,50
"Iowa State","Texas Tech",3,76
"Illinois","Iowa",9.5,45.5
"Minnesota","Northwestern",1.5,46
"Purdue","Wisconsin",27.5,48.5
"Pittsburgh","Duke",-7.5,64
"Texas A&M","UTSA",-27,57.5
"West Virginia","Oklahoma",3,67
"Charlotte","Middle Tennessee",4,61
"BYU","Massachusetts",-30,58
"Georgia","Louisiana-Lafayette",-23,44.5
"Wyoming","San Diego State",10,60
"Colorado State","New Mexico",-4.5,61.5
"Michigan","Indiana",-23.5,52
"Notre Dame","Virginia Tech",-1,55
"Baylor","Kansas State",2,58.5
"Georgia Tech","Virginia",-11,55.5
"Syracuse","Florida State",21,62
"Vanderbilt","Ole Miss",10,50.5
"New Mexico State","Texas State",-9.5,66.5
"Oregon State","Arizona",-6.5,62.5
"Washington","Arizona State",-26.5,65
"Colorado","Washington State",-4,60.5
"California","Stanford",11,65
"Florida Atlantic","Old Dominion",8,62.5
"Western Michigan","Buffalo",-35,59
"Florida International","Marshall",2.5,56.5
"Mississippi State","Arkansas",-2,60
"Fresno State","Hawaii",2.5,57
"SMU","South Florida",13.5,74.5
"UCF","Tulsa",1.5,65
"Tulane","Temple",15,46
"Michigan State","Ohio State",22,53
"Kansas","Texas",24,63
"Wake Forest","Clemson",22.5,47
"Tennessee","Missouri",-15.5,66.5
"UCLA","USC",13,52
"TCU","Oklahoma State",-4.5,70.5
"Rutgers","Penn State",28,58
"Utah","Oregon",-14,71
"San Jose State","Air Force",10,58
"Nevada","Utah State",6.5,54.5
"East Carolina","Navy",7,66
"LSU","Florida",-14,38.5
"Nebraska","Maryland",-13.5,0
"Georgia State","Georgia Southern",2.5,47.5
