,Visitor Team,Visitor Score,Visitor Win %,,Home Team,Home Score,Home %,,Visitor Team,Visitor Score,Visitor Win %,Home Team,Home Score,Home %
kentstate,Kent State,27.03891764,57.8,,Bowling Green,22.37992595,42.2,,[](#f/kentstate) **Kent State**,**27.0389176384146**,**57.8**,[](#f/) Bowling Green,22.37992595,42.2
ohio,Ohio,28.6696838,56.473,,Central Michigan,25.86518273,43.527,,[](#f/ohio) **Ohio**,**28.6696837952765**,**56.473**,[](#f/) Central Michigan,25.86518273,43.527
northernillinois,Northern Illinois,33.80758626,61.246,,Eastern Michigan,27.5648233,38.754,,[](#f/northernillinois) **Northern Illinois**,**33.8075862612003**,**61.246**,[](#f/) Eastern Michigan,27.5648233,38.754
ballstate,Ball State,21.08170659,7.333,,Toledo,48.98030886,92.667,,[](#f/ballstate) Ball State,21.08170659,7.333,[](#f/) **Toledo**,**48.9803088566896**,**92.667**
arkansasstate,Arkansas State,16.70810992,15.429,,Troy,34.7865328,84.571,,[](#f/arkansasstate) Arkansas State,16.70810992,15.429,[](#f/) **Troy**,**34.7865328027742**,**84.571**
louisville,Louisville,48.08409677,79.143,,Houston,27.0267931,20.857,,[](#f/louisville) **Louisville**,**48.0840967689718**,**79.143**,[](#f/) Houston,27.0267931,20.857
memphis,Memphis,34.64637484,88.155,,Cincinnati,13.11061513,11.845,,[](#f/memphis) **Memphis**,**34.6463748403942**,**88.155**,[](#f/) Cincinnati,13.11061513,11.845
unlv,UNLV,13.80248002,2.615,,Boise State,57.75909093,97.385,,[](#f/unlv) UNLV,13.80248002,2.615,[](#f/) **Boise State**,**57.7590909335469**,**97.385**
connecticut,Connecticut,16.26573004,53.928,,Boston College,14.36578099,46.072,,[](#f/connecticut) **Connecticut**,**16.2657300449076**,**53.928**,[](#f/) Boston College,14.36578099,46.072
ulm,Louisiana-Monroe,10.17124691,3.023,,Appalachian State,48.35318378,96.977,,[](#f/ulm) Louisiana-Monroe,10.17124691,3.023,[](#f/) **Appalachian State**,**48.3531837810849**,**96.977**
utep,UTEP,27.11421765,48.487,,Rice,26.07408425,51.513,,[](#f/utep) UTEP,27.11421765,48.487,[](#f/) **Rice**,**26.0740842484796**,**51.513**
miami,Miami (FL),28.07160599,69.82,,North Carolina State,17.45368183,30.18,,[](#f/miami) **Miami (FL)**,**28.0716059907319**,**69.82**,[](#f/) North Carolina State,17.45368183,30.18
texastech,Texas Tech,43.02528815,59.985,,Iowa State,36.40842593,40.015,,[](#f/texastech) **Texas Tech**,**43.0252881515449**,**59.985**,[](#f/) Iowa State,36.40842593,40.015
iowa,Iowa,32.93348704,82.232,,Illinois,13.06876211,17.768,,[](#f/iowa) **Iowa**,**32.9334870417727**,**82.232**,[](#f/) Illinois,13.06876211,17.768
northwestern,Northwestern,29.4158127,67.674,,Minnesota,19.22701017,32.326,,[](#f/northwestern) **Northwestern**,**29.4158126988911**,**67.674**,[](#f/) Minnesota,19.22701017,32.326
wisconsin,Wisconsin,51.06010349,97.987,,Purdue,8.329862994,2.013,,[](#f/wisconsin) **Wisconsin**,**51.0601034865543**,**97.987**,[](#f/) Purdue,8.329862994,2.013
duke,Duke,25.41942764,20.653,,Pittsburgh,43.70641086,79.347,,[](#f/duke) Duke,25.41942764,20.653,[](#f/) **Pittsburgh**,**43.7064108574599**,**79.347**
