"Winner","Loser","Winner.Percent","Spread.Winner","Cover.Percent","OverUnder","OverUnder.Percent"
"Kent State","Bowling Green",57.8,"Kent State",52.579,"Under",63.824
"Ohio","Central Michigan",56.473,"Ohio",59.489,"Over",53.475
"Northern Illinois","Eastern Michigan",61.246,"Northern Illinois",59.321,"Under",57.443
"Toledo","Ball State",92.667,"Toledo",64.485,"Over",51.961
"Troy","Arkansas State",84.571,"Troy",71.69,"Under",62.987
"Louisville","Houston",79.143,"Louisville",58.027,"Over",57.361
"Memphis","Cincinnati",88.155,"Memphis",79.011,"Under",73.547
"Boise State","UNLV",97.385,"Boise State",74.806,"Over",56.097
"Connecticut","Boston College",53.928,"Connecticut",72.316,"Under",74.207
"Appalachian State","Louisiana-Monroe",96.977,"Appalachian State",73.715,"Over",57.402
"Rice","UTEP",51.513,"UTEP",51.337,"Under",65.231
"Miami (FL)","North Carolina State",69.82,"Miami (FL)",63.705,"Under",64.203
"Texas Tech","Iowa State",59.985,"Texas Tech",55.407,"Over",52.212
"Iowa","Illinois",82.232,"Iowa",67.445,"Under",54.039
"Northwestern","Minnesota",67.674,"Northwestern",64.627,"Over",50.531
"Wisconsin","Purdue",97.987,"Wisconsin",73.056,"Over",66.796
"Pittsburgh","Duke",79.347,"Pittsburgh",68.221,"Over",57.418
"Texas A&M","UTSA",93.322,"Texas A&M",62.094,"Over",58.697
"Oklahoma","West Virginia",54.522,"West Virginia",51.223,"Under",67.958
"Middle Tennessee","Charlotte",78.783,"Middle Tennessee",72.983,"Over",59.006
"BYU","Massachusetts",92.793,"Massachusetts",52.659,"Under",60.442
"Georgia","Louisiana-Lafayette",83.858,"Louisiana-Lafayette",61.323,"Over",54.98
"San Diego State","Wyoming",63.931,"Wyoming",50.529,"Over",56.747
"Colorado State","New Mexico",81.223,"Colorado State",76.053,"Over",63.925
"Michigan","Indiana",97.972,"Michigan",80.17,"Over",62.04
"Virginia Tech","Notre Dame",57.097,"Virginia Tech",58.88,"Under",53.082
"Baylor","Kansas State",63.468,"Baylor",66.661,"Under",51.949
"Georgia Tech","Virginia",65.892,"Virginia",55.706,"Under",50.209
"Florida State","Syracuse",85.522,"Florida State",56.061,"Over",55.369
"Ole Miss","Vanderbilt",79.034,"Ole Miss",61.212,"Over",55.107
"New Mexico State","Texas State",86.236,"New Mexico State",75.331,"Under",64.067
"Oregon State","Arizona",67.538,"Oregon State",53.514,"Under",72.885
"Washington","Arizona State",96.574,"Washington",69.599,"Over",64.197
"Colorado","Washington State",57.227,"Washington State",50.419,"Under",65.783
"Stanford","California",51.64,"California",69.385,"Under",68.272
"Old Dominion","Florida Atlantic",84.142,"Old Dominion",73.676,"Under",53.625
"Western Michigan","Buffalo",99.236,"Western Michigan",80.269,"Over",67.795
"Marshall","Florida International",56.144,"Marshall",50.72,"Over",52.291
"Mississippi State","Arkansas",55.427,"Mississippi State",52.259,"Over",56.363
"Hawaii","Fresno State",67.452,"Hawaii",62.854,"Under",66.521
"South Florida","SMU",69.141,"SMU",51.162,"Under",51.292
"UCF","Tulsa",59.731,"UCF",62.253,"Under",58.49
"Temple","Tulane",69.487,"Tulane",57.849,"Over",62.935
"Ohio State","Michigan State",97.625,"Ohio State",82.73,"Over",67.235
"Texas","Kansas",97.672,"Texas",79.071,"Under",53.163
"Clemson","Wake Forest",88.076,"Wake Forest",51.274,"Under",63.728
"Tennessee","Missouri",74.279,"Missouri",53.401,"Under",58.516
"USC","UCLA",60.514,"UCLA",70.382,"Under",71.015
"TCU","Oklahoma State",52.325,"Oklahoma State",55.051,"Under",58.726
"Penn State","Rutgers",97.279,"Penn State",72.576,"Over",53.924
"Utah","Oregon",60.703,"Oregon",61.513,"Over",58.225
"Air Force","San Jose State",76.765,"Air Force",62.968,"Over",54.874
"Utah State","Nevada",75.934,"Utah State",61.627,"Under",75.082
"Navy","East Carolina",70.463,"Navy",60.007,"Over",63.996
"LSU","Florida",72.306,"Florida",66.214,"Under",81.653
"Nebraska","Maryland",81.581,"Nebraska",57.536,"Over",100
"Georgia State","Georgia Southern",66.48,"Georgia State",71.369,"Under",64.786
