"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",59,73,32,112,64
"Akron",87,115,94.5,94,105
"Alabama",6,1,6,3,1
"Appalachian State",92,28,32,96,56
"Arizona",53,97,124.5,25,80.5
"Arizona State",34,91,94.5,44,68
"Arkansas",42,61,65.5,10,43
"Arkansas State",94,57,65.5,111,76
"Army",103,49,69,128,80.5
"Auburn",33,6,49.5,14,11
"Ball State",100,102,108.5,120,111
"Baylor",46,70,78.5,75,63
"Boise State",43,36,18,67,27
"Boston College",112,45,78.5,80,79
"Bowling Green",96,119,108.5,70,112
"Buffalo",126,116,134.5,105,127
"BYU",62,22,49.5,79,39
"California",13,108,94.5,12,62
"Central Michigan",91,88,78.5,89,96
"Charlotte",122,117,108.5,107,122
"Cincinnati",113,53,108.5,65,91
"Clemson",8,13,12.5,46,6
"Colorado",23,9,22.5,22,7.5
"Colorado State",50,62,65.5,71,59
"Connecticut",125,64,124.5,87,106
"Duke",84,50,108.5,24,73
"East Carolina",77,112,124.5,73,104
"Eastern Michigan",90,92,65.5,90,92.5
"Florida",79,12,49.5,21,34
"Florida Atlantic",107,127,124.5,108,123
"Florida International",120,107,108.5,93,119
"Florida State",20,32,32,37,14
"Fresno State",128,93,138,98,121
"Georgia",75,35,65.5,33,46
"Georgia Southern",98,84,94.5,86,98
"Georgia State",123,89,124.5,91,116
"Georgia Tech",56,41,49.5,53,40
"Hawaii",97,111,88,109,108.5
"Houston",25,37,32,77,23
"Idaho",83,94,49.5,104,87
"Illinois",88,69,124.5,28,86
"Indiana",63,44,78.5,41,51
"Iowa",47,10,49.5,45,20
"Iowa State",65,65,124.5,27,75
"Kansas",111,101,134.5,31,113
"Kansas State",51,27,49.5,56,32
"Kent State",116,75,124.5,95,107
"Kentucky",49,72,65.5,34,58
"Louisiana-Lafayette",108,79,78.5,117,100
"Louisiana-Monroe",106,126,108.5,84,120
"Louisiana Tech",29,96,61,119,69
"Louisville",5,42,32,69,15
"LSU",40,4,59,4,13
"Marshall",124,113,124.5,101,124
"Maryland",73,54,78.5,50,67
"Massachusetts",93,120,134.5,92,117.5
"Memphis",19,52,49.5,85,33
"Miami (FL)",41,14,49.5,48,19
"Miami (OH)",101,68,78.5,116,92.5
"Michigan",2,3,18,20,3
"Michigan State",54,38,124.5,18,55
"Middle Tennessee",44,123,49.5,122,83
"Minnesota",48,25,49.5,63,30
"Mississippi State",36,67,94.5,11,48
"Missouri",61,90,108.5,43,78
"Navy",27,66,32,51,36
"Nebraska",64,20,32,32,29
"Nevada",114,87,94.5,124,108.5
"New Mexico",55,109,49.5,126,82
"New Mexico State",99,125,124.5,68,117.5
"North Carolina",38,39,49.5,100,38
"North Carolina State",82,26,78.5,38,52.5
"North Texas",119,104,94.5,88,115
"Northern Illinois",78,81,94.5,76,85
"Northwestern",37,18,78.5,13,24
"Notre Dame",30,56,108.5,15,45
"Ohio",109,55,61,121,84
"Ohio State",1,2,14,7,2
"Oklahoma",7,51,18,16,12
"Oklahoma State",26,48,32,64,28
"Old Dominion",72,95,32,125,77
"Ole Miss",18,76,94.5,1,44
"Oregon",15,103,108.5,23,66
"Oregon State",57,43,108.5,26,57
"Penn State",10,15,15,6,5
"Pittsburgh",4,98,49.5,35,41
"Purdue",68,114,124.5,61,102.5
"Rice",121,118,124.5,102,125
"Rutgers",105,85,134.5,9,102.5
"San Diego State",66,47,22.5,127,50
"San Jose State",117,100,108.5,83,114
"SMU",76,99,94.5,42,89
"South Alabama",110,74,78.5,123,99
"South Carolina",115,30,78.5,57,74
"South Florida",12,82,18,81,37
"Southern Miss",80,110,78.5,110,101
"Stanford",67,8,32,17,22
"Syracuse",69,105,108.5,40,95
"TCU",70,34,78.5,54,52.5
"Temple",52,16,22.5,99,26
"Tennessee",14,78,49.5,19,35
"Texas",58,58,94.5,29,61
"Texas A&M",24,33,49.5,39,18
"Texas State",127,128,134.5,97,128
"Texas Tech",11,121,94.5,55,72
"Toledo",31,83,32,103,49
"Troy",74,59,32,114,65
"Tulane",104,60,108.5,78,94
"Tulsa",16,86,32,74,42
"UCF",60,46,78.5,82,60
"UCLA",71,31,108.5,8,54
"UNLV",81,122,108.5,115,110
"USC",22,11,32,5,9
"Utah",39,24,49.5,58,25
"Utah State",95,80,124.5,52,97
"UTEP",118,124,117,106,126
"UTSA",89,77,78.5,113,90
"Vanderbilt",86,17,78.5,36,47
"Virginia",85,71,134.5,30,88
"Virginia Tech",28,21,40,60,16
"Wake Forest",102,29,78.5,62,70
"Washington",3,7,12.5,66,4
"Washington State",9,19,49.5,47,10
"West Virginia",45,23,18,49,17
"Western Kentucky",17,63,32,72,31
"Western Michigan",21,40,6,118,21
"Wisconsin",32,5,22.5,2,7.5
"Wyoming",35,106,61,59,71
