"Team","Previous.Score","Score","Rank"
"Air Force",27.730753474904,27.730753474904,45
"Akron",12.6883691514527,12.6883691514527,100
"Alabama",55.2911789135866,55.2911789135866,1
"Appalachian State",30.1002837153027,30.1002837153027,38
"Arizona",12.1464074247382,12.1464074247382,102
"Arizona State",15.4886076797135,15.4886076797135,91
"Arkansas",24.3636861840981,24.3636861840981,57
"Arkansas State",24.750934634075,24.750934634075,55
"Army",19.3516421972977,19.3516421972977,74
"Auburn",38.8238359522926,38.8238359522926,11
"Ball State",13.5338779809926,13.5338779809926,97
"Baylor",25.0424231217485,25.0424231217485,54
"Boise State",31.1871887504809,31.1871887504809,28
"Boston College",15.7104068034514,15.7104068034514,88
"Bowling Green",11.499723122331,11.499723122331,106
"Buffalo",2.14642921099814,2.14642921099814,127
"BYU",30.1941392586472,30.1941392586472,36
"California",19.7220851302188,19.7220851302188,73
"Central Michigan",15.2858899401061,15.2858899401061,94
"Charlotte",6.77601591784299,6.77601591784299,115
"Cincinnati",13.1009087066788,13.1009087066788,98
"Clemson",47.2145018933335,47.2145018933335,3
"Colorado",33.424643814437,33.424643814437,19
"Colorado State",25.7632721720844,25.7632721720844,51
"Connecticut",5.96062969895541,5.96062969895541,117
"Duke",17.7835140860409,17.7835140860409,82
"East Carolina",11.2227213288363,11.2227213288363,107
"Eastern Michigan",17.1026588071576,17.1026588071576,85
"Florida",32.2612138048723,32.2612138048723,24
"Florida Atlantic",4.76876840217841,4.76876840217841,124
"Florida International",6.99671402316242,6.99671402316242,113
"Florida State",36.3537669341246,36.3537669341246,16
"Fresno State",4.89510228401355,4.89510228401355,122
"Georgia",23.9942893644817,23.9942893644817,58
"Georgia Southern",16.3920866429659,16.3920866429659,87
"Georgia State",11.7110091272226,11.7110091272226,105
"Georgia Tech",26.6537203521568,26.6537203521568,49
"Hawaii",10.7138613828163,10.7138613828163,108
"Houston",31.4182586085063,31.4182586085063,26
"Idaho",19.0136202965389,19.0136202965389,76
"Illinois",8.51831730540511,8.51831730540511,111
"Indiana",21.6477427780414,21.6477427780414,65
"Iowa",30.5141185186093,30.5141185186093,33
"Iowa State",19.2209391836783,19.2209391836783,75
"Kansas",4.18296000813086,4.18296000813086,125
"Kansas State",30.5406160790794,30.5406160790794,32
"Kent State",12.3108274827029,12.3108274827029,101
"Kentucky",20.9028926072996,20.9028926072996,70
"Louisiana-Lafayette",15.5045507582492,15.5045507582492,90
"Louisiana-Monroe",2.68891894252815,2.68891894252815,126
"Louisiana Tech",28.4340592981354,28.4340592981354,41
"Louisville",40.5456842396833,40.5456842396833,7
"LSU",41.3474894139613,41.3474894139613,6
"Marshall",5.75108477381165,5.75108477381165,118
"Maryland",18.1835799845881,18.1835799845881,79
"Massachusetts",6.00195523341784,6.00195523341784,116
"Memphis",30.2685082070664,30.2685082070664,35
"Miami (FL)",36.7228146675261,36.7228146675261,15
"Miami (OH)",17.9892990802753,17.9892990802753,81
"Michigan",46.7400360677482,46.7400360677482,5
"Michigan State",21.2263942368856,21.2263942368856,67
"Middle Tennessee",16.4854375185765,16.4854375185765,86
"Minnesota",28.0243801718784,28.0243801718784,43
"Mississippi State",23.1850017197859,23.1850017197859,61
"Missouri",17.1127802737663,17.1127802737663,84
"Navy",28.5023784229351,28.5023784229351,40
"Nebraska",26.623292335322,26.623292335322,50
"Nevada",12.0308878646784,12.0308878646784,103
"New Mexico",20.4436681043826,20.4436681043826,72
"New Mexico State",5.43717691674881,5.43717691674881,120
"North Carolina",28.1914729113155,28.1914729113155,42
"North Carolina State",27.7844891970533,27.7844891970533,44
"North Texas",9.50549681924032,9.50549681924032,109
"Northern Illinois",22.1927837374266,22.1927837374266,64
"Northwestern",29.2272046716895,29.2272046716895,39
"Notre Dame",27.5168951563345,27.5168951563345,46
"Ohio",20.7499000160438,20.7499000160438,71
"Ohio State",47.2743882221961,47.2743882221961,2
"Oklahoma",39.3792008862377,39.3792008862377,9
"Oklahoma State",32.7994168847525,32.7994168847525,20
"Old Dominion",22.8574143538088,22.8574143538088,62
"Ole Miss",25.757315736906,25.757315736906,52
"Oregon",18.0658915069975,18.0658915069975,80
"Oregon State",18.8080665328222,18.8080665328222,78
"Penn State",38.088873662329,38.088873662329,13
"Pittsburgh",30.1898321165545,30.1898321165545,37
"Purdue",6.81596367740511,6.81596367740511,114
"Rice",5.14914346610814,5.14914346610814,121
"Rutgers",5.49184886137055,5.49184886137055,119
"San Diego State",31.2995841448398,31.2995841448398,27
"San Jose State",7.35954013426305,7.35954013426305,112
"SMU",14.5607405923357,14.5607405923357,96
"South Alabama",15.1602351051352,15.1602351051352,95
"South Carolina",15.6956375490311,15.6956375490311,89
"South Florida",31.0568999707065,31.0568999707065,29
"Southern Miss",17.5346346139656,17.5346346139656,83
"Stanford",30.562611164311,30.562611164311,31
"Syracuse",11.9559851841794,11.9559851841794,104
"TCU",25.1788328686751,25.1788328686751,53
"Temple",32.3883695216267,32.3883695216267,22
"Tennessee",30.4844767183392,30.4844767183392,34
"Texas",23.3937112122197,23.3937112122197,59
"Texas A&M",32.2860570276629,32.2860570276629,23
"Texas State",-5.1095770429316,-5.1095770429316,128
"Texas Tech",20.9413891760915,20.9413891760915,69
"Toledo",31.6560181271718,31.6560181271718,25
"Troy",27.483824378635,27.483824378635,47
"Tulane",15.2920273344391,15.2920273344391,93
"Tulsa",32.5544778258863,32.5544778258863,21
"UCF",24.6575128520444,24.6575128520444,56
"UCLA",21.3268002919462,21.3268002919462,66
"UNLV",9.42922340175215,9.42922340175215,110
"USC",37.1432788940193,37.1432788940193,14
"Utah",26.9860736321536,26.9860736321536,48
"Utah State",15.368931263334,15.368931263334,92
"UTEP",4.80136186569605,4.80136186569605,123
"UTSA",18.8515451921527,18.8515451921527,77
"Vanderbilt",22.585679770591,22.585679770591,63
"Virginia",13.079893841913,13.079893841913,99
"Virginia Tech",34.4317424104196,34.4317424104196,18
"Wake Forest",21.0777823265826,21.0777823265826,68
"Washington",46.9606857346193,46.9606857346193,4
"Washington State",34.7253718093218,34.7253718093218,17
"West Virginia",30.7149799986327,30.7149799986327,30
"Western Kentucky",38.6464451592839,38.6464451592839,12
"Western Michigan",38.9901849113599,38.9901849113599,10
"Wisconsin",39.5764074415566,39.5764074415566,8
"Wyoming",23.279725006373,23.279725006373,60
