"Team","Previous.Score","Score","Rank"
"Air Force",1722.14548717945,1722.14548717945,40
"Akron",1516.97466443589,1516.97466443589,89
"Alabama",2147.476547068,2147.476547068,1
"Appalachian State",1794.72121175289,1794.72121175289,17
"Arizona",1488.42391692029,1488.42391692029,97
"Arizona State",1513.36967767425,1513.36967767425,91
"Arkansas",1631.19019137227,1631.19019137227,57
"Arkansas State",1653.64227607062,1653.64227607062,52
"Army",1554.82576120861,1554.82576120861,82
"Auburn",1774.3264316591,1774.3264316591,21
"Ball State",1474.00115869542,1474.00115869542,100
"Baylor",1624.97804167049,1624.97804167049,59
"Boise State",1747.75727518826,1747.75727518826,29
"Boston College",1595.37642638562,1595.37642638562,69
"Bowling Green",1472.65672786881,1472.65672786881,101
"Buffalo",1308.29740443886,1308.29740443886,125
"BYU",1734.03879893372,1734.03879893372,33
"California",1606.43859199969,1606.43859199969,66
"Central Michigan",1506.68338345603,1506.68338345603,93
"Charlotte",1418.57607301444,1418.57607301444,109
"Cincinnati",1456.40441952266,1456.40441952266,103
"Clemson",2025.17887073977,2025.17887073977,2
"Colorado",1773.23971600153,1773.23971600153,22
"Colorado State",1664.33495581916,1664.33495581916,51
"Connecticut",1346.31488193585,1346.31488193585,123
"Duke",1504.75644810351,1504.75644810351,95
"East Carolina",1372.15501052249,1372.15501052249,118
"Eastern Michigan",1557.841103186,1557.841103186,81
"Florida",1777.75510966512,1777.75510966512,20
"Florida Atlantic",1392.66748623428,1392.66748623428,112
"Florida International",1404.60437125657,1404.60437125657,110
"Florida State",1859.55045469925,1859.55045469925,11
"Fresno State",1273.74440014285,1273.74440014285,127
"Georgia",1671.93417128782,1671.93417128782,49
"Georgia Southern",1506.71500228077,1506.71500228077,92
"Georgia State",1385.23117706182,1385.23117706182,114
"Georgia Tech",1699.27375799973,1699.27375799973,46
"Hawaii",1506.58913452808,1506.58913452808,94
"Houston",1726.58787575341,1726.58787575341,37
"Idaho",1620.0838743317,1620.0838743317,62
"Illinois",1403.286503987,1403.286503987,111
"Indiana",1581.7659077699,1581.7659077699,73
"Iowa",1730.23965208905,1730.23965208905,35
"Iowa State",1515.19749494907,1515.19749494907,90
"Kansas",1341.57198482627,1341.57198482627,124
"Kansas State",1722.54267618505,1722.54267618505,38
"Kent State",1454.37438388287,1454.37438388287,105
"Kentucky",1612.06003500428,1612.06003500428,64
"Louisiana-Lafayette",1524.62805490003,1524.62805490003,87
"Louisiana-Monroe",1446.37110617721,1446.37110617721,106
"Louisiana Tech",1653.49391068974,1653.49391068974,53
"Louisville",1798.44263290085,1798.44263290085,16
"LSU",1863.31854958157,1863.31854958157,9
"Marshall",1350.07380883543,1350.07380883543,122
"Maryland",1565.07874346737,1565.07874346737,78
"Massachusetts",1352.90464551699,1352.90464551699,121
"Memphis",1649.98559471029,1649.98559471029,54
"Miami (FL)",1857.05654417928,1857.05654417928,12
"Miami (OH)",1558.12516866183,1558.12516866183,80
"Michigan",1950.86610677988,1950.86610677988,3
"Michigan State",1485.09576273747,1485.09576273747,98
"Middle Tennessee",1546.54370286922,1546.54370286922,83
"Minnesota",1740.92801516592,1740.92801516592,31
"Mississippi State",1623.68151501967,1623.68151501967,60
"Missouri",1530.90522988081,1530.90522988081,84
"Navy",1665.55451453149,1665.55451453149,50
"Nebraska",1728.93111876947,1728.93111876947,36
"Nevada",1431.58030701478,1431.58030701478,108
"New Mexico",1634.20391683927,1634.20391683927,55
"New Mexico State",1358.82275258582,1358.82275258582,120
"North Carolina",1707.42076021298,1707.42076021298,44
"North Carolina State",1733.31245270047,1733.31245270047,34
"North Texas",1436.66926696594,1436.66926696594,107
"Northern Illinois",1593.5883815734,1593.5883815734,71
"Northwestern",1709.40335111205,1709.40335111205,43
"Notre Dame",1631.84619216934,1631.84619216934,56
"Ohio",1622.86253677641,1622.86253677641,61
"Ohio State",1936.62943496484,1936.62943496484,4
"Oklahoma",1875.53000727418,1875.53000727418,7
"Oklahoma State",1792.56927429412,1792.56927429412,18
"Old Dominion",1688.70149681925,1688.70149681925,47
"Ole Miss",1615.57024218946,1615.57024218946,63
"Oregon",1572.45480159006,1572.45480159006,76
"Oregon State",1563.77189840018,1563.77189840018,79
"Penn State",1855.72465788558,1855.72465788558,13
"Pittsburgh",1709.42137628556,1709.42137628556,42
"Purdue",1391.02416830725,1391.02416830725,113
"Rice",1362.19648621889,1362.19648621889,119
"Rutgers",1300.09755426345,1300.09755426345,126
"San Diego State",1745.26229970225,1745.26229970225,30
"San Jose State",1380.41565865167,1380.41565865167,115
