"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Air Force",7.74614897112221,13,0.595857613163247,174,457,341,8.61059744791202,4.38940255208799,1.38709095423469,38
"Akron",6.57660241895885,12,0.548050201579904,143,329,403,4.84307065871566,7.15692934128434,0.972222948235136,98
"Alabama",5.24642589385343,15,0.349761726256895,22,582,195,13.3424842924724,1.65751570752759,1.9997119447627,1
"Appalachian State",6.95845850916946,13,0.535266039166881,131,380,232,9.42048582755143,3.57951417244857,1.57228074048327,14
"Arizona",5.02553293498987,12,0.418794411249156,45,297,460,3.85245550247691,8.14754449752309,0.936376212526093,101
"Arizona State",5.50314225888148,12,0.458595188240123,78,400,478,4.82907051950569,7.17092948049431,1.05934460503992,88
"Arkansas",5.68957057130617,13,0.437659274715859,59,394,404,6.40767912534163,6.59232087465837,1.2063787815174,62
"Arkansas State",7.39157121585006,13,0.568582401219236,156,355,279,7.90245699377006,5.09754300622995,1.30542148092609,48
"Army",8.49479256473082,13,0.653445581902371,192,389,258,7.52675802723214,5.47324197276786,1.16275845923712,69
"Auburn",5.16222849986006,13,0.397094499989235,32,406,222,7.89585523778947,5.10414476221053,1.47589372738985,23
"Ball State",7.22398593789657,12,0.601998828158047,177,324,361,5.44519487176114,6.55480512823886,1.01862835716457,93
"Baylor",6.69769839408794,13,0.515207568775995,120,450,377,7.62507572126671,5.37492427873329,1.31612227144574,47
"Boise State",6.63290286652551,13,0.510223297425039,118,439,303,8.45886478329354,4.54113521670645,1.44938178310852,29
"Boston College",6.65627092312854,13,0.512020840240657,119,265,325,6.59949148253042,6.40050851746958,1.16152680940627,70
"Bowling Green",6.33956126254073,12,0.528296771878395,125,298,460,4.64708678839571,7.35291321160429,0.959312399549987,99
"Buffalo",6.80442134259481,12,0.567035111882901,155,198,388,2.91239679441931,9.08760320558069,0.631459060549414,127
"BYU",7.06177791517259,13,0.543213685782507,139,384,254,8.8578305955821,4.14216940441791,1.47777075048775,22
"California",4.88205394235862,12,0.406837828529885,37,445,511,5.39519845294773,6.60480154705227,1.20545662032383,63
"Central Michigan",6.92125983029844,13,0.532404602330649,129,342,394,5.76326094524422,7.23673905475578,1.01249219542609,95
"Charlotte",7.27676460801061,12,0.606397050667551,179,302,415,4.63992278900578,7.36007721099422,0.88001812086251,108
"Cincinnati",6.34484448551508,12,0.52873704045959,126,232,323,4.16578104430203,7.83421895569797,0.878654506953179,109
"Clemson",5.79285976238933,15,0.386190650825956,29,588,270,11.6840615433034,3.31593845669662,1.74215998697111,3
"Colorado",5.86651552723666,14,0.419036823374047,46,435,304,8.98358029288748,5.01641970711252,1.47555582420625,24
"Colorado State",6.61904318089967,13,0.509157167761513,115,459,395,7.40668904778156,5.59331095221844,1.28857472269328,52
"Connecticut",6.73883775024465,12,0.561569812520388,153,178,337,3.5409879905444,8.4590120094556,0.74168955926611,125
"Duke",5.33399952947876,12,0.444499960789896,64,280,338,4.85966437070456,7.14033562929544,1.07853880768996,86
"East Carolina",6.10543901026041,12,0.508786584188367,113,324,433,4.21172493467867,7.78827506532133,0.906262278287175,104
"Eastern Michigan",7.05262225977515,13,0.542509404598088,137,385,388,6.33074396284229,6.66925603715771,1.08969247278912,84
"Florida",5.49389715911779,13,0.422607473778291,50,311,218,8.83926567627868,4.16073432372132,1.59552082106067,11
"Florida Atlantic",7.12804136185514,12,0.594003446821262,172,317,477,4.18112997082157,7.81887002917843,0.81594625501143,117
"Florida International",7.07767722501716,12,0.589806435418096,169,288,418,4.1279659238084,7.87203407619161,0.8112825919124,118
"Florida State",4.96320366207854,13,0.381784897082964,28,456,325,8.76500763461053,4.23499236538947,1.62491908365321,7
"Fresno State",6.47103574451233,12,0.539252978709361,134,212,371,3.36644280729474,8.63355719270526,0.734915529202192,126
"Georgia",5.76495976210771,13,0.443458443239055,63,319,312,6.96792098729252,6.03207901270748,1.28677066867896,53
"Georgia Southern",6.5430446834804,12,0.545253723623367,140,319,318,5.76820062460451,6.23179937539549,1.12920775383981,76
"Georgia State",6.54542938725277,12,0.545452448937731,141,239,319,4.23493298981569,7.76506701018431,0.873464422727314,110
"Georgia Tech",6.06954073146916,13,0.466887748574551,87,367,318,7.49733024483768,5.50266975516232,1.34478894142734,46
"Hawaii",8.13868080965543,14,0.581334343546817,161,396,522,6.07392837783355,7.92607162216645,0.897593744740059,106
"Houston",7.04619343619991,13,0.542014879707685,136,466,305,8.55263848170048,4.44736151829952,1.43201692365771,33
"Idaho",7.25503630176733,13,0.558079715520564,149,400,407,6.80425462946614,6.19574537053386,1.14696995673185,72
"Illinois",5.37205773116644,12,0.447671477597203,68,236,383,3.64801992101666,8.35198007898334,0.873426549268003,111
"Indiana",6.21727480841068,13,0.478251908339283,97,335,354,6.00272298502904,6.99727701497096,1.10348520323051,79
"Iowa",5.56872268701321,13,0.428363283616401,56,324,245,7.81616941055141,5.1838305894486,1.43236558572606,32
"Iowa State",5.38452628566322,12,0.448710523805268,69,332,376,4.79989581165285,7.20010418834715,1.06436681816597,87
"Kansas",5.55290009408494,12,0.462741674507078,82,243,448,3.16511085597463,8.83488914402537,0.777871508184457,122
"Kansas State",6.43203191615761,13,0.494771685858278,106,419,290,8.14058448475154,4.85941551524846,1.41586719489959,35
"Kent State",6.37056063659065,12,0.530880053049221,128,247,344,4.53858269136808,7.46141730863192,0.93864510220789,100
"Kentucky",6.01528744119619,13,0.462714418553553,81,390,407,6.37736483085483,6.62263516914517,1.17665990006636,67
"Louisiana-Lafayette",7.60532345230509,13,0.585024880946545,165,307,329,6.21887422373676,6.78112577626324,1.02996626734751,91
"Louisiana-Monroe",6.62409938032896,12,0.55200828169408,147,280,469,3.88756196904337,8.11243803095663,0.809013419842245,119
"Louisiana Tech",8.32946387985856,14,0.594961705704183,173,620,470,8.95802507362292,5.04197492637708,1.29598019626689,51
"Louisville",6.12979465372559,13,0.471522665671199,91,553,309,8.94669328666138,4.05330671333862,1.56313295384203,16
"LSU",4.78578758682861,12,0.398815632235717,33,340,189,7.81990674511468,4.18009325488532,1.61759686531249,9
"Marshall",6.89460238141636,12,0.574550198451363,158,317,423,4.22130590125238,7.77869409874762,0.842095491786464,114
"Maryland",6.63116919506551,13,0.510089938081962,117,335,384,6.15426592471863,6.84573407528137,1.09496147190161,81
"Massachusetts",6.3534492390982,12,0.529454103258183,127,280,426,3.82138938660144,8.17861061339856,0.820538834537821,116
"Memphis",6.7387391489006,13,0.518364549915431,121,505,375,8.07484394957501,4.92515605042499,1.38216040235374,39
"Miami (FL)",5.94058681653873,13,0.456968216656826,77,446,241,9.23078991029007,3.76921008970993,1.62139457572235,8
"Miami (OH)",7.2606293039434,13,0.558509946457184,150,297,309,6.15707072912792,6.84292927087208,1.04697297189705,89
"Michigan",5.74085372005015,13,0.44160413231155,61,524,183,10.4035676440052,2.59643235599479,1.81718600371611,2
"Michigan State",5.36769704168949,12,0.447308086807457,67,289,333,4.88251574284529,7.11748425715471,1.07953924369585,85
"Middle Tennessee",8.34167665184325,13,0.641667434757173,191,516,465,6.993427791505,6.006572208495,1.09248580088584,83
"Minnesota",6.51297586112718,13,0.500998143163629,110,381,287,7.88390405333076,5.11609594666924,1.37015144045258,43
"Mississippi State",6.06215491136247,13,0.466319608566344,85,395,413,6.35133209551165,6.64866790448835,1.16904967384692,68
"Missouri",5.55119107243037,12,0.462599256035864,80,377,378,5.0943136881246,6.9056863118754,1.099547732014,80
"Navy",7.27229423236317,14,0.519449588025941,122,531,434,7.82767395864114,6.17232604135886,1.21001358323345,61
"Nebraska",5.9006476152654,13,0.453895970405031,74,345,311,7.81349317233154,5.18650682766846,1.40642116998053,37
