"Team","Score","Rank"
"Hawaii",-195.953005587048,91
"Tulane",-196.359982672855,92
"South Carolina",-133.95783812692,70
"Indiana",-114.101295911482,64
"Charlotte",-260.843369732942,101
"Appalachian State",-53.2125748986967,40
"Rice",-483.456736881139,118
"Oregon State",-189.527015044626,89
"Kansas State",-40.9193771890999,30
"Colorado State",-74.7171336806487,52
"Toledo",-55.7896203853433,42
"Army",-158.228885661868,78
"Ball State",-217.091437354523,97
"UCLA",-201.361616553796,93
"Oklahoma",53.8091442177967,8
"Massachusetts",-1079.12224332985,123
"Fresno State",-1480.73084036668,126
"Clemson",431.902348464473,1
"Northern Illinois",-131.533332711893,68
"New Mexico State",-493.920805127466,119
"USC",9.36051694598274,16
"Miami (OH)",-159.069019755874,79
"Georgia",-73.8208540843566,51
"SMU",-152.035818628142,76
"Georgia Tech",-24.2356605724334,23
"Rutgers",-1129.63386179708,125
"Western Michigan",-14.6957411180876,22
"BYU",-63.429673661906,45
"Boise State",-45.8553108705057,35
"Louisiana Tech",-100.636920653636,59
"San Jose State",-261.228146010791,102
"LSU",-6.43764376534975,19
"Southern Miss",-175.652009178148,85
"Bowling Green",-262.609739808728,103
"South Alabama",-166.360629020695,81
"Kent State",-355.362213732225,111
"Missouri",-215.721467419828,96
"Texas State",-1964.85418872576,128
"Notre Dame",-139.457281662217,71
"Ole Miss",-145.230064538644,75
"Louisville",19.4614755493233,14
"Maryland",-139.600341037572,72
"Troy",-69.3617163469597,47
"Iowa State",-281.834969557893,106
"Louisiana-Monroe",-256.695814202316,100
"Connecticut",-453.523611543539,117
"Wyoming",-87.2531286671752,55
"Old Dominion",-72.5903576257665,50
"Middle Tennessee",-203.879014091875,94
"UTEP",-612.368352627255,121
"Cincinnati",-289.380237816177,107
"Central Michigan",-141.679739419459,73
"Virginia",-1064.74959387173,122
"Texas Tech",-195.47960625997,90
"Florida Atlantic",-408.413140595352,116
"Western Kentucky",-40.6586390970163,29
"UTSA",-163.350340066377,80
"Virginia Tech",91.8794606752697,6
"Arkansas State",-103.046616779047,60
"Utah State",-278.636671911538,105
"Georgia State",-378.519679989876,114
"Idaho",-75.6867305361391,53
"California",-154.910032965452,77
"Kentucky",-105.324417294952,61
"UNLV",-360.325980394198,112
"Ohio",-98.6588549652674,58
"UCF",-118.999197244331,65
"Arkansas",-94.7341551329909,56
"New Mexico",-70.9618298549019,48
"Georgia Southern",-175.572637700014,84
"Eastern Michigan",-144.898702670607,74
"Wake Forest",-95.7414152272976,57
"Nevada",-276.430594737246,104
"Akron",-173.807181699959,83
"Penn State",50.1854310328929,9
"North Carolina",16.3076925970889,15
"Washington State",-42.6686152326384,32
"North Carolina State",-60.9841584544702,44
"Tulsa",-45.5888301067768,34
"Boston College",-129.369653798383,67
"Houston",-13.1514995266839,21
"Temple",-50.8499401752594,37
"Pittsburgh",372.014440501017,2
"Michigan State",-255.218967891025,99
"Baylor",-72.2936993645263,49
"Navy",-53.3636853969835,41
"North Texas",-327.964055472114,109
"East Carolina",-391.433829540236,115
"Florida International",-241.347325696858,98
"Texas A&M",-52.0411539890524,39
"Colorado",-30.8847973824096,25
"Vanderbilt",-121.574923946248,66
"Arizona State",-208.712672439374,95
"Mississippi State",-107.056508140557,62
"Miami (FL)",121.755076094063,5
"South Florida",-37.8318630494108,28
"Kansas",-1095.52674225619,124
"San Diego State",-58.9260032939296,43
"Florida State",36.9712990907069,12
"Oregon",-182.422624568704,87
"Ohio State",146.393197288873,4
"Alabama",190.2712136895,3
"Duke",-166.589759178482,82
"Utah",-67.0597883382701,46
"Buffalo",-1716.32127757506,127
"Texas",-133.631616387909,69
"TCU",-107.454610772891,63
"Iowa",-31.5735852258388,26
"Syracuse",-176.792538471969,86
"Florida",-30.2246642795364,24
"Oklahoma State",49.5286524395115,10
"Nebraska",-46.5553752671405,36
"Wisconsin",46.1088235030176,11
"Louisiana-Lafayette",-186.122050972601,88
"Washington",22.6717264012127,13
"Air Force",-51.311920648891,38
"Stanford",-13.0731859721288,20
"Purdue",-370.481891672,113
"Northwestern",5.26927657857414,17
"Memphis",-80.6719031183146,54
"Marshall",-503.070460294662,120
"Illinois",-312.638068173431,108
"Minnesota",-37.6117130334299,27
"Tennessee",0.820451718789784,18
"Arizona",-351.709777089484,110
"Auburn",-43.8234822508044,33
"Michigan",66.9642494757755,7
"West Virginia",-41.0409464656598,31
