"TEAM","ELO","GAMES","RANK"
"Hawaii",1091.42591648001,13,104
"Tulane",1187.65605702369,11,96
"South Carolina",1424.49102917708,12,64
"Indiana",1310.85727239667,13,78
"Charlotte",1082.85696109594,12,105
"Appalachian State",1702.41920320126,13,29
"Rice",759.164870312345,11,127
"Oregon State",1402.64136709256,12,68
"Kansas State",1646.95851175906,13,34
"Colorado State",1396.20775927302,12,69
"Toledo",1544.50725412761,13,45
"Army",1245.19527276454,13,91
"Ball State",1096.31553109024,11,103
"UCLA",1468.58789181412,12,57
"Oklahoma",1941.42392452171,13,7
"Massachusetts",1018.73402605318,12,114
"Fresno State",747.627373660993,11,128
"Clemson",2188.39079676791,14,3
"Northern Illinois",1175.85336691217,11,98
"New Mexico State",1011.80760083522,12,116
"USC",1889.99779684992,13,12
"Miami (OH)",1041.23987863971,12,109
"Georgia",1603.43946389088,12,40
"SMU",1252.73286946612,12,90
"Georgia Tech",1683.89479900576,13,30
"Rutgers",1181.67907382268,12,97
"Western Michigan",1801.9129826258,14,24
"BYU",1459.79915263979,13,59
"Boise State",1859.40563906379,13,16
"Louisiana Tech",1407.94072061062,13,65
"San Jose State",999.165097749575,12,118
"LSU",1749.64689971599,11,26
"Southern Miss",1309.71844419959,13,80
"Bowling Green",1020.27321182471,12,113
"South Alabama",1258.09410155292,12,88
"Kent State",1044.80141247188,12,108
"Missouri",1298.24526724372,12,83
"Texas State",888.417440733317,12,124
"Notre Dame",1280.63775369138,12,85
"Ole Miss",1658.822436032,12,33
"Louisville",1944.09242828727,13,6
"Maryland",1450.8311459675,13,61
"Troy",1591.59991865683,13,43
"Iowa State",1157.25620394513,12,99
"Louisiana-Monroe",1107.45708564319,11,102
"Connecticut",1020.59175825213,12,112
"Wyoming",1465.03646344507,14,58
"Old Dominion",1472.25405444646,13,55
"Middle Tennessee",1445.13629493523,13,62
"UTEP",902.157877244929,11,123
"Cincinnati",1124.28372175056,11,101
"Central Michigan",1382.47521648081,13,72
"Virginia",1080.50106024164,12,107
"Texas Tech",1384.18835787399,11,71
"Florida Atlantic",850.43465626955,11,125
"Western Kentucky",1595.39520334336,13,41
"UTSA",1142.84949142355,12,100
"Virginia Tech",1821.2179686531,14,22
"Arkansas State",1286.62598539755,12,84
"Utah State",1323.79001924247,12,76
"Georgia State",935.525310407939,11,121
"Idaho",1310.37051731555,13,79
"California",1403.76932641957,12,67
"Kentucky",1474.33706282601,13,54
"UNLV",1027.44695475462,12,110
"Ohio",1273.40771439604,14,87
"UCF",1309.04163829964,12,81
"Arkansas",1592.84785503325,13,42
"New Mexico",1205.02826872425,13,93
"Georgia Southern",1336.79367781678,12,75
"Eastern Michigan",1301.89939686219,13,82
"Wake Forest",1494.77813779406,13,48
"Nevada",1001.51257021775,12,117
"Akron",1345.10739543164,11,74
"Penn State",1904.68285189422,14,10
"North Carolina",1730.07546738012,11,27
"Washington State",1772.8181613589,12,25
"North Carolina State",1615.1977569283,13,38
"Tulsa",1499.63899187995,13,47
"Boston College",1478.65863786458,13,52
"Houston",1641.70209769793,13,35
"Temple",1459.57883192234,14,60
"Pittsburgh",1829.78224852805,13,20
"Michigan State",1190.47044509021,12,94
"Baylor",1626.72974531088,12,36
"Navy",1474.75158807976,14,53
"North Texas",1081.09187177749,13,106
"East Carolina",951.769250037009,11,120
"Florida International",905.11010551931,12,122
"Texas A&M",1900.15312515046,12,11
"Colorado",1909.31840779934,14,9
"Vanderbilt",1494.45745314292,13,49
"Arizona State",1492.23722969165,11,50
"Mississippi State",1346.65062534184,13,73
"Miami (FL)",1871.00233714708,13,14
"South Florida",1607.14822433774,13,39
"Kansas",977.477311642098,11,119
"San Diego State",1490.09814965391,13,51
"Florida State",1844.24901422193,12,18
"Oregon",1389.0974854265,12,70
"Ohio State",2272.44591559219,13,2
"Alabama",2358.31863510968,15,1
"Duke",1313.5581921358,12,77
"Utah",1623.44778022878,13,37
"Buffalo",824.092295296583,11,126
"Texas",1470.47780663084,12,56
"TCU",1443.45658396577,12,63
"Iowa",1673.26637216581,12,32
"Syracuse",1274.15989106439,12,86
"Florida",1836.18491718404,13,19
"Oklahoma State",1722.88413166429,12,28
"Nebraska",1813.76670162311,13,23
"Wisconsin",1845.35739178691,14,17
"Louisiana-Lafayette",1241.71820126313,12,92
"Washington",1922.47528598316,14,8
"Air Force",1529.80908349143,12,46
"Stanford",1882.01744612175,13,13
"Purdue",1015.60073195549,11,115
"Northwestern",1545.54609796069,13,44
"Memphis",1404.57855518786,12,66
"Marshall",1026.18596901554,12,111
"Illinois",1189.27231681336,12,95
"Minnesota",1678.22157940762,13,31
"Tennessee",1954.59851909774,13,5
"Arizona",1255.29387962277,11,89
"Auburn",1868.15355015829,13,15
"Michigan",2133.40488124445,13,4
"West Virginia",1824.98642567027,12,21
