"Team","Offense....rankings.Offense.Score","Defense....rankings.Defense.Score","Overall.Score","Overall"
"Air Force",18.230843855293,16.9638550610584,14.2080924700079,76
"Akron",11.145725260588,8.10370268722013,7.95607348241918,108
"Alabama",32.7364769235956,40.8707826777057,36.8036298006507,1
"Appalachian State",10.5774774763343,26.6577675245002,15.7410695094032,65
"Arizona",17.3402275047844,11.7063684023547,13.510020553424,78
"Arizona State",21.1836698556095,12.1127271905859,14.8945855875142,69
"Arkansas",20.6024733059917,19.3543983504312,19.1680570770249,38
"Arkansas State",10.5207978364383,21.4272645014,13.0353653205861,79
"Army",8.18267276536947,20.807707385474,10.8713925565663,90
"Auburn",21.6655700556496,34.7283394533631,27.064331608354,8
"Ball State",8.04865784893289,11.6288692213776,7.71600619892402,111
"Baylor",20.1754951871971,19.5939090013154,17.2002486775703,56
"Boise State",17.9720103647666,23.8642307574492,18.3283047624406,45
"Boston College",8.04669344558541,22.4884089859421,12.952120183754,80
"Bowling Green",8.96194645118974,6.06416737525529,6.42741220510403,117
"Buffalo",0.871485407146404,8.30619934556783,3.75863788539503,127
"BYU",15.7234653499847,27.4052900674519,18.1508832781944,46
"California",27.8024283744432,9.48415291200084,17.7172162386231,53
"Central Michigan",8.98289871141896,13.7855163106933,9.64577181214447,100
"Charlotte",4.11735914019581,7.68051556737441,4.79438326034297,123
"Cincinnati",4.91999999928566,20.1556890427351,10.7833210509156,92
"Clemson",32.0355117009324,33.5732370803872,31.2981001482559,4
"Colorado",20.6740633213591,31.4467761807721,24.4524336259603,14
"Colorado State",19.9213419382257,15.2949971590585,15.1127150550559,68
"Connecticut",0.415380052873376,18.4981399046125,7.84373473892243,110
"Duke",12.7878436020665,22.1023954955248,16.3737910618565,62
"East Carolina",13.3791014118264,9.4142766384181,9.73521549040317,99
"Eastern Michigan",9.48146313707491,13.909520511159,9.76743084582181,98
"Florida",15.2326852696637,33.1239084517104,22.8992349425892,18
"Florida Atlantic",6.98423300131747,3.24040450495131,4.17444131918455,126
"Florida International",4.12168710494766,10.4227692869479,6.00163867745848,118
"Florida State",26.885161495823,27.3144519366979,25.6597084351694,12
"Fresno State",0,13.2650521295355,5.49685881395601,120
"Georgia",15.6270454711188,25.500403960442,18.7955428287474,41
"Georgia Southern",9.31537087934046,15.5426447351434,10.4238369935297,94
"Georgia State",3.28244006617251,14.569665059965,7.43786965990935,112
"Georgia Tech",19.0540372307855,24.6580587152694,19.3695071855689,36
"Hawaii",9.95096672903862,9.8706606910584,8.14588319116891,107
"Houston",21.1626331003356,23.0772577978657,18.9831142947203,39
"Idaho",15.0905858566232,11.8009501252193,11.1093822025954,86
"Illinois",9.90371171921368,16.1765342401048,11.9542425102763,83
"Indiana",16.2148011300938,21.7190743170122,17.1950383421967,57
"Iowa",17.3243385331086,30.5346619343195,21.734956685742,24
"Iowa State",17.2462317701765,19.2156216467719,16.9388122127156,59
"Kansas",6.37387928842271,12.7285118539133,8.7541165444762,105
"Kansas State",19.9793365486606,27.1809213921653,21.1744182101053,28
"Kent State",4.60980222755258,16.5208322533929,8.68247342378293,106
"Kentucky",18.6977342850415,17.6803956714191,16.6472097449031,60
"Louisiana-Lafayette",6.09673827801807,16.55551730203,9.10116493500303,103
"Louisiana-Monroe",7.49670943172096,3.3847751803012,4.56785338121728,124
"Louisiana Tech",23.7076873557006,12.9984005247255,14.7885603541046,70
"Louisville",32.6137195164157,23.6562615381396,25.2519021438548,13
"LSU",20.6576127805704,38.2922740426937,28.8773038272242,6
"Marshall",2.82800937032994,9.26060367749719,4.96129583745421,122
"Maryland",14.4136812966866,18.2936997930129,14.2351180667586,75
"Massachusetts",9.896144855035,6.86898772207361,7.03577263130114,116
"Memphis",24.1342931296308,19.902581545099,18.796470528844,40
"Miami (FL)",21.5559854090467,30.8450186953397,23.7975324970491,16
"Miami (OH)",7.09855060884988,18.6774979221642,10.3254285207974,95
"Michigan",32.3003629450724,35.9412817158089,32.021935297062,3
"Michigan State",17.3283184790695,22.6126926330065,18.7028546202232,42
"Middle Tennessee",18.906286646415,4.25692192873063,8.95941461369456,104
"Minnesota",17.0698897838279,27.9857568611446,19.8120959268385,32
"Mississippi State",20.2742197516137,18.5126265856904,18.1475214037184,47
"Missouri",17.9095375355024,14.4713184376314,14.6299918881013,71
"Navy",22.6132685566174,17.1860508705154,17.6844400790352,54
"Nebraska",15.8666024999778,26.2164229549732,19.2932698518585,37
"Nevada",5.8080478307692,14.5153436618379,7.88960406836696,109
"New Mexico",17.071555878108,11.0631452787952,10.9073609787327,89
"New Mexico State",8.52567928675888,4.62368772375712,5.68898114808847,119
"North Carolina",21.7713613927175,24.4666343259458,19.5306294649666,33
"North Carolina State",16.0734821124968,27.6861567081731,20.0286989101926,31
"North Texas",6.08502763449603,10.8146476215654,7.18379727995964,115
"Northern Illinois",13.6326698989958,15.4519515485212,12.2688832326889,82
"Northwestern",19.4967859304077,27.7910533587709,22.3128835675471,20
"Notre Dame",22.3111753174304,21.0582044001013,20.511280538133,30
"Ohio",6.95630631862987,20.5379273077359,10.9346170398737,88
"Ohio State",30.9202287038586,37.5352314145178,33.2483929307847,2
"Oklahoma",33.6765209219508,22.5855026677593,27.0435787401577,9
"Oklahoma State",24.8899867013189,24.1188091648108,21.7067974185206,25
"Old Dominion",14.8486513750055,14.137929809435,11.2942237746844,85
"Ole Miss",26.700088028341,16.6761638127419,21.2086420387003,27
"Oregon",26.1885536035292,10.4277102967307,16.9649979465499,58
"Oregon State",16.8615032412633,20.5622030159145,17.3453708013155,55
"Penn State",29.8181251678238,25.6373825585211,26.5229524029871,10
"Pittsburgh",33.4887709443382,14.038790956196,21.8661113643942,22
"Purdue",14.8727152100727,7.94583744804902,9.93853262421544,97
"Rice",4.3750285777948,7.99218406382465,5.09673970544275,121
"Rutgers",6.06904854204899,13.4795132345561,9.23706209807655,101
"San Diego State",16.9738344668221,23.5119500155574,15.7831578984848,64
"San Jose State",4.99677008797223,11.9889401322318,7.18748806655735,114
"SMU",13.7854125524389,12.3158315553816,11.7628745146001,84
"South Alabama",6.7527541625046,16.1359495740152,9.1050659487078,102
"South Carolina",7.10768579556776,25.5711900423805,14.5683799297403,72
"South Florida",29.5566660543431,14.0175500849232,18.0618367685641,48
"Southern Miss",13.8750881523214,10.7601683247546,10.0190490402002,96
"Stanford",15.9591238702637,32.6598627544952,22.8706577236735,19
"Syracuse",16.557054414529,11.7817110299046,12.9442822586822,81
"TCU",16.5608058488346,24.9686686364863,18.4824283045317,44
"Temple",17.8848485292862,26.1078533171892,17.9887884587254,50
"Tennessee",28.8331159613387,17.319963563257,21.7545980275586,23
"Texas",18.4018972742961,20.672081253078,17.9992770026036,49
"Texas A&M",24.0370730210398,24.5051112937657,22.3020558174671,21
"Texas State",0.579699295649412,0,0.239083613435856,128
"Texas Tech",29.8536679436999,6.12133322628411,15.9498118186668,63
"Toledo",22.3461557945433,14.981799294962,15.5896395048441,66
"Troy",15.0852055541938,19.990315171106,14.2780224317341,74
"Tulane",6.8570168115328,18.9388805306269,10.8342954868124,91
"Tulsa",27.4621103099012,15.2206239920804,17.9608248437134,51
"UCF",15.4199657924729,20.455842018816,15.1298338220121,67
"UCLA",14.5393010002093,24.6413960570032,18.512525061387,43
"UNLV",12.6707903219384,5.28185509012649,7.19667568329514,113
"USC",25.2393246362901,29.7832925872823,26.5014564240683,11
"Utah",18.8886851269344,25.7956000676048,19.5073120594522,34
"Utah State",9.08491836273197,15.7568962488041,11.0098566616462,87
"UTEP",5.18329017003936,5.42494442844207,4.34507653918823,125
"UTSA",8.96381206941931,17.1490053042789,10.5516598164083,93
"Vanderbilt",11.8996576852568,26.7800266125816,17.7212396150587,52
"Virginia",12.4795230323361,17.548264098496,13.7473670321396,77
"Virginia Tech",23.7154458786778,28.5577993858958,23.1903135204728,17
"Wake Forest",9.85406925308725,26.8411724295884,16.5115410057961,61
"Washington",31.3065588363931,33.8633158019487,29.1151892952302,5
"Washington State",26.8398681348071,27.2053715028318,24.3121409924939,15
"West Virginia",19.5358906018402,27.8185853096242,21.697087573216,26
"Western Kentucky",28.0772720644062,19.5986229747334,20.5910358044161,29
"Western Michigan",24.2742397841529,23.3927033163168,19.4554112071246,35
"Wisconsin",20.9652258231246,35.1773614124587,27.3092505889637,7
"Wyoming",21.2613841108604,11.4431240410622,14.5667453183585,73
