Team,Expected.Wins,Games,Average.Expected.Wins,SoS.Rank,Points.For,Points.Against,Py.Wins,Py.Losses,Wins.Over,Rank
Alabama,5.246425894,15,0.349761726,22,582,195,13.34248429,1.657515708,8.096058399,1
Clemson,5.792859762,15,0.386190651,29,588,270,11.68406154,3.315938457,5.891201781,2
Michigan,5.74085372,13,0.441604132,61,524,183,10.40356764,2.596432356,4.662713924,3
Ohio State,4.946387094,13,0.380491315,27,512,201,9.454170748,3.545829252,4.507783653,4
Washington,6.572342678,14,0.469453048,89,585,248,10.8992799,3.1007201,4.326937222,5
Wisconsin,5.643368826,14,0.403097773,35,397,218,9.944594943,4.055405057,4.301226118,6
Florida State,4.963203662,13,0.381784897,28,456,325,8.765007635,4.234992365,3.801803973,7
Penn State,5.941144762,14,0.424367483,52,526,356,9.650931155,4.349068845,3.709786393,8
USC,5.13210638,13,0.394777414,30,447,315,8.652262844,4.347737156,3.520156464,9
Florida,5.493897159,13,0.422607474,50,311,218,8.839265676,4.160734324,3.345368517,10
Miami (FL),5.940586817,13,0.456968217,77,446,241,9.23078991,3.76921009,3.290203094,11
Oklahoma,5.732674335,13,0.440974949,60,571,375,8.989322044,4.010677956,3.256647709,12
Colorado,5.866515527,14,0.419036823,46,435,304,8.983580293,5.016419707,3.117064766,13
LSU,4.785787587,12,0.398815632,33,340,189,7.819906745,4.180093255,3.034119158,14
Louisville,6.129794654,13,0.471522666,91,553,309,8.946693287,4.053306713,2.816898633,15
Western Michigan,8.183444006,14,0.584531715,164,582,277,10.93082005,3.069179955,2.747376039,16
Auburn,5.1622285,13,0.3970945,32,406,222,7.895855238,5.104144762,2.733626738,17
Stanford,5.561446013,13,0.427803539,55,342,265,8.275632282,4.724367718,2.714186269,18
Washington State,5.34441724,13,0.411109018,40,496,343,7.893933421,5.106066579,2.549516182,19
Appalachian State,6.958458509,13,0.535266039,131,380,232,9.420485828,3.579514172,2.462027318,20
Virginia Tech,6.712866388,14,0.479490456,98,490,319,9.152076768,4.847923232,2.43921038,21
Tennessee,5.455597704,13,0.419661362,47,473,375,7.881475228,5.118524772,2.425877524,22
Texas A&M,5.895703071,13,0.453515621,73,453,319,8.220496937,4.779503063,2.324793866,23
Iowa,5.568722687,13,0.428363284,56,324,245,7.816169411,5.183830589,2.247446724,24
Oklahoma State,6.448678217,13,0.496052171,108,502,345,8.600866125,4.399133875,2.152187908,25
Western Kentucky,7.159436036,13,0.550725849,145,587,341,9.273610403,3.726389597,2.114174367,26
Toledo,7.009495284,13,0.539191945,133,494,334,9.038910731,3.961089269,2.029415447,27
Nebraska,5.900647615,13,0.45389597,74,345,311,7.813493172,5.186506828,1.912845557,28
West Virginia,6.181347462,13,0.475488266,95,405,312,8.094103033,4.905896967,1.912755571,29
San Diego State,8.55713648,14,0.611224034,181,493,283,10.45739429,3.542605714,1.900257805,30
Temple,8.165908702,14,0.583279193,162,453,258,10.04874858,3.95125142,1.882839878,31
Boise State,6.632902867,13,0.510223297,118,439,303,8.458864783,4.541135217,1.825961917,32
BYU,7.061777915,13,0.543213686,139,384,254,8.857830596,4.142169404,1.79605268,33
North Carolina State,5.806069429,13,0.446620725,66,351,296,7.559312888,5.440687112,1.753243458,34
Kansas State,6.432031916,13,0.494771686,106,419,290,8.140584485,4.859415515,1.708552569,35
Pittsburgh,5.845474583,13,0.449651891,71,532,458,7.506183238,5.493816762,1.660708655,36
Houston,7.046193436,13,0.54201488,136,466,305,8.552638482,4.447361518,1.506445046,37
Northwestern,5.41635311,13,0.416642547,43,338,289,6.865845531,6.134154469,1.449492421,38
North Carolina,6.387407954,13,0.491339073,102,420,324,7.832529673,5.167470327,1.445121719,39
Georgia Tech,6.069540731,13,0.466887749,87,367,318,7.497330245,5.502669755,1.427789513,40
Minnesota,6.512975861,13,0.500998143,110,381,287,7.883904053,5.116095947,1.370928192,41
Memphis,6.738739149,13,0.51836455,121,505,375,8.07484395,4.92515605,1.336104801,42
Utah,6.560300561,13,0.504638505,112,388,311,7.894404838,5.105595162,1.334104277,43
South Florida,7.503053165,13,0.577157936,159,569,411,8.791618354,4.208381646,1.288565189,44
Georgia,5.764959762,13,0.443458443,63,319,312,6.967920987,6.032079013,1.202961225,45
Tulsa,7.516452561,13,0.578188659,160,552,388,8.6581964,4.3418036,1.141743839,46
Ole Miss,4.815451121,12,0.401287593,34,391,408,5.778391557,6.221608443,0.962940436,47
Baylor,6.697698394,13,0.515207569,120,450,377,7.625075721,5.374924279,0.927377327,48
Air Force,7.746148971,13,0.595857613,174,457,341,8.610597448,4.389402552,0.864448477,49
Colorado State,6.619043181,13,0.509157168,115,459,395,7.406689048,5.593310952,0.787645867,50
Troy,7.82728313,13,0.602098702,178,438,287,8.575967881,4.424032119,0.748684751,51
Arkansas,5.689570571,13,0.437659275,59,394,404,6.407679125,6.592320875,0.718108554,52
Louisiana Tech,8.32946388,14,0.594961706,173,620,470,8.958025074,5.041974926,0.628561194,53
Wyoming,6.92274719,14,0.494481942,105,503,477,7.543358765,6.456641235,0.620611575,54
Navy,7.272294232,14,0.519449588,122,531,434,7.827673959,6.172326041,0.555379726,55
Notre Dame,5.390604475,12,0.44921704,70,371,334,5.942733033,6.057266967,0.552128559,56
California,4.882053942,12,0.406837829,37,445,511,5.395198453,6.604801547,0.513144511,57
Arkansas State,7.391571216,13,0.568582401,156,355,279,7.902456994,5.097543006,0.510885778,58
Kentucky,6.015287441,13,0.462714419,81,390,407,6.377364831,6.622635169,0.36207739,59
Texas,5.703557952,12,0.475296496,94,383,378,6.007371757,5.992628243,0.303813805,60
Mississippi State,6.062154911,13,0.466319609,85,395,413,6.351332096,6.648667904,0.289177184,61
UCF,7.013273364,13,0.539482566,135,374,320,7.250246146,5.749753854,0.236972782,62
TCU,6.444201216,13,0.495707786,107,403,364,6.678540135,6.321459865,0.234338919,63
Northern Illinois,5.80753798,12,0.483961498,99,366,364,6.031937555,5.968062445,0.224399575,64
Old Dominion,8.063288436,13,0.620252957,186,456,354,8.221359965,4.778640035,0.158071529,65
Ohio,8.2950459,14,0.592503279,171,368,317,8.451075566,5.548924434,0.156029666,66
Texas Tech,5.978678017,12,0.498223168,109,524,522,6.039163958,5.960836042,0.060485941,67
UCLA,5.068244056,12,0.422353671,49,299,330,5.084042812,6.915957188,0.015798755,68
Oregon,5.159592947,12,0.429966079,58,425,497,5.164579361,6.835420639,0.004986414,69
Vanderbilt,5.757796346,13,0.442907411,62,299,312,5.709455913,7.290544087,-0.048340433,70
Boston College,6.656270923,13,0.51202084,119,265,325,6.599491483,6.400508517,-0.056779441,71
Oregon State,5.105473064,12,0.425456089,53,314,366,5.048338558,6.951661442,-0.057134506,72
