Visitor.Team,Visitor.Score,Home.Team,Home.Score
Hawaii,31,California,51
William & Mary,14,North Carolina State,48
Jackson State,13,UNLV,63
Southern Utah,0,Utah,24
Weber State,6,Utah State,45
Tulane,3,Wake Forest,7
Maine,21,Connecticut,24
South Carolina,13,Vanderbilt,10
South Dakota,21,New Mexico,48
Montana State,17,Idaho,20
Indiana,34,Florida International,13
Presbyterian,3,Central Michigan,49
Charlotte,14,Louisville,70
UT Martin,7,Cincinnati,28
Appalachian State,13,Tennessee,20
Rice,14,Western Kentucky,46
Oregon State,23,Minnesota,30
Northwestern St,7,Baylor,55
Furman,13,Michigan State,28
Kansas State,13,Stanford,26
Albany (N.Y.),22,Buffalo,16
Cal Poly,27,Nevada,30
Colorado State,7,Colorado,44
Colgate,7,Syracuse,33
Mississippi Valley State,14,Eastern Michigan,61
Toledo,31,Arkansas State,10
Army,28,Temple,13
Ball State,31,Georgia State,21
UCLA,24,Texas A&M,31
Savannah State,0,Georgia Southern,54
Oklahoma,23,Houston,33
Massachusetts,7,Florida,24
Fresno State,10,Nebraska,43
Clemson,19,Auburn,13
Northern Illinois,34,Wyoming,40
S Carolina St,0,UCF,38
New Mexico State,22,UTEP,38
Villanova,7,Pittsburgh,28
USC,6,Alabama,52
Miami (OH),21,Iowa,45
NC Central,6,Duke,49
Southern,21,Louisiana-Monroe,38
South Dakota St,41,TCU,59
Liberty,13,Virginia Tech,36
Georgia,33,North Carolina,24
SMU,34,North Texas,21
Austin Peay,17,Troy,57
Georgia Tech,17,Boston College,14
S Illinois,30,Florida Atlantic,38
Rutgers,13,Washington,48
E Washington,45,Washington State,42
Western Michigan,22,Northwestern,21
BYU,18,Arizona,16
UNH,0,San Diego State,31
E Kentucky,24,Purdue,45
Boise State,45,Louisiana-Lafayette,10
Louisiana Tech,20,Arkansas,21
UC Davis,28,Oregon,53
San Jose State,10,Tulsa,45
Murray State,3,Illinois,52
Fordham,16,Navy,52
Alabama A&M,0,Middle Tennessee,55
LSU,14,Wisconsin,16
Southern Miss,44,Kentucky,35
SE Missouri St,17,Memphis,35
N Arizona,13,Arizona State,44
URI,6,Kansas,55
Richmond,37,Virginia,20
Florida A&M,3,Miami (FL),70
Howard,13,Maryland,52
VMI,24,Akron,47
SF Austin,17,Texas Tech,69
Northern Iowa,25,Iowa State,20
Bowling Green,10,Ohio State,77
Abil Christian,21,Air Force,37
South Alabama,21,Mississippi State,20
Kent State,13,Penn State,33
SE Louisiana,7,Oklahoma State,61
W Carolina,7,East Carolina,52
Towson,20,South Florida,56
Missouri,11,West Virginia,26
Alabama St.,13,UTSA,26
Hawaii,3,Michigan,63
Texas State,56,Ohio,54
Notre Dame,47,Texas,50
Hampton,21,Old Dominion,54
Ole Miss,34,Florida State,45
Louisville,62,Syracuse,28
Maryland,41,Florida International,14
Morgan State,0,Marshall,62
Troy,24,Clemson,30
Stony Brook,0,Temple,38
Elon,14,Charlotte,47
Grambling St,21,Arizona,31
Indiana State,28,Minnesota,58
Northern Illinois,17,South Florida,48
North Carolina A&T,39,Kent State,36
Iowa State,3,Iowa,42
Howard,14,Rutgers,52
McNeese,22,Louisiana-Lafayette,30
Louisiana-Monroe,17,Oklahoma,59
Connecticut,24,Navy,28
Youngstown St,21,West Virginia,38
SMU,13,Baylor,40
Wyoming,17,Nebraska,52
Old Dominion,7,Appalachian State,31
Middle Tennessee,24,Vanderbilt,47
E Illinois,21,Miami (OH),17
UTEP,7,Texas,41
Cincinnati,38,Purdue,20
Central Michigan,30,Oklahoma State,27
Virginia,26,Oregon,44
Texas Tech,55,Arizona State,68
NC Central,21,Western Michigan,70
Florida Atlantic,10,Miami (FL),38
Western Kentucky,10,Alabama,38
UTSA,14,Colorado State,23
Mercer,10,Georgia Tech,35
Virginia Tech,24,Tennessee,45
Arkansas State,14,Auburn,51
Utah State,7,USC,45
BYU,19,Utah,20
Georgia State,14,Air Force,48
Idaho,14,Washington,59
California,40,San Diego State,45
Illinois State,9,Northwestern,7
Kentucky,7,Florida,45
Southern,21,Tulane,66
UNLV,21,UCLA,42
