"Date","Visitor.Team","Visitor.Rushing.Yards","Visitor.Rushing.Attempts","Visitor.Passing.Yards","Visitor.Passing.Attempts","Visitor.Passing.Completions","Visitor.Penalties","Visitor.Penalty.Yards","Visitor.Fumbles.Lost","Visitor.Interceptions.Thrown","Visitor.1st.Downs","Visitor.3rd.Down.Attempts","Visitor.3rd.Down.Conversions","Visitor.4th.Down.Attempts","Visitor.4th.Down.conversions","Visitor.Time.of.Possession","Visitor.Score","Home.Team","Home.Rushing.Yards","Home.Rushing.Attempts","Home.Passing.Yards","Home.Passing.Attempts","Home.Passing.Completions","Home.Penalties","Home.Penalty.Yards","Home.Fumbles.Lost","Home.Interceptions.Thrown","Home.1st.Downs","Home.3rd.Down.Attempts","Home.3rd.Down.Conversions","Home.4th.Down.Attempts","Home.4th.Down.conversions","Home.Time.of.Possession","Home.Score"
"11/23/2016","Akron",95,32,131,27,12,7,67,0,0,14,15,5,2,1,1647,3,"Ohio",130,36,169,25,14,8,66,1,0,17,14,6,2,0,1953,9
"11/23/2016","Ball State",247,40,188,34,22,4,34,0,1,26,15,8,0,0,1741,20,"Miami (OH)",62,25,380,35,26,4,25,0,0,20,14,8,1,0,1859,21
"11/23/2016","Central Michigan",127,26,256,35,21,2,10,0,1,19,14,6,1,1,1649,21,"Eastern Michigan",183,32,355,37,26,7,75,0,1,23,14,4,2,2,1951,26
"11/25/2016","Arkansas",155,46,348,39,24,8,55,0,2,27,17,9,3,1,2422,24,"Missouri",131,30,268,26,16,2,10,1,0,15,13,6,1,1,1178,28
"11/25/2016","Baylor",257,53,377,47,30,11,78,3,1,33,17,5,9,4,1797,35,"Texas Tech",80,32,586,47,30,15,107,0,0,24,17,8,1,0,1803,54
"11/25/2016","Boise State",84,25,316,26,9,3,27,1,0,12,12,1,2,1,1113,20,"Air Force",314,77,45,6,3,3,30,0,1,25,18,8,1,1,2487,27
"11/25/2016","Buffalo",67,32,334,36,20,2,15,2,0,20,14,7,1,0,1443,19,"Bowling Green",346,67,146,21,12,0,0,2,0,27,15,8,4,1,2157,27
"11/25/2016","Houston",137,32,487,69,47,9,69,1,1,33,21,11,3,3,1981,44,"Memphis",146,34,409,45,30,10,94,0,0,28,16,8,2,2,1619,48
"11/25/2016","LSU",298,46,324,28,20,5,29,0,0,28,13,7,0,0,2126,54,"Texas A&M",188,33,284,38,17,6,55,1,0,19,16,7,2,1,1474,39
"11/25/2016","Louisiana Tech",0,16,246,39,22,6,45,0,3,16,8,2,1,0,1298,24,"Southern Miss",84,44,342,33,29,10,90,1,0,26,14,6,3,2,2302,39
