"TeamA","TeamB","TeamA.Spread","OverUnder","A.Win.Percent","B.Win.Percent","A.Covers.Percent","B.Covers.Percent","Over.Percent","Under.Percent","A.Score","B.Score"
"Bowling Green","Kent State",2.5,54,42.2,57.8,47.421,52.579,36.176,63.824,22.3799259492922,27.0389176384146
"Central Michigan","Ohio",-1.5,51,43.527,56.473,40.511,59.489,53.475,46.525,25.8651827320988,28.6696837952765
"Eastern Michigan","Northern Illinois",1,63,38.754,61.246,40.679,59.321,42.557,57.443,27.5648232991827,33.8075862612003
"Toledo","Ball State",-20.5,68,92.667,7.333,64.485,35.515,51.961,48.039,48.9803088566896,21.0817065892752
"Troy","Arkansas State",-8,55.5,84.571,15.429,71.69,28.31,37.013,62.987,34.7865328027742,16.708109923062
"Houston","Louisville",14.5,68.5,20.857,79.143,41.973,58.027,57.361,42.639,27.0267931049954,48.0840967689718
"Cincinnati","Memphis",7,56.5,11.845,88.155,20.989,79.011,26.453,73.547,13.1106151287175,34.6463748403942
"Boise State","UNLV",-28,66.5,97.385,2.615,74.806,25.194,56.097,43.903,57.7590909335469,13.8024800154696
"Boston College","Connecticut",-7,38,46.072,53.928,27.684,72.316,25.793,74.207,14.3657809857887,16.2657300449076
"Appalachian State","Louisiana-Monroe",-25.5,53.5,96.977,3.023,73.715,26.285,57.402,42.598,48.3531837810849,10.1712469092233
"Rice","UTEP",-1.5,58.5,51.513,48.487,48.663,51.337,34.769,65.231,26.0740842484796,27.1142176506544
"North Carolina State","Miami (FL)",3,50,30.18,69.82,36.295,63.705,35.797,64.203,17.4536818295458,28.0716059907319
"Iowa State","Texas Tech",3,76,40.015,59.985,44.593,55.407,52.212,47.788,36.4084259259469,43.0252881515449
"Illinois","Iowa",9.5,45.5,17.768,82.232,32.555,67.445,45.961,54.039,13.0687621083212,32.9334870417727
"Minnesota","Northwestern",1.5,46,32.326,67.674,35.373,64.627,50.531,49.469,19.2270101684084,29.4158126988911
"Purdue","Wisconsin",27.5,48.5,2.013,97.987,26.944,73.056,66.796,33.204,8.32986299398095,51.0601034865543
"Pittsburgh","Duke",-7.5,64,79.347,20.653,68.221,31.779,57.418,42.582,43.7064108574599,25.4194276437073
"Texas A&M","UTSA",-27,57.5,93.322,6.678,62.094,37.906,58.697,41.303,50.9558344553638,14.2596015818677
"West Virginia","Oklahoma",3,67,45.478,54.522,51.223,48.777,32.042,67.958,28.3632760120972,31.1935581581179
