Team,score.2013
Akron,4.136052
Sacramento State,2.121982
Illinois State,3.12031
Indiana State,2.121982
Jackson State,3.12031
Liberty,3.12031
Ole Miss,64.727863
North Carolina,11.511581
UNLV,4.932137
Rutgers,4.022229
USC,175.76192
Southern Utah,4.319446
Towson,4.892633
Tulsa,2.239558
Utah State,7.264092
Western Carolina,1.780235
Presbyterian,3.12031
Florida Atlantic,4.305515
Morgan State,2.121982
North Dakota State,11.306608
Northern Arizona,3.12031
Samford,3.322937
Southern University,3.12031
Texas Tech,14.689774
Western Michigan,1.301112
Alabama,319.787944
UAB,1.821856
Austin Peay,1.780235
Boise State,8.137918
BYU,33.365923
Buffalo,6.13145
Central Michigan,3.833131
Colgate,3.12031
Eastern Illinois,5.543906
Eastern Washington,7.947431
Florida International,1.300656
Georgia,107.769622
Howard,3.12031
Idaho,1.371631
Kentucky,2.637002
LSU,223.889883
Louisiana Tech,2.05123
Massachusetts,1.330934
McNeese State,5.28517
Miami (OH),1.25889
Mississippi State,17.279051
Murray State,2.121982
Nevada,4.170855
New Mexico State,2.576522
Nicholls State,2.214343
N.C. Central,3.12031
Louisiana-Monroe,5.18154
Northern Illinois,35.777248
Northern Iowa,6.059786
Northwestern,5.08813
Old Dominion,1.738447
Penn State,22.766533
Purdue,1.622805
Rice,10.878438
Southern Illinois,3.12031
Texas State,4.30559
Louisiana-Lafayette,8.143241
Temple,2.023431
UTSA,5.690113
Toledo,12.719555
Villanova,3.12031
Washington State,60.834853
William & Mary,3.12031
Wyoming,3.400197
Elon,3.12031
Ark.-Pine Bluff,3.12031
Wofford,3.12031
Colorado,5.404464
Ohio,7.164709
Florida State,397.064571
UCF,42.128581
Wake Forest,7.184582
Alcorn St.,3.12031
Arizona,108.474109
Arkansas State,5.760528
Bowling Green,27.932486
Cal Poly,2.121982
UC Davis,3.12031
Cincinnati,9.205818
Colorado State,7.848965
Duke,24.569808
Eastern Kentucky,3.12031
Eastern Michigan,2.560309
Florida,7.965607
Grambling,3.12031
Hawaii,1.438026
Houston,9.572036
James Madison,3.12031
Lamar,2.121982
Maine,3.323619
Middle Tennessee,4.84034
Minnesota,15.157807
Montana State,3.12031
New Hampshire,3.12031
New Mexico,1.919841
Norfolk State,3.12031
North Texas,10.577214
Notre Dame,147.663924
Oklahoma State,211.15161
Oregon,169.678221
Portland State,3.12031
Prairie View,3.12031
Richmond,3.12031
Sam Houston State,3.12031
San Diego State,5.309821
San Jose State,6.874849
Savannah State,2.121982
South Alabama,6.995889
South Carolina State,3.12031
South Carolina,102.366371
South Dakota,3.12031
South Florida,2.937147
Southeast Missouri State,3.12031
Southeastern Louisiana,3.12031
Southern Miss,1.507869
Missouri State,3.12031
Stephen F. Austin,3.12031
Syracuse,11.166858
Tennessee Tech,3.12031
Chattanooga,3.45937
Tennessee-Martin,2.121982
Texas,77.616982
Army,2.294708
Navy,13.471163
Weber State,2.121982
West Virginia,67.432787
Western Kentucky,9.223359
Central Arkansas,3.12031
Gardner-Webb,3.12031
TCU,4.514768
Troy,4.723971
Tulane,6.999206
Air Force,2.745769
Ball State,11.57781
Bethune-Cookman,3.369842
Boston College,11.769426
UCLA,126.388641
Delaware,3.12031
Fordham,4.280042
Georgia State,1.25889
Georgia Tech,23.072087
Iowa,20.606006
Kansas,9.722773
Kent State,4.169021
Louisville,24.655097
Marshall,10.49958
Maryland,20.65649
Memphis,3.180732
Northern Colorado,3.12031
Northwestern State,2.121982
Ohio State,84.320498
Oregon State,26.024796
Stanford,364.829263
Stony Brook,3.12031
Tennessee,25.589124
UTEP,1.621189
Vanderbilt,27.781415
Virginia Tech,24.516378
Wagner,3.12031
Washington,51.46472
Western Illinois,2.121982
Wisconsin,35.299331
Youngstown State,3.12031
Clemson,54.391135
Arizona State,194.183785
Arkansas,4.629048
Auburn,361.655942
Florida A&M,3.12031
Idaho State,2.121982
Jacksonville State,4.266302
Kansas State,21.064691
Michigan State,162.152556
Michigan,47.411289
Missouri,117.033766
Pittsburgh,32.804578
South Dakota State,3.12031
SMU,3.699614
Utah,144.001669
Virginia Military,3.12031
Iowa State,8.571777
Fresno State,11.227833
California,2.474397
Connecticut,2.600345
East Carolina,9.33158
Miami (FL),20.433682
Oklahoma,186.058256
Texas A&M,28.676694
Virginia,6.725634
Illinois,6.238421
North Carolina State,3.542457
Baylor,251.525734
Indiana,22.301747
Nebraska,16.160349
Charleston So.,3.12031
Abilene Christian,3.12031
Furman,3.12031
Alabama St.,3.12031
Appalachian State,3.12031
Alabama A&M,3.12031
Citadel,3.12031
Coastal Carolina,3.12031
Georgia Southern,6.274123
Charlotte,2
