Team,Conference,Score2011,Score2012,Score2013,Score2014,Score2015,Score,Score
Air Force,Mountain West,1495.103436,1410.07962,1203.181444,1639.325939,1537.012,,1495.659616
Akron,Mid-American,1080.990476,1069.776741,1373.816887,1307.78012,1583.491213,,1397.306575
Alabama,SEC,2530.516556,2178.530285,2195.392218,2075.668576,2139.207866,,2156.09261
Appalachian State,Sun Belt,952.67781,684.4154111,1125.989111,1431.535161,1704.796681,,1394.501327
Arizona,Pac-12,1523.680348,1819.72326,1800.139359,1880.200425,1626.397818,,1735.564716
Arizona State,Pac-12,1749.953868,1770.452567,2009.242943,1906.679088,1736.93843,,1828.815301
Arkansas,SEC,2112.393626,1629.716612,1596.942327,1883.891647,1869.990106,,1818.001733
Arkansas State,Sun Belt,1565.822794,1716.594989,1441.318551,1477.440444,1673.021257,,1583.912669
Army,Independent,1345.485827,1323.981875,1215.000447,1324.427543,1292.889812,,1294.931954
Auburn,SEC,1791.211435,1488.036276,2114.856337,1942.061922,1737.80383,,1827.610171
Ball State,Mid-American,1457.34992,1618.509208,1648.150939,1376.43239,1390.533167,,1455.013076
Baylor,Big 12,1911.089982,1786.530643,2034.723112,2083.807898,1993.797626,,1997.775848
Boise State,Mountain West,2111.732216,1764.937039,1676.703322,1865.482726,1586.443791,,1720.562117
Boston College,ACC,1481.740089,1304.571884,1668.614318,1740.040714,1489.873586,,1563.995741
Bowling Green,Mid-American,1493.740729,1568.222511,1788.314469,1415.646535,1819.992025,,1664.910423
Buffalo,Mid-American,1292.213521,1365.004125,1563.058073,1341.506559,1441.824347,,1418.606503
BYU,Independent,1689.992009,1815.919512,1852.577793,1674.802432,1799.748475,,1771.134967
California,Pac-12,1699.55643,1529.073172,1171.807588,1641.185653,1756.550857,,1606.918982
Central Michigan,Mid-American,1284.380665,1407.109006,1292.521042,1457.487475,1680.563058,,1510.952823
Charlotte,Conference USA,NA,NA,NA,NA,1085.353147,,#VALUE!
Cincinnati,American Athletic,1730.400768,1786.917646,1677.005982,1612.534866,1723.791288,,1694.118876
Clemson,ACC,1775.374608,1930.460086,1939.671878,1928.788895,2157.757284,,2019.016482
Colorado,Pac-12,1439.45481,1272.480042,1527.512489,1501.359457,1513.143054,,1483.099688
Colorado State,Mountain West,1242.141037,1359.31332,1500.890492,1700.793163,1449.379577,,1503.286399
Connecticut,American Athletic,1574.396407,1459.977211,1446.56156,1069.875655,1586.631209,,1414.550708
Duke,ACC,1467.775878,1581.775877,1790.165617,1720.955742,1611.021996,,1657.619956
East Carolina,American Athletic,1475.565748,1476.281006,1693.536724,1613.584541,1646.157162,,1618.206207
Eastern Michigan,Mid-American,1452.350986,1352.190346,987.5354412,1103.633788,1160.633986,,1153.819938
Florida,SEC,1774.971886,2116.084447,1798.494587,1800.70845,1909.475797,,1877.998588
Florida Atlantic,Conference USA,957.8326372,1303.0082,1543.841249,1370.108921,1289.435554,,1334.810622
Florida International,Conference USA,1486.207431,1366.269097,891.6689206,1471.737775,1299.942129,,1297.472542
Florida State,ACC,1819.451279,2003.641598,2262.508018,1982.420536,2056.024814,,2051.292617
Fresno State,Mountain West,1441.892289,1689.845644,1661.100671,1527.958218,1229.189808,,1435.694481
Georgia,SEC,1911.695303,2083.12877,1932.912893,2069.270602,1788.202264,,1922.561192
Georgia Southern,Sun Belt,1706.877494,1274.195717,1943.558074,1599.248056,1628.825739,,1637.515228
Georgia State,Sun Belt,1089.663821,632.1949094,1098.486381,1066.865865,1533.158441,,1223.637349
Georgia Tech,ACC,1678.068125,1721.893163,1766.176209,2076.809236,1542.766232,,1744.555743
Hawaii,Mountain West,1478.783183,1450,1500,1404.407338,1076.567415,,1290.1768
Houston,American Athletic,1886.972112,1427.162786,1751.614843,1498.707205,2015.87781,,1769.300038
Idaho,Sun Belt,1314.562418,1160.494511,773.0108977,1117.738277,1291.683983,,1151.407757
Illinois,Big Ten,1616.902475,1405.997091,1591.468492,1589.174432,1584.388022,,1569.698867
Indiana,Big Ten,1303.055616,1539.393883,1788.752879,1479.159177,1694.880729,,1615.944407
Iowa,Big Ten,1681.252943,1622.072549,1892.028858,1712.051502,1969.754314,,1837.882981
Iowa State,Big 12,1612.984717,1688.381602,1606.976279,1498.809653,1663.430595,,1611.166831
Kansas,Big 12,1462.293222,1435.330621,1382.944254,1517.264795,1146.782801,,1328.545979
Kansas State,Big 12,1876.051355,1988.617593,1809.839628,1907.04073,1681.482995,,1803.677528
Kent State,Mid-American,1436.703812,1701.761495,1387.267126,1276.121098,1378.817808,,1390.167165
Kentucky,SEC,1578.863363,1436.675844,1359.294657,1664.8345,1560.12402,,1543.961246
Louisiana-Lafayette,Sun Belt,1477.076313,1617.623065,1506.208404,1557.015628,1281.371483,,1435.10514
Louisiana-Monroe,Sun Belt,1359.364416,1528.176867,1382.988607,1409.428945,1093.965469,,1282.292234
Louisiana Tech,Conference USA,1692.051161,1748.450535,1170.687744,1783.802297,1544.462612,,1577.669887
Louisville,ACC,1640.960496,1745.637633,1852.260907,1852.529409,1720.084068,,1774.333583
LSU,SEC,2408.147075,2030.200831,2058.916596,1844.292259,1888.863608,,1946.193088
Marshall,Conference USA,1507.357463,1415.960019,1620.580885,1875.958946,1579.172636,,1642.85242
Maryland,Big Ten,1290.771848,1485.684807,1567.894565,1696.817966,1616.577061,,1599.080604
Massachusetts,Independent,683.7748736,1109.272305,1064.001769,1330.124645,1346.116858,,1237.572783
Memphis,American Athletic,1123.379074,1352.067484,1418.252812,1746.036884,1873.589859,,1673.746093
Miami (FL),ACC,1675,1600,1774.79241,1741.514112,1761.027483,,1736.587771
Miami (OH),Mid-American,1100,1000,919.3816855,1261.518679,1349.955239,,1208.704229
Michigan,Big Ten,1870.350556,1854.568734,1908.600152,1622.05591,1949.917224,,1842.88978
Michigan State,Big Ten,1850.150023,1791.986916,2185.178464,2013.377602,2048.640575,,2023.456414
Middle Tennessee,Conference USA,1174.341615,1527.725453,1505.669343,1491.152601,1495.503549,,1482.452208
Minnesota,Big Ten,1510.670817,1582.82607,1802.905768,1783.492294,1623.218057,,1683.591905
Mississippi State,SEC,1749.819338,1733.635055,1792.663223,1972.413663,1827.794297,,1846.289569
Missouri,SEC,1851.02216,1746.389225,2079.247315,1933.109509,1624.030263,,1802.070116
Navy,Independent,1590.594222,1544.736724,1669.113582,1582.458053,1940.30536,,1743.270608
Nebraska,Big Ten,1808.365485,1857.400916,1730.788301,1841.517746,1760.245271,,1789.741217
