"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Air Force",0.75179424700563,0.875897123502815,0.794716789574093,16573,15177,0.521984251968504,0.363348096243785,56,61,0.572303757589892,43
"Akron",0.569015443160655,0.784507721580328,0.801569542874761,12795,18955,0.402992125984252,0.253416559318507,82,83,0.438401007770061,78
"Alabama",0.921779749267638,0.960889874633819,0.891495013593898,29620,2130,0.932913385826772,0.799160224042988,2,3,0.858812495344879,3
"Appalachian State",0.515519918427233,0.757759959213617,0.934333258104694,18381,13369,0.578929133858268,0.409882018717541,49,50,0.514087981287411,59
"Arizona",0.452983757120163,0.726491878560082,0.875235297313965,15396,16354,0.484913385826772,0.308332823896236,74,67,0.425949377503233,81
"Arizona State",0.60732663686613,0.803663318433065,0.850177714650768,18416,13334,0.580031496062992,0.396310373074444,52,49,0.537567546805919,51
"Arkansas",0.639121692379551,0.819560846189775,0.892044656307341,17918,13832,0.564346456692913,0.412585157823808,48,52,0.568198879175826,45
"Arkansas State",0.197145152637586,0.598572576318793,0.912175084627765,7542,24208,0.237543307086614,0.12969935603292,108,107,0.1990683665563,115
"Army",0.831477415472026,0.915738707736013,0.783356803991534,14276,17474,0.449637795275591,0.322547738710101,67,75,0.584108258942069,40
"Auburn",0.841217996508651,0.920608998254325,0.933233619009692,27027,4723,0.851244094488189,0.731340632466912,5,7,0.807116641667963,5
"Ball State",0.578463577852174,0.789231788926087,0.763308144027052,9414,22336,0.296503937007874,0.178621992681701,99,101,0.393198619001018,84
"Baylor",0.868613764512832,0.934306882256416,0.75,22212,9538,0.699590551181102,0.490224200047548,31,29,0.667503732650117,26
"Boise State",0.834399901207088,0.917199950603544,0.851100202560462,25772,5978,0.811716535433071,0.633649519083176,14,13,0.744010795100212,14
"Boston College",0.434236524124238,0.717118262062119,0.849315896900829,9875,21875,0.311023622047244,0.189432028560051,96,96,0.349543862651532,92
"Bowling Green",0.0992278645780984,0.549613932289049,0.917396984017621,3461,28289,0.109007874015748,0.0549633140505748,126,126,0.0970235204682203,128
"Buffalo",0.148114697093325,0.574057348546662,0.817295025563087,3814,27936,0.120125984251969,0.0563600144051791,125,124,0.120744264848761,126
"BYU",0.551057026248223,0.775528513124112,0.939568292387211,19701,12049,0.620503937007874,0.452137640228062,38,40,0.552005118442636,49
"California",0.53354154096307,0.766770770481535,0.886528557224658,19345,12405,0.609291338582677,0.414174430124291,47,44,0.518430321213833,58
"Central Michigan",0.57160970391867,0.785804851959335,0.856566344836694,14455,17295,0.455275590551181,0.30644326370162,75,73,0.478172953356261,72
"Charlotte",0.225581707539978,0.612790853769989,0.842587937023353,4895,26855,0.154173228346457,0.0796042909444776,122,121,0.178106026506363,120
"Cincinnati",0.442997500240853,0.721498750120427,0.815614132522837,9786,21964,0.308220472440945,0.181376829998045,98,99,0.343616838726134,94
"Clemson",0.904150679939012,0.952075339969506,0.90262773094853,28285,3465,0.890866141732284,0.76558328326708,4,4,0.841029698356708,4
"Colorado",0.816811672931677,0.908405836465838,0.864723617251925,25734,6016,0.81051968503937,0.636679407463785,13,14,0.741050791300507,16
"Colorado State",0.415758669290653,0.707879334645326,0.846259122649555,9402,22348,0.296125984251969,0.177394076808478,101,102,0.333268372555893,97
"Connecticut",0.400822724310572,0.700411362155286,0.848098196951512,12303,19447,0.387496062992126,0.230179486528176,89,85,0.355790040854035,91
"Duke",0.576780258611787,0.788390129305893,0.885047223482633,14629,17121,0.460755905511811,0.321498190198994,68,72,0.493903812799908,67
"East Carolina",0.409668218560469,0.704834109280234,0.88141216332539,12833,18917,0.404188976377953,0.251102141699971,83,81,0.375454025970678,87
"Eastern Michigan",0.550823078871035,0.775411539435517,0.812940860063962,9808,21942,0.308913385826772,0.194727792212852,94,98,0.40149552026259,82
"Florida",0.893028895497498,0.946514447748749,0.842603469673287,27163,4587,0.855527559055118,0.682314333419815,8,6,0.78682201692817,8
"Florida Atlantic",0.236492758869277,0.618246379434638,0.829728438177444,4957,26793,0.156125984251968,0.0800889770130605,121,120,0.182858506388576,119
"Florida International",0.234458871635858,0.617229435817929,0.836235911734312,5584,26166,0.175874015748031,0.0907772712232571,117,116,0.18933329077375,117
"Florida State",0.586132451510724,0.793066225755362,0.919312540080967,20244,11506,0.637606299212598,0.464863275788533,36,38,0.571761374952338,44
"Fresno State",0.262562467338953,0.631281233669476,0.834140818908241,5027,26723,0.158330708661417,0.0833733800659244,120,119,0.198786283900927,116
"Georgia",0.471123995454395,0.735561997727197,0.893459963684931,16661,15089,0.524755905511811,0.344867060058159,63,60,0.455538920417126,74
"Georgia Southern",0.720309949090535,0.860154974545268,0.782716478254534,12016,19734,0.378456692913386,0.254798796494776,81,88,0.502017875373693,64
"Georgia State",0.290246466403799,0.6451232332019,0.910572267672395,12814,18936,0.403590551181102,0.237081732393097,86,82,0.310723772458505,102
"Georgia Tech",0.596003767532996,0.798001883766498,0.876427621662411,14072,17678,0.443212598425197,0.309978855033181,73,76,0.495973642462252,66
"Hawaii",0.341191900444682,0.670595950222341,0.826283910884197,10214,21536,0.321700787401575,0.178255256996031,100,95,0.295181181041487,105
"Houston",0.902624131374488,0.951312065687244,0.815667842185871,23974,7776,0.755086614173228,0.585912976869022,22,21,0.742523189753159,15
"Idaho",0.18082380201875,0.590411901009375,0.877330057889587,7520,24230,0.236850393700787,0.122685213443472,110,109,0.184711569028879,118
"Illinois",0.42483280266477,0.712416401332385,0.866849598852017,7902,23848,0.24888188976378,0.153698970149826,105,105,0.328471392967349,98
"Indiana",0.536689902112264,0.768344951056132,0.893929915795228,19531,12219,0.615149606299213,0.422513377069155,46,42,0.524891974768647,54
