"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L"
"Hawaii",4,4,6,7
"William & Mary",0,0,0,1
"Jackson State",0,0,0,1
"Southern Utah",0,0,0,2
"Weber State",0,0,0,1
"Tulane",1,6,4,8
"Maine",0,0,0,2
"South Carolina",3,5,6,6
"South Dakota",0,0,0,1
"Montana State",0,0,0,1
"Indiana",4,5,6,6
"Presbyterian",0,0,0,2
"Charlotte",3,5,4,8
"UT Martin",0,0,0,3
"Appalachian State",7,1,9,3
"Rice",2,6,3,9
"Oregon State",3,6,4,8
"Northwestern St",0,0,0,1
"Furman",0,0,0,1
"Kansas State",6,3,8,4
"Albany (N.Y.)",0,0,1,0
"Cal Poly",0,0,0,1
"Colorado State",5,3,7,5
"Colgate",0,0,0,1
"Mississippi Valley State",0,0,0,1
"Toledo",6,2,9,3
"Army",0,1,6,5
"Ball State",1,7,4,8
"UCLA",2,7,4,8
"Savannah State",0,0,0,2
"Oklahoma",9,0,10,2
"Massachusetts",0,1,2,10
"Fresno State",0,8,1,11
"Clemson",8,1,12,1
"Northern Illinois",5,3,5,7
"S Carolina St",0,0,0,3
"New Mexico State",2,6,3,9
"Villanova",0,0,0,1
"USC",7,2,9,3
"Miami (OH)",6,2,6,6
"NC Central",0,0,0,2
"Southern",0,0,0,2
"South Dakota St",0,0,0,1
"Liberty",0,0,0,2
"Georgia",4,4,7,5
"SMU",3,4,5,7
"Austin Peay",0,0,0,2
"Georgia Tech",4,4,8,4
"S Illinois",0,0,0,1
"Rutgers",0,9,2,10
"E Washington",0,0,1,0
"Western Michigan",9,0,13,0
"BYU",1,0,8,4
"UNH",0,0,0,1
"E Kentucky",0,0,0,2
"Boise State",6,2,10,2
"Louisiana Tech",6,3,8,5
"UC Davis",0,0,0,2
"San Jose State",3,5,4,8
"Murray State",0,0,0,1
"Fordham",0,0,0,1
"Alabama A&M",0,0,0,2
"LSU",5,3,7,4
"Southern Miss",4,4,6,6
"SE Missouri St",0,0,0,1
"N Arizona",0,0,0,1
"URI",0,0,0,1
"Richmond",0,0,1,0
"Florida A&M",0,0,0,1
"Howard",0,0,0,2
"VMI",0,0,0,1
"SF Austin",0,0,0,1
"Northern Iowa",0,0,1,0
"Bowling Green",3,5,4,8
"Abil Christian",0,0,0,1
