TEAM,WIN.PERC,WIN.MULT,SoS.MULT,SIM.WINS,SIM.LOSSES,SIM.PERC,RANK.SCORE,RANK,SIMURANK,ALT.RANK.SCORE,ALT.RANK
Michigan,0.964149196,0.982074598,0.908798094,6033,317,0.95007874,0.847952423,2,1,0.900837548,1
Alabama,0.928477939,0.964238969,0.94151875,6019,331,0.947874016,0.860526543,1,2,0.898744264,2
Ohio State,0.920965483,0.960482742,0.92201072,5967,383,0.939685039,0.83216194,3,3,0.879321712,3
Auburn,0.874165929,0.937082964,0.94358423,5790,560,0.911811024,0.806238541,4,4,0.853836464,4
Clemson,0.849852944,0.924926472,0.920964236,5335,1015,0.84015748,0.715666475,5,8,0.801841938,5
Louisville,0.862992843,0.931496421,0.881524812,5437,913,0.856220472,0.703074488,6,6,0.792573226,6
Florida,0.898725401,0.9493627,0.865543472,5202,1148,0.819212598,0.673159024,10,10,0.791661468,7
Washington,0.927344762,0.963672381,0.800874239,5488,862,0.864251969,0.667012717,12,5,0.783208343,8
LSU,0.83636765,0.918183825,0.912099638,5192,1158,0.817637795,0.684751323,8,11,0.781113019,9
Colorado,0.829890325,0.914945163,0.889465096,5429,921,0.85496063,0.695777038,7,7,0.777092528,10
Texas A&M,0.828392749,0.914196374,0.877919463,5324,1026,0.838425197,0.672912341,11,9,0.764316477,11
Wisconsin,0.766064964,0.883032482,0.995183949,4878,1472,0.768188976,0.675068919,9,17,0.764313363,12
Western Michigan,0.878610947,0.939305474,0.823497881,4960,1390,0.781102362,0.604195227,16,15,0.742723623,13
Virginia Tech,0.801339831,0.900669915,0.87371792,5007,1343,0.788503937,0.620498543,13,13,0.729597959,14
Nebraska,0.788306135,0.894153068,0.880480951,4655,1695,0.733070866,0.577135508,18,20,0.707082645,15
Miami (FL),0.788357284,0.894178642,0.883319242,4435,1915,0.698425197,0.55164779,22,27,0.697055838,16
Baylor,0.859187829,0.929593914,0.772559163,4728,1622,0.744566929,0.534722874,25,19,0.690704596,17
Boise State,0.738336057,0.869168029,0.874599127,4927,1423,0.775905512,0.589822886,17,16,0.689133885,18
Oklahoma,0.688028678,0.844014339,0.912334389,5048,1302,0.79496063,0.612138212,15,12,0.683461692,19
West Virginia,0.727662608,0.863831304,0.886510326,4749,1601,0.747874016,0.572718459,19,18,0.679344949,20
Troy,0.819254059,0.909627029,0.813126962,4360,1990,0.686614173,0.507848861,28,28,0.672976434,21
Houston,0.795605408,0.897802704,0.834989832,4342,2008,0.683779528,0.512599513,27,29,0.670808126,22
Penn State,0.627160894,0.813580447,0.974117444,4967,1383,0.782204724,0.619915161,14,14,0.668020486,23
Washington State,0.716598207,0.858299104,0.856893274,4623,1727,0.728031496,0.535445855,24,22,0.652042621,24
Western Kentucky,0.688173611,0.844086806,0.874222332,4539,1811,0.71480315,0.527467208,26,24,0.639345543,25
USC,0.636057155,0.818028577,0.943166141,4554,1796,0.717165354,0.553319503,21,23,0.638993499,26
Oklahoma State,0.733520106,0.866760053,0.843734498,4302,2048,0.677480315,0.495451759,30,31,0.638424251,27
Iowa,0.720149791,0.860074895,0.846715893,4099,2251,0.645511811,0.470086929,33,35,0.621678786,28
San Diego State,0.831848817,0.915924409,0.75,3878,2472,0.610708661,0.419522227,48,44,0.619493962,29
Northwestern,0.5747744,0.7873872,0.968828252,4650,1700,0.732283465,0.558617289,20,21,0.61533294,30
Appalachian State,0.718815494,0.859407747,0.859895034,3820,2530,0.601574803,0.444564052,37,46,0.612595517,31
South Florida,0.702678626,0.851339313,0.841560011,3964,2386,0.624251969,0.447247271,36,41,0.602314811,32
Minnesota,0.707616391,0.853808195,0.852501061,3742,2608,0.589291339,0.428928897,45,47,0.598592929,33
Ole Miss,0.560305221,0.780152611,0.963548719,4526,1824,0.712755906,0.53578934,23,25,0.597506221,34
Florida State,0.588615149,0.794307575,0.936834431,4203,2147,0.661889764,0.492535131,31,32,0.588253214,35
Temple,0.720191411,0.860095706,0.854814144,3358,2992,0.528818898,0.388799274,56,61,0.586692835,36
Kansas State,0.691097355,0.845548678,0.861408226,3615,2735,0.569291339,0.414650512,49,51,0.586641744,37
Louisiana Tech,0.714325504,0.857162752,0.77800784,4114,2236,0.647874016,0.432053797,42,33,0.586458567,38
Memphis,0.681287412,0.840643706,0.82177679,4059,2291,0.639212598,0.441581797,38,36,0.586314987,39
Toledo,0.772631418,0.886315709,0.783733451,3362,2988,0.529448819,0.367773823,61,60,0.580174331,40
Middle Tennessee,0.672858777,0.836429389,0.814754571,4050,2300,0.637795276,0.434647702,41,37,0.578074935,41
Tulsa,0.659440511,0.829720255,0.864504018,3722,2628,0.586141732,0.42043741,47,48,0.575439892,42
Texas,0.555826234,0.777913117,0.921705218,4440,1910,0.699212598,0.501340033,29,26,0.574609493,43
Maryland,0.690593141,0.845296571,0.831631333,3586,2764,0.564724409,0.396987206,52,55,0.571120733,44
UCF,0.635334359,0.817667179,0.860845933,3715,2635,0.58503937,0.411800709,50,49,0.559629789,45
North Carolina,0.608117397,0.804058699,0.869803258,3883,2467,0.611496063,0.42766376,46,43,0.55646035,46
Utah,0.646127614,0.823063807,0.856857721,3559,2791,0.560472441,0.395272392,53,56,0.555917103,47
Pittsburgh,0.595670231,0.797835115,0.89273034,3831,2519,0.603307087,0.429706446,44,45,0.55561762,48
BYU,0.555188416,0.777594208,0.925017828,3965,2385,0.624409449,0.449130539,35,40,0.550509271,49
