"Team","Previous.Score","Score","Rank"
"Air Force",1653.41974357727,1653.41974357727,53
"Akron",1592.22064916397,1592.22064916397,72
"Alabama",2173.84191648172,2173.84191648172,1
"Appalachian State",1767.37509837009,1767.37509837009,26
"Arizona",1480.33105936228,1480.33105936228,105
"Arizona State",1604.11321304558,1604.11321304558,65
"Arkansas",1587.58002828688,1587.58002828688,74
"Arkansas State",1534.94059199935,1534.94059199935,84
"Army",1546.34746206722,1546.34746206722,83
"Auburn",1883.1176381288,1883.1176381288,9
"Ball State",1504.38275829469,1504.38275829469,97
"Baylor",1769.42043357306,1769.42043357306,25
"Boise State",1866.12779722402,1866.12779722402,10
"Boston College",1546.97275436028,1546.97275436028,82
"Bowling Green",1356.53728784985,1356.53728784985,119
"Buffalo",1356.49751217933,1356.49751217933,120
"BYU",1727.6566789059,1727.6566789059,33
"California",1641.25284055293,1641.25284055293,55
"Central Michigan",1594.74315804333,1594.74315804333,71
"Charlotte",1357.96677781259,1357.96677781259,118
"Cincinnati",1492.17533739017,1492.17533739017,101
"Clemson",1986.25771203446,1986.25771203446,5
"Colorado",1850.99421709418,1850.99421709418,13
"Colorado State",1635.74045352731,1635.74045352731,56
"Connecticut",1473.44170439608,1473.44170439608,108
"Duke",1513.63366880096,1513.63366880096,94
"East Carolina",1493.89427758471,1493.89427758471,100
"Eastern Michigan",1524.95612207722,1524.95612207722,87
"Florida",1853.05643897705,1853.05643897705,12
"Florida Atlantic",1296.54642731028,1296.54642731028,125
"Florida International",1375.24628850237,1375.24628850237,113
"Florida State",1774.99906427365,1774.99906427365,23
"Fresno State",1268.99750602207,1268.99750602207,126
"Georgia",1586.34444525228,1586.34444525228,75
"Georgia Southern",1483.34696976823,1483.34696976823,104
"Georgia State",1507.92502204948,1507.92502204948,96
"Georgia Tech",1598.00565977727,1598.00565977727,70
"Hawaii",1496.31013868615,1496.31013868615,99
"Houston",1748.71195670454,1748.71195670454,31
"Idaho",1503.14767126069,1503.14767126069,98
"Illinois",1376.49285225628,1376.49285225628,112
"Indiana",1634.26906912261,1634.26906912261,57
"Iowa",1719.20157051248,1719.20157051248,37
"Iowa State",1476.01792729168,1476.01792729168,107
"Kansas",1171.25791537773,1171.25791537773,128
"Kansas State",1617.35415739877,1617.35415739877,61
"Kent State",1524.11142898832,1524.11142898832,88
"Kentucky",1599.98249790166,1599.98249790166,68
"Louisiana-Lafayette",1477.93444224689,1477.93444224689,106
"Louisiana-Monroe",1326.67434665887,1326.67434665887,124
"Louisiana Tech",1686.62187685225,1686.62187685225,48
"Louisville",1972.10679901467,1972.10679901467,7
"LSU",1844.40236099598,1844.40236099598,14
"Marshall",1329.58901020748,1329.58901020748,123
"Maryland",1603.57540593038,1603.57540593038,66
"Massachusetts",1345.78561020431,1345.78561020431,121
"Memphis",1644.61902711281,1644.61902711281,54
"Miami (FL)",1710.51351750696,1710.51351750696,40
"Miami (OH)",1519.08568678355,1519.08568678355,90
"Michigan",2125.09551767014,2125.09551767014,2
"Michigan State",1511.28859948962,1511.28859948962,95
"Middle Tennessee",1710.30992501427,1710.30992501427,41
"Minnesota",1697.4096054526,1697.4096054526,45
"Mississippi State",1590.13703279372,1590.13703279372,73
"Missouri",1557.04380995845,1557.04380995845,81
"Navy",1664.09539098945,1664.09539098945,51
"Nebraska",1800.75519928683,1800.75519928683,20
"Nevada",1373.38177575608,1373.38177575608,114
"New Mexico",1520.76550017039,1520.76550017039,89
"New Mexico State",1381.3388036748,1381.3388036748,111
"North Carolina",1696.38032276565,1696.38032276565,46
"North Carolina State",1705.21109766516,1705.21109766516,42
"North Texas",1513.90378593154,1513.90378593154,93
"Northern Illinois",1603.55734930695,1603.55734930695,67
"Northwestern",1780.92624544918,1780.92624544918,22
"Notre Dame",1613.78817835577,1613.78817835577,62
"Ohio",1617.96152320416,1617.96152320416,59
"Ohio State",1995.9106583914,1995.9106583914,4
"Oklahoma",1773.44914461048,1773.44914461048,24
"Oklahoma State",1731.99424767873,1731.99424767873,32
"Old Dominion",1617.6882115282,1617.6882115282,60
"Ole Miss",1688.89732559895,1688.89732559895,47
"Oregon",1720.33063833154,1720.33063833154,36
"Oregon State",1515.46706368665,1515.46706368665,91
"Penn State",1831.68978270278,1831.68978270278,16
"Pittsburgh",1700.57144498397,1700.57144498397,43
"Purdue",1364.70559965358,1364.70559965358,116
"Rice",1372.0893705542,1372.0893705542,115
"Rutgers",1361.5761223458,1361.5761223458,117
"San Diego State",1788.50472504984,1788.50472504984,21
"San Jose State",1344.0129112805,1344.0129112805,122
"SMU",1585.44517938458,1585.44517938458,76
"South Alabama",1527.08300290679,1527.08300290679,86
"South Carolina",1491.95018745316,1491.95018745316,102
"South Florida",1717.60119835879,1717.60119835879,38
"Southern Miss",1611.68370549345,1611.68370549345,63
"Stanford",1714.40009686668,1714.40009686668,39
"Syracuse",1514.760853095,1514.760853095,92
"TCU",1605.74727487678,1605.74727487678,64
