"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Air Force",5.64987729486435,9,0.627764143873817,177,295,216,5.99874582711195,3.00125417288805,1.44786741577649,47
"Akron",5.22281157344052,10,0.522281157344052,119,298,356,4.44760394767187,5.55239605232813,1.0355588704532,100
"Alabama",2.85204015423145,9,0.316893350470161,17,361,119,8.12554334928316,0.87445665071684,2.23135988077374,1
"Appalachian State",5.03551319073105,9,0.559501465636783,144,246,152,6.57470049536658,2.42529950463342,1.64412002029233,21
"Arizona",3.33574054917808,9,0.370637838797564,39,200,334,2.83910194635273,6.16089805364727,1.00285063623958,104
"Arizona State",3.91431790293099,9,0.434924211436777,63,321,329,4.29246284428171,4.70753715571829,1.26153335202903,69
"Arkansas",3.60113829025203,9,0.400126476694669,47,278,261,4.98478698635332,4.01521301364668,1.45018089612038,46
"Arkansas State",4.10002541482238,8,0.512503176852797,113,193,203,3.93595950035531,4.06404049964469,1.30688574606463,60
"Army",6.00054030152551,9,0.666726700169501,192,264,163,5.27777124303853,3.72222875696147,1.24868828524226,70
"Auburn",3.32593365584163,9,0.369548183982403,38,313,144,6.41581381586219,2.58418618413781,1.79876515094573,8
"Ball State",5.66181254964221,9,0.629090283293579,179,244,255,4.39553626537117,4.60446373462883,1.09027248485877,90
"Baylor",5.11629174262203,8,0.639536467827753,183,318,200,5.68937907243877,2.31062092756123,1.61820734811054,24
"Boise State",4.36633765690149,9,0.48514862854461,93,313,204,6.31807648485241,2.68192351514759,1.66144529949246,19
"Boston College",4.51516555860183,9,0.50168506206687,107,175,236,4.36805685953019,4.63194314046981,1.21157117145415,77
"Bowling Green",4.26039180772796,9,0.473376867525329,84,191,406,2.29081680408231,6.70918319591769,0.778270464785054,121
"Buffalo",5.26875974843622,9,0.585417749826247,161,155,288,2.31909972142379,6.68090027857621,0.672514675226686,127
"BYU",3.75508871090367,9,0.417232078989296,55,244,207,5.3946162560918,3.6053837439082,1.52414846487875,32
"California",3.38782646790176,9,0.376425163100195,41,357,400,4.05941684115989,4.94058315884011,1.26824439967187,68
"Central Michigan",5.38489813298857,10,0.538489813298857,130,284,293,4.69920359909149,5.30079640090851,1.06967014478232,96
"Charlotte",5.41095336919463,9,0.601217041021625,166,236,322,3.66993525297005,5.33006474702995,0.956901057708254,109
"Cincinnati",4.80698955525503,9,0.534109950583892,127,185,225,3.68158051078214,5.31841948921786,1.02659598321534,102
"Clemson",3.61394937487014,9,0.401549930541126,48,347,141,7.11468153635284,1.88531846364716,1.92206734227382,5
"Colorado",4.23976307330554,10,0.423976307330554,58,323,165,7.55144032449818,2.44855967550182,1.75463099583196,11
"Colorado State",4.72355714144179,9,0.524839682382421,120,251,223,4.96929292793203,4.03070707206797,1.32202456633901,58
"Connecticut",4.96136356606303,10,0.496136356606303,104,165,269,3.46803230921143,6.53196769078857,0.865789343498865,114
"Duke",4.29128646745451,9,0.476809607494946,87,217,215,4.12364393977598,4.87635606022402,1.18213264385847,80
"East Carolina",4.41836439281663,9,0.490929376979625,99,252,275,3.8212595400817,5.1787404599183,1.1008163411084,88
"Eastern Michigan",4.85018142687497,9,0.538909047430552,131,267,271,4.3680434079097,4.6319565920903,1.17434419684147,82
"Florida",4.1719029175867,8,0.521487864698337,118,216,113,6.0012629283947,1.9987370716053,1.81422691522894,7
"Florida Atlantic",5.81251871444119,9,0.645835412715688,185,202,327,3.08015114832367,5.91984885167633,0.78121955164833,120
"Florida International",5.62311390994962,10,0.562311390994962,147,229,362,2.98321031141372,7.01678968858628,0.702649909550664,125
"Florida State",3.20308376658105,9,0.355898196286784,31,302,259,5.43099810552146,3.56900189447854,1.59356720301008,26
"Fresno State",4.95899078038832,10,0.495899078038832,103,185,341,2.48870283054681,7.51129716945319,0.670160726333412,128
"Georgia",4.02522219467012,9,0.447246910518902,71,213,233,4.236587989288,4.763412010712,1.23679401850386,74
"Georgia Southern",4.95450653598149,9,0.550500726220165,141,241,231,4.44470028428089,4.55529971571911,1.17978737946768,81
"Georgia State",4.66147403748314,9,0.517941559720349,115,174,221,3.29610849050352,5.70389150949648,0.957103925128079,108
"Georgia Tech",4.33121123013142,9,0.481245692236824,91,245,236,4.63862597608467,4.36137402391533,1.29213701162964,63
"Hawaii",5.60354037847795,10,0.560354037847795,145,268,382,4.17164007524491,5.82835992475509,0.942293215464068,110
"Houston",5.0788348673048,9,0.564314985256089,150,346,195,6.32729322039564,2.67270677960436,1.58432710623503,27
"Idaho",4.37863259233228,9,0.486514732481364,96,217,300,3.68871499749882,5.31128500250118,1.07577664281046,92
"Illinois",3.97589714295807,9,0.441766349217563,67,212,265,3.48453151307946,5.51546848692054,1.07515091842552,93
"Indiana",4.2239006226074,9,0.469322291400822,80,244,239,4.54812623246821,4.45187376753179,1.28394935832865,67
"Iowa",3.85806021859036,9,0.428673357621151,59,239,192,5.30419666471354,3.69580333528646,1.49261394371839,38
"Iowa State",3.75270946632956,9,0.416967718481062,54,216,293,3.06827488361726,5.93172511638274,1.0074480759482,103
"Kansas",3.9296378888332,9,0.436626432092577,65,176,362,2.03265855434044,6.96734144565956,0.757652400275166,123
"Kansas State",4.48221568693441,9,0.498023965214935,106,280,216,4.92925743842803,4.07074256157197,1.33994350806116,55
"Kent State",4.75214177670139,9,0.528015752966821,123,198,234,4.03300675159019,4.96699324840981,1.11078490101198,87
"Kentucky",4.34695522640637,9,0.482995025156263,92,246,274,4.3566374882412,4.6433625117588,1.22772357030054,76
"Louisiana-Lafayette",4.98829705377153,8,0.623537131721442,175,178,218,3.38507627358615,4.61492372641385,1.0581309845037,97
"Louisiana-Monroe",5.29269649603395,9,0.588077388448217,163,223,374,3.02314047647068,5.97685952352932,0.826308537726248,117
"Louisiana Tech",6.68319238262882,10,0.668319238262882,193,441,293,7.03648465848323,2.96351534151677,1.40729693169665,50
"Louisville",4.56264179292767,9,0.506960199214186,111,452,191,7.43093198030523,1.56906801969477,1.88693495003462,6
"LSU",3.31395121393834,8,0.414243901742293,52,209,115,4.98831432389298,3.01168567610702,1.66823372705955,16
"Marshall",5.19501437142193,9,0.577223819046881,157,255,315,3.19006069371173,5.80993930628827,0.874255488736706,113
"Maryland",4.45150885306912,9,0.494612094785457,100,264,245,4.83689111554353,4.16310888445647,1.32282952896075,56
"Massachusetts",5.30456171797713,10,0.530456171797713,126,231,329,3.38732246371397,6.61267753628603,0.815327559207963,118
"Memphis",5.29210442820486,9,0.588011603133873,162,350,224,5.90180395028564,3.09819604971436,1.46607731722169,44
