Team,Offense....rankings.Offense.Rank,Defense....rankings.Defense.Rank,Record,SoS,Overall
Alabama,7,2,8,1,1
Michigan,1,4,8,26,2
Ohio State,4,5,18.5,19,3
Clemson,14,9,8,45,4
Auburn,18,8,36,10,5.5
Washington,3,11,8,114,5.5
Penn State,17,18,36,4,7
Colorado,24,7,36,38,8
Texas A&M,20,22,18.5,40,9
Louisville,2,36,18.5,63,10
Washington State,6,17,36,92,11
Wisconsin,48,3,36,2,12
USC,26,13,58,18,13
Virginia Tech,27,15,36,61,14
Western Michigan,16,34,8,109,15
LSU,59,1,44.5,12,16
Florida State,23,37,58,14,17
Northwestern,36,14,84,3,18
Nebraska,58,20,18.5,34,19
North Carolina,32,33,36,54,20
Oklahoma,9,64,36,28,21
Boise State,39,35,18.5,60,22
West Virginia,60,12,23.5,62,23
Utah,46,26,27,78,24
Houston,28,42,27,101,25
Florida,80,10,23.5,52,26
Stanford,78,6,58,8,27
Arkansas,41,46,58,7,28
Tennessee,21,66,58,9,29
Miami (FL),49,16,84,46,30
Minnesota,47,31,36,96,31
Iowa,56,25,58,59,32
Ole Miss,5,70,105,5,33
UCLA,51,24,105,6,34
Temple,45,38,47,91,35
Oklahoma State,22,71,36,88,36
Memphis,29,49,58,108,37
Troy,44,50,23.5,115,38
South Florida,12,86,27,98,39
San Diego State,65,30,18.5,128,40
Kansas State,57,39,58,49,41
BYU,63,27,84,31,42.5
Tulsa,15,89,36,71,42.5
UCF,37,44,84,87,44
TCU,42,45,84,66,45
Western Kentucky,19,82,58,65,46
Arizona State,25,77,69.5,43,47.5
Georgia Tech,50,56,58,50,47.5
Texas,40,59,84,29,49
Navy,43,69,44.5,58,50
Pittsburgh,13,99,58,32,51
Maryland,67,41,58,55,52
Baylor,34,76,23.5,120,53
North Carolina State,75,29,84,36,54
Toledo,33,78,36,119,55
Mississippi State,35,62,117.5,23,56
Indiana,54,54,84,47,57
Appalachian State,94,28,36,89,58
Wake Forest,98,19,58,69,59
Wyoming,31,98,36,72,60
Georgia,77,40,84,33,61
Louisiana Tech,30,83,47,124,62
California,11,111,84,16,63
Oregon,10,102,105,15,64
Notre Dame,38,67,105,44,65
Duke,79,32,105,24,66
Vanderbilt,97,23,84,41,67
Kentucky,64,80,58,21,68
Oregon State,62,51,125.5,11,69
Michigan State,55,57,125.5,22,70
South Carolina,112,21,84,39,71.5
Texas Tech,8,122,84,51,71.5
Air Force,74,58,58,113,73
Colorado State,84,48,84,80,74
Virginia,72,60,125.5,35,75
Army,93,52,58,123,76
Middle Tennessee,53,108,36,107,77
Illinois,86,55,125.5,48,78
SMU,87,84,84,25,79
Boston College,115,47,84,64,80
Syracuse,71,97,84,42,81
Iowa State,82,72,136,17,82
Cincinnati,108,53,84,95,83.5
Ohio,99,73,47,125,83.5
Arkansas State,92,65,98.5,86,85
Missouri,52,104,125.5,37,86
Arizona,66,95,125.5,27,87
East Carolina,68,91,105,82,88
Central Michigan,85,92,69.5,85,89.5
Old Dominion,81,94,58,116,89.5
New Mexico,61,114,58,127,91
Connecticut,122,43,113.5,57,92
Rutgers,95,79,125.5,13,93
South Alabama,111,63,84,97,94
Georgia Southern,100,75,84,99,95.5
Utah State,89,87,105,53,95.5
Southern Miss,76,109,58,112,97
UTSA,83,88,84,117,98
Northern Illinois,73,90,125.5,70,99
Akron,69,121,69.5,79,100
Eastern Michigan,101,93,69.5,90,101
Kent State,110,61,113.5,103,102
Tulane,107,74,105,94,103
Miami (OH),109,68,113.5,100,104
Idaho,96,103,84,75,105
Purdue,70,118,105,84,106
North Texas,105,101,84,74,107
Hawaii,91,106,97,93,108
Ball State,106,96,84,122,109
Georgia State,113,81,125.5,73,110
UNLV,88,115,113.5,118,111
Massachusetts,90,113,133,81,112
Nevada,128,85,105,126,113
San Jose State,117,105,113.5,76,114
Louisiana-Lafayette,119,100,98.5,121,115
Florida International,116,107,113.5,83,116
Bowling Green,102,127,136,30,117
Kansas,124,110,136,20,118
New Mexico State,104,125,125.5,68,119
Charlotte,114,123,105,102,120
Louisiana-Monroe,103,126,125.5,104,121
Fresno State,120,112,139,67,122
UTEP,125,120,125.5,56,123
Marshall,121,116,125.5,110,124
Texas State,118,128,117.5,105,125
Buffalo,126,117,125.5,106,126
Rice,127,119,136,77,127
Florida Atlantic,123,124,136,111,128
