Team,Expected.Wins,Games,Average.Expected.Wins,SoS.Rank
Alabama,2.852040154,9,0.31689335,1
Oregon State,2.893200495,9,0.321466722,2
Northwestern,2.925950006,9,0.325105556,3
UCLA,3.425083979,10,0.342508398,4
Wisconsin,3.092966151,9,0.343662906,5
Penn State,3.17958891,9,0.353287657,6
Stanford,3.184211479,9,0.353801275,7
Florida State,3.203083767,9,0.355898196,8
USC,3.301271479,9,0.366807942,9
Ohio State,3.303301878,9,0.367033542,10
Auburn,3.325933656,9,0.369548184,11
Arizona,3.335740549,9,0.370637839,12
Oregon,3.374637603,9,0.374959734,13
California,3.387826468,9,0.376425163,14
Rutgers,3.397975806,9,0.377552867,15
Tennessee,3.410552534,9,0.378950282,16
Ole Miss,3.485068112,9,0.38722979,17
Arkansas,3.60113829,9,0.400126477,18
Clemson,3.613949375,9,0.401549931,19
Virginia,3.645611372,9,0.40506793,20
Washington State,3.719500674,9,0.413277853,21
LSU,3.313951214,8,0.414243902,22
Iowa State,3.752709466,9,0.416967718,23
BYU,3.755088711,9,0.417232079,24
Michigan State,3.800957529,9,0.422328614,25
Colorado,4.239763073,10,0.423976307,26
Iowa,3.858060219,9,0.428673358,27
Syracuse,3.901677047,9,0.433519672,28
Arizona State,3.914317903,9,0.434924211,29
Michigan,3.918216246,9,0.435357361,30
Kansas,3.929637889,9,0.436626432,31
Texas A&M,3.964570175,9,0.440507797,32
Illinois,3.975897143,9,0.441766349,33
North Carolina State,3.985123066,9,0.442791452,34
Nebraska,4.014614372,9,0.446068264,35
Georgia,4.025222195,9,0.447246911,36
Miami (FL),4.12652899,9,0.458503221,37
Pittsburgh,4.145298253,9,0.460588695,38
Indiana,4.223900623,9,0.469322291,39
Utah State,4.246818895,9,0.471868766,40
Northern Illinois,4.258080185,9,0.473120021,41
Bowling Green,4.260391808,9,0.473376868,42
Vanderbilt,4.266748357,9,0.474083151,43
Mississippi State,4.273795436,9,0.47486616,44
Duke,4.291286467,9,0.476809607,45
SMU,4.304415399,9,0.478268378,46
Texas,4.311898337,9,0.479099815,47
North Carolina,4.326141757,9,0.480682417,48
Georgia Tech,4.33121123,9,0.481245692,49
Kentucky,4.346955226,9,0.482995025,50
Boise State,4.366337657,9,0.485148629,51
South Carolina,4.372657027,9,0.485850781,52
Idaho,4.378632592,9,0.486514732,53
Notre Dame,4.380121872,9,0.486680208,54
Missouri,4.39455073,9,0.488283414,55
East Carolina,4.418364393,9,0.490929377,56
Maryland,4.451508853,9,0.494612095,57
Utah,4.457702065,9,0.495300229,58
Oklahoma,4.46103987,9,0.495671097,59
Fresno State,4.95899078,10,0.495899078,60
Connecticut,4.961363566,10,0.496136357,61
Purdue,4.47752675,9,0.497502972,62
Kansas State,4.482215687,9,0.498023965,63
Boston College,4.515165559,9,0.501685062,64
Virginia Tech,4.529066629,9,0.503229625,65
Texas Tech,4.535372551,9,0.503930283,66
Louisville,4.562641793,9,0.506960199,67
Arkansas State,4.100025415,8,0.512503177,68
New Mexico State,4.113729264,8,0.514216158,69
Georgia State,4.661474037,9,0.51794156,70
Florida,4.171902918,8,0.521487865,71
Akron,5.222811573,10,0.522281157,72
Colorado State,4.723557141,9,0.524839682,73
Navy,4.214774013,8,0.526846752,74
Kent State,4.752141777,9,0.528015753,75
Miami (OH),5.282833545,10,0.528283354,76
Wyoming,4.758820663,9,0.528757851,77
Massachusetts,5.304561718,10,0.530456172,78
Cincinnati,4.806989555,9,0.534109951,79
Washington,4.816561216,9,0.535173468,80
Central Michigan,5.384898133,10,0.538489813,81
Eastern Michigan,4.850181427,9,0.538909047,82
UCF,4.861356723,9,0.540150747,83
Temple,5.440662882,10,0.544066288,84
South Alabama,4.896654407,9,0.544072712,85
TCU,4.89967225,9,0.544408028,86
Minnesota,4.914990543,9,0.54611006,87
Western Kentucky,4.929668691,9,0.547740966,88
West Virginia,4.39866196,8,0.549832745,89
Georgia Southern,4.954506536,9,0.550500726,90
San Jose State,5.51447672,10,0.551447672,91
Tulane,5.034883607,9,0.559431512,92
Appalachian State,5.035513191,9,0.559501466,93
Hawaii,5.603540378,10,0.560354038,94
Oklahoma State,5.051726133,9,0.561302904,95
Florida International,5.62311391,10,0.562311391,96
South Florida,5.063440503,9,0.5626045,97
Texas State,4.510881928,8,0.563860241,98
Houston,5.078834867,9,0.564314985,99
Tulsa,5.083263948,9,0.564807105,100
UTEP,4.530218503,8,0.566277313,101
Wake Forest,5.11065947,9,0.567851052,102
Marshall,5.195014371,9,0.577223819,103
Rice,5.198981981,9,0.577664665,104
Buffalo,5.268759748,9,0.58541775,105
Memphis,5.292104428,9,0.588011603,106
Louisiana-Monroe,5.292696496,9,0.588077388,107
Charlotte,5.410953369,9,0.601217041,108
Western Michigan,5.540059355,9,0.615562151,109
Old Dominion,5.567074999,9,0.618563889,110
North Texas,5.585169607,9,0.620574401,111
Toledo,5.598173924,9,0.622019325,112
Louisiana-Lafayette,4.988297054,8,0.623537132,113
Air Force,5.649877295,9,0.627764144,114
Southern Miss,5.658475843,9,0.628719538,115
Ball State,5.66181255,9,0.629090283,116
Middle Tennessee,5.667391337,9,0.629710149,117
UTSA,5.735810434,9,0.63731227,118
Baylor,5.116291743,8,0.639536468,119
UNLV,5.79910291,9,0.644344768,120
Florida Atlantic,5.812518714,9,0.645835413,121
Troy,5.283954198,8,0.660494275,122
Ohio,6.647909206,10,0.664790921,123
Army,6.000540302,9,0.6667267,124
Louisiana Tech,6.683192383,10,0.668319238,125
New Mexico,6.020189547,9,0.66890995,126
Nevada,6.096724346,9,0.677413816,127
San Diego State,6.463519462,9,0.718168829,128
