"Team","id","score","rank"
"Hawaii",1,43.5932192203566,106
"Appalachian State",2,77.3384294101855,52
"Indiana",3,81.4392326499788,46
"Oregon State",4,74.2765322757536,58
"Rice",5,28.1056505992916,125
"South Carolina",6,65.8739390586167,68
"Tulane",7,41.0910041232326,108
"Charlotte",8,34.772170872671,119
"Ball State",9,44.2527628212626,104
"Colorado State",10,59.8162300461544,81
"Kansas State",11,70.5791307772698,63
"Toledo",12,75.712293829168,56
"Army",13,51.5843148462264,90
"Boise State",14,98.1841390754253,32
"Bowling Green",15,43.7342013178067,105
"BYU",16,101.660750152598,30
"Fresno State",17,30.3620986202155,124
"UCLA",18,111.80994799616,21
"Clemson",19,170.281348860819,6
"Georgia Tech",20,82.052208668379,44
"Georgia",21,99.28710748447,31
"Kent State",22,44.6738061957715,103
"LSU",23,130.141900800277,17
"Louisiana Tech",24,69.3476904955639,64
"Massachusetts",25,38.8215639812609,111
"Miami (OH)",26,55.6788041247326,82
"Missouri",27,54.5767713127703,84
"New Mexico State",28,33.1244505214886,122
"Northern Illinois",29,66.1238565149536,66
"Oklahoma",30,104.965494460928,26
"Rutgers",31,40.1513779443047,109
"San Jose State",32,37.716504712426,113
"South Alabama",33,63.2388680893095,74
"USC",34,141.943298620945,12
"SMU",35,54.5624099809457,85
"Southern Miss",36,48.9424649585124,92
"Texas State",37,25.0802667139054,128
"Western Michigan",38,83.4635061197433,43
"Notre Dame",39,81.9451640838457,45
"Ole Miss",40,207.556906607286,2
"Louisville",41,138.625105729778,14
"Maryland",42,52.689388501206,87
"Akron",43,49.178816797141,91
"Arkansas State",44,46.6667094041992,99
"Arkansas",45,151.650128562129,10
"Boston College",46,45.0020110833942,102
"California",47,86.2346923018901,39
"UCF",48,62.8315536638627,76
"Central Michigan",49,55.5355903786328,83
"Cincinnati",50,36.9833929690834,114
"Connecticut",51,45.0649451444929,101
"Eastern Michigan",52,63.3272816166587,73
"Florida Atlantic",53,27.3670146124845,127
"Georgia Southern",54,64.5671412143391,71
"Georgia State",55,51.6554197955898,89
"Idaho",56,38.2567942109064,112
"Iowa State",57,53.4575127206245,86
"Kentucky",58,68.189821108488,65
"Middle Tennessee",59,52.6534635336366,88
"North Carolina",60,102.496529654485,28
"UNLV",61,39.0474736636667,110
"Nevada",62,33.6837120592097,120
"New Mexico",63,47.3986836783901,98
"North Carolina State",64,90.6279513051737,35
"Louisiana-Monroe",65,35.8968714657383,117
"Ohio",66,63.1827730738264,75
"Old Dominion",67,48.5087707321637,94
"Penn State",68,158.574366515533,7
"Texas Tech",69,81.3465140849939,47
"UTEP",70,27.4304514820698,126
"UTSA",71,48.5117248497248,93
"Troy",72,78.4932442034561,51
"Tulsa",73,63.9691464684197,72
"Utah State",74,47.4961478542445,97
"Virginia Tech",75,103.857927363335,27
"Virginia",76,76.2666765855488,54
"Wake Forest",77,62.6248951433371,78
"Washington State",78,107.844271068091,24
"Western Kentucky",79,72.0164046601932,61
"Wyoming",80,73.8704957073745,59
"Houston",81,74.5812391833314,57
"Alabama",82,234.611247903644,1
"Arizona State",83,79.5403582586397,49
"Baylor",84,62.4712024554584,79
"Colorado",85,148.225293478357,11
"East Carolina",86,47.9785442955123,95
"Florida International",87,33.3946680589896,121
"Florida State",88,139.382529270763,13
"Kansas",89,36.1605792694564,116
"Miami (FL)",90,108.591108758771,22
"Michigan State",91,87.8077860290602,38
"Mississippi State",92,85.3315692542399,40
"North Texas",93,36.2757079423893,115
"Ohio State",94,172.498162008374,5
"Oregon",95,91.5817977793858,34
"Pittsburgh",96,122.712082323754,19
"San Diego State",97,60.3499486054205,80
"South Florida",98,78.7767223726457,50
"Temple",99,80.8893296027543,48
"Texas A&M",100,153.621468865982,9
"Navy",101,72.0025290024539,62
"Vanderbilt",102,66.0884678622589,67
"Buffalo",103,30.4578974898312,123
"Duke",104,84.5872818251067,41
"Texas",105,89.2625501809366,37
"Utah",106,101.708457215212,29
"Florida",107,83.6261420724761,42
"Iowa",108,137.742398008269,15
"Nebraska",109,107.620499433006,25
"Oklahoma State",110,96.4898355885018,33
"Syracuse",111,62.7735729776899,77
"TCU",112,75.8902027097602,55
"Wisconsin",113,184.321510300168,4
"Louisiana-Lafayette",114,35.3044770553271,118
"Stanford",115,118.657915280232,20
"Air Force",116,65.0329906634012,70
"Washington",117,107.978129031642,23
"Illinois",118,42.9854580612004,107
"Marshall",119,47.5750256075952,96
"Memphis",120,72.8211938178369,60
"Minnesota",121,76.591084520163,53
"Northwestern",122,131.755465709005,16
"Purdue",123,46.6186817846018,100
"Tennessee",124,124.763891264696,18
"Arizona",125,65.2085007632658,69
"Auburn",126,154.948068131593,8
"Michigan",127,193.555281608634,3
"West Virginia",128,89.8503043578911,36
