"Team","Score","Rank"
"Hawaii",-32.5771987475635,91
"Appalachian State",46.3514082221129,33
"Indiana",0.724429430995521,63
"Oregon State",-148.233366465159,116
"Rice",-217.106479087122,128
"South Carolina",-4.99903449406963,71
"Tulane",-146.878714264283,114
"Charlotte",-36.3902223687823,95
"Ball State",-30.3328377719716,89
"Colorado State",-3.98461365383594,70
"Kansas State",-2.3652320021408,67
"Toledo",144.643448703558,15
"Army",-14.9289933403215,82
"Boise State",181.886432496988,5
"Bowling Green",-189.594649073799,124
"BYU",10.1730888537717,57
"Fresno State",-14.3836932871782,80
"UCLA",-8.51124912389711,75
"Clemson",218.078388696402,3
"Georgia Tech",12.4524899927037,55
"Georgia",19.0227899933344,49
"Kent State",-98.3329076747565,103
"LSU",65.2228858828448,25
"Louisiana Tech",48.2156701314575,31
"Massachusetts",-199.14199371925,126
"Miami (OH)",-1.98785100904939,65
"Missouri",-135.410156563813,109
"New Mexico State",-154.203060316816,118
"Northern Illinois",-18.7065824245984,84
"Oklahoma",139.03889544791,17
"Rutgers",-139.76636480831,112
"San Jose State",-138.994587145254,111
"South Alabama",-39.4020314970001,97
"USC",34.1605405633833,37
"SMU",-19.9422422789103,85
"Southern Miss",-11.3501195265089,77
"Texas State",-206.412491262991,127
"Western Michigan",16.4987892017449,52
"Notre Dame",-2.50800582303932,68
"Ole Miss",58.2008421602538,27
"Louisville",248.798094718105,1
"Maryland",-3.41114263984921,69
"Akron",-5.56009868038911,73
"Arkansas State",19.8327721501392,48
"Arkansas",44.6765428187849,35
"Boston College",-35.0661063381952,94
"California",-12.8004697642052,79
"UCF",15.0395122149137,53
"Central Michigan",-11.5635396204053,78
"Cincinnati",-37.8520974529295,96
"Connecticut",-133.519373657397,108
"Eastern Michigan",13.0151911915085,54
"Florida Atlantic",-143.051891010127,113
"Georgia Southern",-26.7182851903771,87
"Georgia State",-197.186654776982,125
"Idaho",-2.0424919726333,66
"Iowa State",-164.238523635339,122
"Kentucky",2.90077518239497,62
"Middle Tennessee",6.06834680041204,59
"North Carolina",44.5807763605281,36
"UNLV",-48.405417786393,101
"Nevada",-158.558092741624,121
"New Mexico",25.4334564857284,46
"North Carolina State",4.30799347629743,61
"Louisiana-Monroe",-41.5777081269336,99
"Ohio",29.4612800016836,43
"Old Dominion",30.6510120777264,40
"Penn State",146.354065139453,14
"Texas Tech",-30.3352989841134,90
"UTEP",-167.309572016325,123
"UTSA",-5.46428680947258,72
"Troy",151.198742212607,13
"Tulsa",18.8153364740838,50
"Utah State",-127.421435577304,107
"Virginia Tech",48.0931504110901,32
"Virginia",-116.928271268505,106
"Wake Forest",4.83341138745586,60
"Washington State",172.564602626423,8
"Western Kentucky",55.0152930110397,28
"Wyoming",28.0866436568824,44
"Houston",107.935424987159,19
"Alabama",52.2110931515934,30
"Arizona State",-9.99926155738811,76
"Baylor",18.5236411384316,51
"Colorado",154.247841748729,12
"East Carolina",-158.032234787983,120
"Florida International",-45.2012239838425,100
"Florida State",54.7745939900075,29
"Kansas",-16.2882277339272,83
"Miami (FL)",30.54334242655,41
"Michigan State",-99.5347086059402,104
"Mississippi State",-14.7160348947468,81
"North Texas",-40.4677633182413,98
"Ohio State",211.721012616118,4
"Oregon",-92.9913389624311,102
"Pittsburgh",9.46466526250232,58
"San Diego State",166.698423906296,9
"South Florida",128.015240707052,18
"Temple",31.7379757116594,39
"Texas A&M",83.6375394030043,23
"Navy",99.4412604527272,22
"Vanderbilt",-32.7743487319385,92
"Buffalo",-157.911306022656,119
"Duke",-24.4615625925969,86
"Texas",0.408796490624887,64
"Utah",105.336092184977,20
"Florida",162.009244747218,11
"Iowa",33.5001292495614,38
"Nebraska",140.721739595073,16
"Oklahoma State",103.283575754982,21
"Syracuse",-34.0633213653458,93
"TCU",-6.68407349156026,74
"Wisconsin",163.295706226077,10
"Louisiana-Lafayette",-28.9613755105513,88
"Stanford",45.8353259438239,34
"Air Force",23.1729696428957,47
"Washington",177.499332502493,7
"Illinois",-101.349796401404,105
"Marshall",-148.010691087337,115
"Memphis",11.9733679393213,56
"Minnesota",29.8688049471707,42
"Northwestern",27.2107162359122,45
"Purdue",-137.894553604022,110
"Tennessee",59.0725699416294,26
"Arizona",-151.144802999967,117
"Auburn",77.9739523593934,24
"Michigan",218.560748672866,2
"West Virginia",180.075302020449,6
