Team,Offense....rankings.Offense.Rank,Defense....rankings.Defense.Rank,Record,SoS,Overall
Alabama,5,1,6,4,1
Ohio State,2,3,15,22,2
Michigan,3,4,15,27,3
Clemson,15,11,15,45,4
Washington,4,12,15,102,5
Penn State,13,23,26.5,9,6
Wisconsin,35,5,26.5,3,7
Louisville,1,30,15,63,8
Colorado,25,7,21,48,9
Washington State,6,16,26.5,83,10
Auburn,27,6,43.5,16,11
USC,28,10,43.5,10,12
Texas A&M,24,20,43.5,42,13
Oklahoma,9,51,26.5,24,14
LSU,48,2,53.5,13,15
Florida State,20,34,43.5,25,16
Western Michigan,17,39,6,112,17
Boise State,30,32,15,72,18
Northwestern,34,14,78.5,5,19
Virginia Tech,38,19,43.5,61,20
Nebraska,58,18,26.5,29,21
West Virginia,60,13,19.5,56,22
Stanford,69,8,43.5,6,23
Utah,40,31,26.5,71,24
Ole Miss,7,58,78.5,1,25
North Carolina,33,36,43.5,57,26
Miami (FL),46,17,61,49,27
Tennessee,19,62,43.5,14,28
Iowa,57,15,61,36,29
Houston,32,43,26.5,100,30
Florida,76,9,32.5,65,31
Navy,31,60,32.5,53,32
Oklahoma State,22,68,26.5,78,33
Troy,41,46,19.5,108,34
Memphis,26,44,61,94,35
San Diego State,53,33,15,128,36
Arkansas,44,54,61,2,37
BYU,59,27,61,54,38
Pittsburgh,8,87,61,19,39
Western Kentucky,18,72,43.5,76,40
Texas,37,50,78.5,20,41
South Florida,12,85,26.5,86,42
UCLA,55,22,106.5,7,43
Temple,47,41,43.5,95,44
Tulsa,16,81,43.5,64,45
Georgia,72,28,61,21,46
TCU,43,42,69,69,47
Georgia Tech,50,48,61,51,48
UCF,49,38,61,99,49
Notre Dame,39,47,98,30,50
Kansas State,56,40,69,50,51
Minnesota,63,37,43.5,97,52
Toledo,36,75,26.5,120,53
Indiana,51,55,78.5,43,54
Appalachian State,90,29,43.5,66,55
North Carolina State,82,25,78.5,52,56
Louisiana Tech,23,89,34,126,57
Arizona State,29,83,78.5,38,58
Baylor,42,66,53.5,111,59
Wyoming,21,104,43.5,80,60
Mississippi State,45,70,98,15,61
Maryland,68,53,78.5,35,62.5
Wake Forest,100,24,61,58,62.5
Michigan State,52,52,115.5,37,64
Duke,83,35,98,26,65
Oregon,11,101,115.5,17,66
California,14,109,98,11,67
South Carolina,107,21,78.5,31,68
Texas Tech,10,115,98,47,69
Vanderbilt,101,26,98,40,70
Oregon State,67,56,131.5,8,71
Air Force,64,79,43.5,118,72
Kentucky,62,88,78.5,23,73
Colorado State,79,59,78.5,74,74
SMU,75,82,78.5,44,75
Virginia,74,61,131.5,28,76
Missouri,54,86,115.5,41,77
Old Dominion,71,90,43.5,115,78
Arkansas State,92,67,69,103,79
Ohio,97,71,43.5,125,80
Arizona,65,92,131.5,12,81
Northern Illinois,78,78,115.5,60,82
Illinois,89,76,115.5,33,83
Iowa State,85,73,131.5,32,84.5
Middle Tennessee,61,112,61,113,84.5
Boston College,115,57,98,59,86.5
Cincinnati,118,49,98,79,86.5
Eastern Michigan,87,96,61,91,88
Central Michigan,88,91,78.5,82,89
Connecticut,121,45,115.5,62,90
Idaho,91,95,61,93,91
New Mexico,70,117,43.5,127,92
Syracuse,81,100,98,46,93
South Alabama,109,64,89.5,96,94
Tulane,102,65,115.5,73,95
Utah State,95,77,115.5,55,96
Army,106,69,78.5,123,97
Miami (OH),103,74,87.5,110,98
East Carolina,66,103,115.5,88,99
Kent State,110,63,115.5,84,100
UTSA,86,99,78.5,119,101
Southern Miss,77,114,78.5,105,102
Georgia Southern,104,84,98,98,103
Akron,84,119,87.5,87,104
North Texas,112,93,98,68,105
Hawaii,94,106,106.5,75,106
UNLV,73,122,98,117,107
Rutgers,108,98,131.5,18,108
Purdue,80,121,115.5,81,109
Ball State,98,105,98,124,110
Louisiana-Lafayette,111,97,89.5,122,111
Georgia State,117,80,131.5,92,112
Massachusetts,93,111,131.5,90,113
Louisiana-Monroe,96,127,98,106,114
San Jose State,120,102,115.5,77,115
Bowling Green,99,125,131.5,39,116
Florida International,114,110,115.5,85,117
Marshall,113,108,115.5,104,118
Charlotte,116,116,98,107,119
Nevada,127,94,115.5,121,120
Kansas,119,113,137.5,34,121
New Mexico State,105,126,125,67,122
Fresno State,124,107,137.5,70,123
UTEP,123,120,125,89,124
Florida Atlantic,122,124,115.5,116,125
Rice,126,118,131.5,101,126
Buffalo,125,123,131.5,114,127
Texas State,128,128,125,109,128
