"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",344,262,200,201,0.497044916062541,0.502955083937459,0.655960535365158,0.344039464634842,0.982557525002033,0.430463964773041,0.430837117883608,0.273638003463618,118,0.570786724160507,52
"Akron",326,394,166,233,0.309266635681891,0.690733364318109,0.389597395251222,0.610402604748778,0.984925005858917,0.471128945225739,0.493026460088052,0.440873022729252,87,0.417680840897228,100
"Alabama",412,122,274,106,0.904716326069088,0.0952836739309122,0.947064622954397,0.0529353770456031,1.025,0.596538967407601,0.603853430459843,0.956622624529331,4,0.853477414425951,1
"Appalachian State",270,180,171,70,0.89252621277906,0.10747378722094,0.723312432175503,0.276687567824497,0.975,0.49240572081031,0.502297134967672,0.528373912565782,66,0.63339964977857,32
"Arizona",224,383,130,316,0.108606723787369,0.891393276212631,0.219044753687976,0.780955246312025,1.02160816194681,0.573545627725327,0.626115117719882,0.862062352719556,12,0.362400043659815,109
"Arizona State",347,378,203,282,0.314530794592389,0.685469205407611,0.449473173403552,0.550526826596448,1.02160816194681,0.529860548562506,0.552324696508365,0.682407156182256,38,0.494210114349381,72
"Arkansas",288,299,132,228,0.214955633315723,0.785044366684277,0.477805861015964,0.522194138984037,1.025,0.603076182245352,0.647284557691451,0.98350696671183,2,0.547656228905487,60
"Arkansas State",234,225,167,81,0.847457938765308,0.152542061234692,0.523221554895086,0.476778445104913,0.975,0.454633137397217,0.467458148821748,0.373033896550059,103,0.492017909048874,75
"Army",270,207,6,44,0.00881838102237209,0.991181618977628,0.65242517728184,0.34757482271816,1.00931274900398,0.415305408829956,0.401597337185003,0.211298335106227,123,0.574113136930122,51
"Auburn",320,157,198,117,0.776752481263992,0.223247518736008,0.84391067331412,0.15608932668588,1.025,0.570021102436131,0.570770965071542,0.847567717579463,16,0.771685706497425,6
"Ball State",285,303,162,211,0.348349869397219,0.651650130602781,0.463776725014034,0.536223274985966,0.984925005858917,0.413842724450079,0.406812470649071,0.205283035265303,124,0.43808345408029,92
"Baylor",342,245,209,215,0.483236298148659,0.516763701851341,0.687942863811705,0.312057136188295,1.0199203187251,0.444059157952311,0.425302603254919,0.329548331415208,111,0.612356192171119,37
"Boise State",365,220,223,131,0.779160255262051,0.220839744737949,0.768499778270481,0.231500221729519,0.982557525002033,0.485877813103654,0.485625724844735,0.501527846025638,72,0.662448563494957,22
"Boston College",182,281,79,261,0.0556023445019972,0.944397655498003,0.263199528283804,0.736800471716196,1.00947282299374,0.503350749744731,0.513074309841539,0.573385421346414,59,0.349773371205283,112
"Bowling Green",229,434,168,213,0.36297665056156,0.63702334943844,0.180170259180288,0.819829740819712,0.984925005858917,0.528654168676905,0.580429055113153,0.677445910383924,39,0.308862492555168,122
"Buffalo",179,323,123,208,0.223551530882451,0.77644846911755,0.197985697788445,0.802014302211555,0.984925005858917,0.436648956292843,0.452745925051036,0.299073824763841,114,0.278640970664009,127
"BYU",281,214,0,0,0.75,0.75,0.656004124934004,0.343995875065996,1.00931274900398,0.508847172604906,0.498829885293004,0.595989499171623,54,0.609234005400203,41
"California",378,456,237,337,0.302737890530062,0.697262109469938,0.390643354322874,0.609356645677126,1.02160816194681,0.573831508224966,0.60377629538009,0.863238038293056,11,0.471663889907787,85
"Central Michigan",284,293,126,193,0.266864866718488,0.733135133281512,0.481523382361969,0.518476617638031,0.984925005858917,0.477278389952208,0.491658641353595,0.466162657590879,82,0.477591910201304,80
"Charlotte",257,344,157,175,0.43604224889277,0.56395775110723,0.333808340935825,0.666191659064175,0.982247931351517,0.447342869589311,0.45282304335249,0.343052618710148,107,0.366849867435158,108
"Cincinnati",188,249,92,182,0.16563879548575,0.83436120451425,0.33939400189792,0.660605998102081,0.995521759117377,0.480874190841806,0.510989296059458,0.480950414140934,79,0.394816396836623,104
"Clemson",389,184,281,147,0.822820588383781,0.177179411616219,0.854989780730116,0.145010219269884,1.00947282299374,0.52278941867433,0.545061856678045,0.653327084584666,45,0.758801008778617,8
"Colorado",372,189,244,130,0.816413054192923,0.183586945807077,0.832693477884612,0.167306522115388,1.02160816194681,0.51799090185927,0.484825121498964,0.633593150298227,48,0.732224736017927,10
"Colorado State",297,272,196,162,0.611002569858898,0.388997430141102,0.551910837729654,0.448089162270346,0.982557525002033,0.484559372299551,0.518088515077299,0.496105748908652,74,0.531206687529741,64
"Connecticut",165,269,80,179,0.12912683187737,0.87087316812263,0.238962645768949,0.761037354231051,0.995521759117377,0.493155124393941,0.498439373716758,0.531455840095347,62,0.323997423031454,117
