"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Air Force",6.15120266957557,10,0.615120266957557,172,344,262,6.53610954367709,3.46389045632291,1.41736339605795,49
"Akron",5.94129725343228,11,0.540117932130207,130,326,394,4.77417069844345,6.22582930155655,0.987241971477779,102
"Alabama",3.30420966430213,10,0.330420966430213,19,412,122,9.12433188781259,0.875668112187405,2.2197071654124,1
"Appalachian State",5.23676628222672,10,0.523676628222672,119,270,180,6.98436871392705,3.01563128607295,1.59845886884283,23
"Arizona",3.50183836897679,10,0.350183836897679,23,224,383,2.9946640018865,7.0053359981135,0.974010717759715,104
"Arizona State",4.21905139780473,10,0.421905139780473,54,347,378,4.47460139027736,5.52539860972264,1.19827689255509,73
"Arkansas",3.84297144194208,10,0.384297144194208,41,288,299,5.02533200262834,4.97466799737166,1.34603101061155,56
"Arkansas State",4.96465671460697,9,0.551628523845219,143,234,225,4.74983554301869,4.25016445698131,1.30973687935904,59
"Army",6.38354572685323,10,0.638354572685323,188,270,207,5.2865896240609,4.7134103759391,1.14422510640695,80
"Auburn",3.86024115956638,10,0.386024115956638,42,320,157,6.60319412514461,3.39680587485539,1.65987646335238,17
"Ball State",6.29457565028655,10,0.629457565028655,183,285,303,4.80321237244842,5.19678762755158,1.05644666374112,94
"Baylor",5.26997427001882,9,0.585552696668758,160,342,245,5.87333044195038,3.12666955804962,1.52547823963143,34
"Boise State",5.06200176368935,10,0.506200176368935,107,365,220,7.26039528443558,2.73960471556442,1.67114063479828,15
"Boston College",4.76340360581683,10,0.476340360581683,88,182,281,4.38006626498298,5.61993373501702,1.12493464669501,84
"Bowling Green",4.73801025234035,10,0.473801025234035,85,229,434,2.96425005331073,7.03574994668927,0.844310739708205,117
"Buffalo",6.0240429803539,10,0.60240429803539,165,179,323,2.60934618782759,7.39065381217241,0.644726693810222,128
"BYU",4.70094649970913,10,0.470094649970913,82,281,214,6.37565228750721,3.62434771249279,1.53029756181062,31
"California",3.74590970615095,10,0.374590970615095,34,378,456,4.14852564410301,5.85147435589699,1.1803759124856,76
"Central Michigan",5.42103231832532,10,0.542103231832532,133,284,293,4.69920359909149,5.30079640090851,1.12299924226586,85
"Charlotte",6.09432626178769,10,0.609432626178769,171,257,344,4.14240003031964,5.85759996968036,0.944309134165254,106
"Cincinnati",5.21795959106646,10,0.521795959106646,117,188,249,3.68876745395515,6.31123254604485,0.941219285964478,107
"Clemson",4.00061185461341,10,0.400061185461341,45,389,184,7.60074332875656,2.39925667124344,1.84534923457007,5
"Colorado",4.98532357227277,11,0.453211233842979,72,372,189,8.39587826896441,2.6041217310356,1.73264095531427,11
"Colorado State",5.16729441411084,10,0.516729441411084,114,297,272,5.43192921136689,4.56807078863311,1.29491815514239,62
"Connecticut",5.04699779409894,10,0.504699779409894,106,165,269,3.46803230921143,6.53196769078857,0.914168436712487,109
"Duke",4.6749935277657,10,0.46749935277657,81,245,242,4.64517843905015,5.35482156094985,1.18679808931355,75
"East Carolina",5.09111391590639,10,0.509111391590639,111,283,330,4.02569006799176,5.97430993200824,1.02128837628781,98
"Eastern Michigan",5.37025769139834,10,0.537025769139834,127,315,312,4.96036730083244,5.03963269916756,1.18030944530675,77
"Florida",4.83517555778392,9,0.537241728642658,128,236,120,6.92456476499196,2.07543523500804,1.8073968350001,7
"Florida Atlantic",6.44127443343411,10,0.644127443343411,189,237,358,3.65156579936471,6.34843420063529,0.811447470809626,120
"Florida International",5.60123144235378,10,0.560123144235378,151,229,362,2.98321031141372,7.01678968858628,0.76178067232746,122
"Florida State",3.77698100967072,10,0.377698100967072,37,347,266,6.41898870006867,3.58101129993133,1.63136139332676,20
"Fresno State",4.99172437626773,10,0.499172437626773,102,185,341,2.48870283054681,7.51129716945319,0.723829882762683,125
"Georgia",4.31421141424751,10,0.431421141424751,57,226,240,5.04920768000559,4.95079231999441,1.30368214885646,61
"Georgia Southern",5.52053383587707,10,0.552053383587707,144,267,264,4.80708374651134,5.19291625348866,1.13462511999466,82
"Georgia State",5.37580723423889,10,0.537580723423889,129,197,258,3.54086909676884,6.45913090323116,0.895854850209973,112
"Georgia Tech",4.7875283276156,10,0.47875283276156,89,275,256,5.36193840826017,4.63806159173983,1.31889660317057,58
"Hawaii",5.82472901592958,11,0.529520819629961,124,284,434,4.22932127566173,6.77067872433827,0.898775552563167,111
"Houston",5.73201617433502,10,0.573201617433502,155,376,213,7.09770834932508,2.90229165067492,1.57160180671161,27
"Idaho",5.24574341746121,10,0.524574341746121,122,264,314,4.6350727617077,5.3649272382923,1.12770196487551,83
"Illinois",4.32922146456567,10,0.432922146456567,59,215,313,3.48592990177205,6.51407009822795,0.989525588177938,101
"Indiana",4.51493747335489,10,0.451493747335489,71,275,284,4.84063296578444,5.15936703421556,1.24189460010149,64
"Iowa",4.00844925755532,10,0.400844925755532,46,253,205,5.84799311011344,4.15200688988656,1.49401545054725,38
"Iowa State",4.65123971524917,10,0.465123971524917,80,247,317,3.71543105518396,6.28456894481604,1.00322399379197,100
"Kansas",4.60072823038162,10,0.460072823038162,77,200,393,2.38550238277374,7.61449761722626,0.74228940779668,123
"Kansas State",4.38177202864824,9,0.486863558738693,94,280,216,4.92925743842803,4.07074256157197,1.41437337677875,50
"Kent State",4.90490241546325,10,0.490490241546325,96,219,271,4.24012942431994,5.75987057568006,1.08279739759776,88
"Kentucky",4.6434222258585,10,0.46434222258585,78,282,323,4.68168427963921,5.31831572036079,1.19725638762209,74
"Louisiana-Lafayette",5.61308414639556,9,0.623676016266173,179,211,244,4.02269281135569,4.97730718864431,1.0761021132352,90
"Louisiana-Monroe",6.03242393045721,10,0.603242393045721,167,260,397,3.77837987020536,6.22162012979464,0.877695335275446,114
"Louisiana Tech",7.23907074857307,11,0.65809734077937,192,504,328,7.8375640708648,3.1624359291352,1.42624317599613,47
"Louisville",4.99218399827279,10,0.499218399827279,103,496,203,8.3869627774084,1.6130372225916,1.9034359099345,4
"LSU",3.73929405461401,9,0.415477117179334,52,247,125,5.94776930761796,3.05223069238204,1.71209578926921,12
"Marshall",5.75600243797562,10,0.575600243797562,156,297,332,4.08512627034814,5.91487372965186,0.96668676455216,105
"Maryland",4.58509473138784,10,0.458509473138784,74,267,307,4.83765403310548,5.16234596689452,1.23428308776241,66
"Massachusetts",5.31301251761923,10,0.531301251761923,125,231,329,3.38732246371397,6.61267753628603,0.871424995260966,115
"Memphis",5.4388261272974,10,0.54388261272974,134,392,273,6.31147216884611,3.68852783115389,1.44367357531958,44
"Miami (FL)",4.74511588609712,10,0.474511588609712,87,348,193,6.69144238061372,3.30855761938628,1.58903864179313,25
"Miami (OH)",6.03384133444907,11,0.54853103040446,140,260,272,5.1640531456545,5.8359468543455,1.04971659087826,96
"Michigan",4.39876330439626,10,0.439876330439626,65,445,110,8.64598554222142,1.35401445777858,2.01458253228475,2
"Michigan State",4.58871701664973,10,0.458871701664973,75,261,271,4.37659022836303,5.62340977163697,1.14170809828773,81
"Middle Tennessee",6.3400234726337,10,0.63400234726337,186,366,326,5.41362377499235,4.58637622500765,1.17398416201519,78
"Minnesota",5.45304281807258,10,0.545304281807258,136,318,232,6.10439199668206,3.89560800331794,1.40083587180925,52
"Mississippi State",4.39764073322986,10,0.439764073322986,64,281,319,4.58127009115241,5.41872990884759,1.20175169918759,72
"Missouri",4.99670586590664,10,0.499670586590664,105,312,291,4.28324098391687,5.71675901608313,1.0822393644728,89
"Navy",4.48311437916754,9,0.498123819907505,101,318,269,5.18900008521205,3.81099991478795,1.46083370378417,41
"Nebraska",4.45594479432508,10,0.445594479432508,67,283,226,6.56170380158876,3.43829619841124,1.59200803516534,24
"Nevada",6.33488273591555,10,0.633488273591555,185,222,301,3.57535416222113,6.42464583777887,0.806844313132765,121
"New Mexico",6.71962721641846,10,0.671962721641846,195,367,305,5.84028475439429,4.15971524560571,1.22135598351711,67
"New Mexico State",4.59745238328019,9,0.510828042586688,112,213,384,2.35961596341799,6.640384036582,0.819377454039638,119
"North Carolina",4.94970438204911,10,0.494970438204911,99,335,264,6.0608446267153,3.9391553732847,1.44246024141824,45
"North Carolina State",4.64669902526302,10,0.464669902526302,79,269,231,5.85528594161602,4.14471405838398,1.431649040077,46
"North Texas",5.82631736996945,10,0.582631736996945,158,238,311,3.83687763210232,6.16312236789768,0.910005543703614,110
"Northern Illinois",4.44999370053579,10,0.444999370053579,66,304,319,4.66912199175266,5.33087800824734,1.21408678257705,69
"Northwestern",3.60619136897378,10,0.360619136897378,26,253,215,5.27083039970166,4.72916960029834,1.41880869732305,48
"Notre Dame",4.8783991127094,10,0.48783991127094,95,313,255,5.26766180060213,4.73233819939787,1.29095420312958,63
"Ohio",6.50654234938327,10,0.650654234938327,191,293,230,6.43912649615191,3.56087350384809,1.36243281857215,54
"Ohio State",3.81993304338309,10,0.381993304338309,40,465,127,8.35620857868022,1.64379142131978,2.01451016567783,3
"Oklahoma",4.71543256047564,10,0.471543256047564,84,442,308,6.52102984647027,3.47897015352973,1.55792446752658,28
"Oklahoma State",5.55694855259372,10,0.555694855259372,145,413,293,6.46587229578338,3.53412770421662,1.4627413581774,40
"Old Dominion",6.0689251606018,10,0.60689251606018,170,348,282,6.10144581814315,3.89855418185685,1.33865840184854,57
"Ole Miss",3.7137505334107,10,0.37137505334107,32,354,315,5.56563764065751,4.43436235934249,1.46701422907053,39
"Oregon",3.77242504874689,10,0.377242504874689,36,371,435,4.31919172734773,5.68080827265226,1.21185759487495,70
"Oregon State",3.43842527760039,10,0.343842527760039,22,238,325,3.45787317468757,6.54212682531243,1.07299386145757,93
"Penn State",3.75642246647245,10,0.375642246647245,35,355,261,6.60952038202423,3.39047961797577,1.6715235840377,14
"Pittsburgh",4.29528385405881,10,0.429528385405881,56,376,352,5.56201356164749,4.43798643835251,1.40813608120371,51
"Purdue",4.92873491894412,10,0.492873491894412,98,251,384,3.31554870360307,6.68445129639693,0.895498003106296,113
"Rice",5.94984002696993,10,0.594984002696993,163,242,383,2.84382136875632,7.15617863124368,0.699042025334366,127
"Rutgers",4.20357053553923,10,0.420357053553923,53,175,380,2.72065343780579,7.27934656219421,0.849035388287329,116
"San Diego State",7.25261754280094,10,0.725261754280094,203,368,152,8.30086887796603,1.69913112203397,1.66017377559321,16
"San Jose State",5.44843406815213,10,0.544843406815213,135,239,361,3.21950618444724,6.78049381555276,0.824319584354329,118
"SMU",5.1277424565302,10,0.51277424565302,113,274,325,4.52226407696591,5.47773592303409,1.11694032402026,86
"South Alabama",4.82060023828824,9,0.535622248698694,126,212,233,3.79727817331573,5.20272182668427,1.11406373901602,87
"South Carolina",4.80031097626271,10,0.480031097626271,91,180,211,4.04579160109113,5.95420839890887,1.05438897687205,95
"South Florida",5.59450085137727,10,0.559450085137727,150,440,314,6.80783194499369,3.19216805500631,1.52737805814111,32
"Southern Miss",5.96529409961727,10,0.596529409961727,164,337,310,5.37581495651914,4.62418504348086,1.2038953356222,71
"Stanford",3.67675401775044,10,0.367675401775044,31,231,194,6.12931634477463,3.87068365522537,1.58344962145998,26
"Syracuse",4.34217727292219,10,0.434217727292219,62,233,342,3.92266957967678,6.07733042032322,1.07557794292323,91
"TCU",4.86276915572234,9,0.540307683969148,131,337,263,5.35743813040867,3.64256186959133,1.45608051643288,42
"Temple",5.48420710941969,10,0.548420710941969,139,325,204,6.79776151307765,3.20223848692235,1.53639334595366,30
"Tennessee",4.01061715944768,10,0.401061715944768,47,338,269,6.01423469483514,3.98576530516486,1.52704697730235,33
"Texas",4.5483912243814,10,0.45483912243814,73,353,323,5.53519923526376,4.46480076473624,1.37746247889471,53
"Texas A&M",4.45870377281689,10,0.445870377281689,68,363,222,6.62238670359224,3.37761329640776,1.60386871771685,22
"Texas State",5.0343550204368,9,0.559372780048533,149,192,367,2.12826185693723,6.87173814306277,0.7194206929154,126
"Texas Tech",4.74100767750405,10,0.474100767750405,86,460,421,5.29139941767971,4.70860058232029,1.30944087006563,60
"Toledo",6.03173055150642,10,0.603173055150642,166,394,229,7.51461069712684,2.48538930287316,1.62501083855482,21
"Troy",5.62942512069427,9,0.625491680077142,181,343,194,6.56467861541241,2.43532138458759,1.63917218365906,19
"Tulane",5.21300009133352,10,0.521300009133352,116,251,288,3.58745023351697,6.41254976648303,0.921451791850137,108
"Tulsa",5.46310372679141,10,0.546310372679141,138,422,321,6.33919781412236,3.66080218587764,1.44679094442543,43
"UCF",5.63111822803192,10,0.563111822803192,152,310,206,6.66550387177684,3.33449612822316,1.49525070583227,37
"UCLA",4.03918658428882,11,0.367198780389893,30,285,278,5.10394187901526,5.89605812098474,1.2201195196857,68
"UNLV",6.04197918812006,10,0.604197918812006,168,344,354,4.28092247013088,5.71907752986912,0.977248329494264,103
"USC",3.5420764934802,10,0.35420764934802,24,314,225,6.44305444432969,3.55694555567031,1.65966499379801,18
"Utah",5.08249108994123,10,0.508249108994123,110,312,230,6.50692209661129,3.49307790338872,1.51839706460823,36
"Utah State",4.71261498183984,10,0.471261498183984,83,240,286,4.1061939341495,5.8938060658505,1.07523904292601,92
"UTEP",5.32710619993414,9,0.591900688881571,162,198,341,2.36150615833809,6.63849384166191,0.738724851060332,124
"UTSA",6.17025797055707,10,0.617025797055707,174,316,303,5.30551720657577,4.69448279342423,1.16933939853954,79
"Vanderbilt",4.95402601079982,10,0.495402601079982,100,199,220,4.06819589158796,5.93180410841204,1.0434983315177,97
"Virginia",3.99305872542106,10,0.399305872542106,44,243,322,3.42017407862355,6.57982592137645,1.0099906974627,99
"Virginia Tech",5.06615768507152,10,0.506615768507152,108,334,212,6.51388354911823,3.48611645088177,1.52142269559659,35
"Wake Forest",5.22850414166301,10,0.522850414166301,118,204,210,5.18742120678162,4.81257879321838,1.23989558147012,65
"Washington",5.24221003438697,10,0.524221003438697,120,448,179,8.08007082284902,1.91992917715098,1.8170549154112,6
"Washington State",4.28539615768359,10,0.428539615768359,55,443,243,7.24700510858902,2.75299489141098,1.74612316022954,10
"West Virginia",4.74388654703194,9,0.527098505225771,123,290,185,6.31737367298837,2.68262632701163,1.68260870463842,13
"Western Kentucky",5.56313661595289,10,0.556313661595289,146,418,260,6.85485895049891,3.14514104950109,1.53991988278459,29
"Western Michigan",6.20026774048348,10,0.620026774048348,177,444,195,8.27531714671059,1.72468285328941,1.76029840957387,9
"Wisconsin",3.81037487244995,10,0.381037487244995,38,262,127,7.14050057417681,2.8594994258232,1.77232438187046,8
"Wyoming",5.49669862468367,10,0.549669862468367,142,389,337,5.92633570536168,4.07366429463832,1.36085903288406,55
