Team,WinScore,LossScore,WinRank,LossRank,Score,Rank
Alabama,430.1656002,15.35650249,1,1.5,428.5003953,1
Clemson,299.4529388,20.07128349,2,13,285.0211631,2
Michigan,256.9440623,20.57695022,3,14,241.40215,3
Ohio State,212.8884567,17.7467242,5,5,207.3377737,4
Pittsburgh,252.2225035,34.03345087,4,50,196.7156738,5
Penn State,205.6503132,22.13479713,6,15,188.9982643,6
Western Michigan,161.9148208,15.35650249,7,1.5,160.2496159,7
Louisville,125.9192349,17.31165488,13,3,122.5888251,8
Washington,123.6163493,18.10083472,14,6,116.9555297,9
Wisconsin,116.8164766,19.13898695,15,8,107.9353839,10
Boise State,116.6949607,20.00394096,16,11,104.4834582,11
Oklahoma State,150.5443973,33.3547282,9,47,98.36797735,12
Tennessee,134.1934625,28.0862746,12,33,97.55895484,13
USC,113.1088049,22.54640282,17,18,93.12634621,14
Iowa,151.29291,37.74347632,8,55,90.23539721,15
Virginia Tech,143.1885981,33.80004156,10,49,88.79190489,16
West Virginia,92.17513221,19.03767104,22,7,84.40417605,17
Troy,82.51371587,17.41957498,26,4,78.07316949,18
Florida State,100.8995154,23.9437127,19,23,75.36637366,19
North Carolina,141.5146029,39.48087738,11,61,73.79627058,20
Nebraska,74.17781234,19.21398035,35,9,64.18658298,21
Oklahoma,74.65208744,19.77091181,34,10,63.55072149,22
Navy,85.29267827,23.56119321,24,22,60.86967318,23
South Florida,82.45621419,23.26543422,27,21,59.14334569,24
Texas A&M,105.0094934,31.75434532,18,43,57.27361983,25
Houston,78.22354172,24.43311189,29,24,51.58026343,26
Auburn,80.43818667,26.68705168,28,29,48.24422541,27
Florida,69.12780426,22.81251043,37,20,46.92507235,28
Colorado,60.16213402,20.02721588,47,12,46.84049487,29
Stanford,63.67148483,22.33888865,41,16,45.9092993,30
Baylor,83.99019798,29.72096778,25,37,42.91514395,31
LSU,61.1769343,22.4495919,44,17,42.30461218,32
Utah,76.715004,27.25447982,31,31,42.30076954,33
Arkansas,75.53434412,27.38882512,33,32,40.00997307,34
Wyoming,100.3063532,38.62760271,20,58,35.91843063,35
Miami (FL),100.1045655,41.07200219,21,64,29.05582344,36
San Diego State,65.90564927,28.33015944,39,34,28.16100503,37
Georgia,91.42715838,38.44216216,23,57,28.14937245,38
Ole Miss,73.06035607,30.73752779,36,41,27.54475566,39
Toledo,60.62943289,26.92540482,46,30,27.32533502,40
Tulsa,45.8019412,22.7590248,62,19,24.70934589,41
Georgia Tech,75.65170221,33.03939875,32,46,24.58541883,42
Washington State,63.07516997,28.89105442,42,35,24.22038913,43
Appalachian State,45.03952533,26.55159163,64,27,15.06583726,44
Idaho,36.36383779,25.74909543,74,26,7.500286316,45
Memphis,46.26405881,29.00124393,60,36,6.299141376,46
Minnesota,33.86646423,25.25747643,78,25,6.113049342,47
BYU,48.74945,30.72534457,55,40,4.343986184,48
Kansas State,30.76335458,26.67848865,82,28,-0.320470092,49
Temple,68.1276234,41.02547059,38,63,-1.810982103,50
Northwestern,55.89282981,35.20790347,49,52,-1.83427315,51
