"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",63,68,43.5,111,70
"Akron",86,115,87.5,94,105
"Alabama",7,1,6,4,1
"Appalachian State",94,27,43.5,100,60
"Arizona",53,97,131.5,24,82
"Arizona State",32,95,78.5,44,67
"Arkansas",40,64,61,5,41
"Arkansas State",89,54,69,91,75
"Army",107,66,78.5,128,96.5
"Auburn",31,7,43.5,15,11
"Ball State",99,101,98,118,108
"Baylor",48,75,53.5,89,62
"Boise State",44,37,15,65,27
"Boston College",110,46,98,76,84
"Bowling Green",96,119,131.5,66,117
"Buffalo",126,116,131.5,103,127
"BYU",62,20,61,80,38
"California",14,108,98,13,64
"Central Michigan",92,87,78.5,88,93
"Charlotte",123,117,98,107,122
"Cincinnati",111,51,98,62,85
"Clemson",9,13,15,53,4.5
"Colorado",25,6,21,38,7
"Colorado State",50,62,78.5,64,59
"Connecticut",125,61,115.5,87,104
"Duke",84,49,98,20,72
"East Carolina",77,111,115.5,68,102
"Eastern Michigan",91,92,61,92,90
"Florida",82,9,32.5,39,31
"Florida Atlantic",108,126,115.5,109,123
"Florida International",121,107,115.5,93,120
"Florida State",22,32,43.5,33,15
"Fresno State",127,93,137.5,96,121
"Georgia",76,33,61,31,48
"Georgia Southern",102,88,98,105,103
"Georgia State",118,84,131.5,90,113
"Georgia Tech",55,41,61,52,43
"Hawaii",98,109,106.5,106,111
"Houston",27,35,26.5,75,21
"Idaho",87,102,61,98,95
"Illinois",88,70,115.5,26,83
"Indiana",65,43,78.5,43,55
"Iowa",46,11,61,45,23
"Iowa State",67,63,131.5,25,76
"Kansas",112,99,137.5,29,112
"Kansas State",56,36,69,59,44
"Kent State",116,74,115.5,95,107
"Kentucky",49,73,78.5,32,61
"Louisiana-Lafayette",105,91,89.5,115,106
"Louisiana-Monroe",97,127,98,86,116
"Louisiana Tech",36,90,34,124,63
"Louisville",4,42,15,61,12
"LSU",39,5,53.5,2,13
"Marshall",124,113,115.5,99,124
"Maryland",74,52,78.5,50,69
"Massachusetts",93,120,131.5,83,118
"Memphis",21,47,61,84,34.5
"Miami (FL)",43,15,61,46,24
"Miami (OH)",100,71,87.5,114,94
"Michigan",2,3,15,17,3
"Michigan State",52,38,115.5,16,50.5
"Middle Tennessee",45,123,61,119,87
"Minnesota",47,23,43.5,58,28
"Mississippi State",33,67,98,11,50.5
"Missouri",60,89,115.5,35,78
"Navy",13,65,32.5,69,30
"Nebraska",66,19,26.5,34,29
"Nevada",113,85,115.5,123,110
"New Mexico",54,106,43.5,125,77
"New Mexico State",101,125,125,67,119
"North Carolina",38,39,43.5,97,36
"North Carolina State",80,25,78.5,37,53
"North Texas",120,104,98,78,114
"Northern Illinois",78,79,115.5,73,88
"Northwestern",37,17,78.5,10,22
"Notre Dame",30,53,98,14,40
"Ohio",109,59,43.5,126,80.5
"Ohio State",1,2,15,8,2
"Oklahoma",5,56,26.5,19,14
"Oklahoma State",24,48,26.5,71,26
"Old Dominion",73,96,43.5,122,80.5
"Ole Miss",18,77,78.5,1,39
"Oregon",17,103,115.5,21,71
"Oregon State",59,44,131.5,23,65
"Penn State",15,14,26.5,22,6
"Pittsburgh",3,100,61,36,45
"Purdue",69,114,115.5,55,98
"Rice",122,118,131.5,101,125
"Rutgers",106,86,131.5,9,101
"San Diego State",57,50,15,127,47
"San Jose State",117,98,115.5,82,115
"SMU",75,94,78.5,40,79
"South Alabama",115,69,89.5,121,100
"South Carolina",114,30,78.5,49,74
"South Florida",10,76,26.5,81,34.5
"Southern Miss",79,110,78.5,108,99
"Stanford",68,8,43.5,18,25
"Syracuse",70,105,98,41,89
"TCU",64,31,69,60,46
"Temple",51,29,43.5,112,37
"Tennessee",12,82,43.5,12,32
"Texas",61,57,78.5,27,57
"Texas A&M",26,34,43.5,42,18.5
"Texas State",128,128,125,110,128
"Texas Tech",11,121,98,51,73
"Toledo",29,81,26.5,102,49
"Troy",71,55,19.5,117,58
"Tulane",104,58,115.5,79,92
"Tulsa",16,83,43.5,70,42
"UCF",58,45,61,85,54
"UCLA",72,26,106.5,3,52
"UNLV",81,122,98,116,109
"USC",23,12,43.5,7,10
"Utah",41,24,26.5,56,18.5
"Utah State",95,78,115.5,54,96.5
"UTEP",119,124,125,104,126
"UTSA",90,80,78.5,113,91
"Vanderbilt",85,18,98,30,56
"Virginia",83,72,131.5,28,86
"Virginia Tech",34,16,43.5,72,17
"Wake Forest",103,28,61,57,66
"Washington",6,10,15,77,4.5
"Washington State",8,22,26.5,47,9
"West Virginia",42,21,19.5,48,16
"Western Kentucky",19,60,43.5,74,33
"Western Michigan",20,40,6,120,20
"Wisconsin",35,4,26.5,6,8
"Wyoming",28,112,43.5,63,68
