Team,Previous.Score,Score,Rank
Alabama,55.59300023,55.59300023,1
Ohio State,50.8589177,50.8589177,2
Michigan,49.22211296,49.22211296,3
Washington,47.02481921,47.02481921,4
Clemson,44.54311608,44.54311608,5
Louisville,42.49110422,42.49110422,6
Western Michigan,41.59078283,41.59078283,7
Wisconsin,41.07164631,41.07164631,8
Auburn,40.57756563,40.57756563,9
LSU,40.33296049,40.33296049,10
Penn State,39.38581547,39.38581547,11
Colorado,38.70397853,38.70397853,12
Oklahoma,38.12866266,38.12866266,13
USC,37.831172,37.831172,14
Western Kentucky,37.82820457,37.82820457,15
Washington State,36.73386516,36.73386516,16
Miami (FL),35.82706194,35.82706194,17
Florida State,35.5335796,35.5335796,18
Houston,34.51517134,34.51517134,19
Virginia Tech,34.44464053,34.44464053,20
Iowa,33.97139666,33.97139666,21
Texas A&M,33.45524414,33.45524414,22
Boise State,33.41117321,33.41117321,23
Temple,33.11145372,33.11145372,24
South Florida,32.83049399,32.83049399,25
Navy,32.72500177,32.72500177,26
West Virginia,32.71150563,32.71150563,27
Toledo,32.62005435,32.62005435,28
Memphis,32.38630051,32.38630051,29
Florida,32.01597186,32.01597186,30
Oklahoma State,31.77190657,31.77190657,31
Stanford,31.58664338,31.58664338,32
BYU,31.26164245,31.26164245,33
Tulsa,31.21854155,31.21854155,34
Pittsburgh,31.06325279,31.06325279,35
Tennessee,29.9297918,29.9297918,36
Northwestern,29.90873221,29.90873221,37
San Diego State,29.53011159,29.53011159,38
Appalachian State,29.39199093,29.39199093,39
Louisiana Tech,29.21992775,29.21992775,40
Troy,28.63922963,28.63922963,41
Minnesota,28.53584799,28.53584799,42
Nebraska,28.53479004,28.53479004,43
TCU,28.42191191,28.42191191,44
Kansas State,28.42131022,28.42131022,45
North Carolina,28.36576561,28.36576561,46
Utah,28.27406648,28.27406648,47
Notre Dame,27.81268728,27.81268728,48
Colorado State,27.57701652,27.57701652,49
Air Force,26.95862841,26.95862841,50
UCF,26.56759425,26.56759425,51
Ole Miss,26.18641595,26.18641595,52
North Carolina State,26.02367424,26.02367424,53
Georgia Tech,25.87592688,25.87592688,54
Arkansas,25.29684038,25.29684038,55
Vanderbilt,24.92332415,24.92332415,56
Mississippi State,24.07533413,24.07533413,57
Georgia,23.78273263,23.78273263,58
Arkansas State,23.67858648,23.67858648,59
Texas,23.55469622,23.55469622,60
Wyoming,23.20570323,23.20570323,61
Northern Illinois,23.04673777,23.04673777,62
Old Dominion,22.93947902,22.93947902,63
UCLA,22.68705954,22.68705954,64
Indiana,22.68330743,22.68330743,65
Baylor,22.53860422,22.53860422,66
Michigan State,22.42240109,22.42240109,67
Kentucky,22.29976852,22.29976852,68
Texas Tech,21.13994852,21.13994852,69
New Mexico,20.37140637,20.37140637,70
Ohio,20.30021809,20.30021809,71
Maryland,20.2926026,20.2926026,72
California,20.14950759,20.14950759,73
Oregon State,19.91523377,19.91523377,74
UTSA,19.59703275,19.59703275,75
Iowa State,19.5019595,19.5019595,76
Wake Forest,19.31179535,19.31179535,77
Oregon,19.15932195,19.15932195,78
Middle Tennessee,18.9216963,18.9216963,79
Miami (OH),18.45859638,18.45859638,80
Central Michigan,18.36624704,18.36624704,81
Duke,17.9145049,17.9145049,82
Missouri,17.82867374,17.82867374,83
Army,17.8182603,17.8182603,84
Eastern Michigan,17.64939164,17.64939164,85
Southern Miss,17.32205735,17.32205735,86
Arizona State,16.46866913,16.46866913,87
South Alabama,16.14219628,16.14219628,88
Tulane,15.97191665,15.97191665,89
South Carolina,15.57920552,15.57920552,90
Utah State,15.53729641,15.53729641,91
SMU,15.52926423,15.52926423,92
Idaho,15.35986911,15.35986911,93
Georgia Southern,15.01657484,15.01657484,94
Boston College,14.97058324,14.97058324,95
Ball State,14.50263047,14.50263047,96
Cincinnati,14.01554774,14.01554774,97
Louisiana-Lafayette,13.8329478,13.8329478,98
Virginia,13.62177586,13.62177586,99
Georgia State,13.29651441,13.29651441,100
Akron,13.24242424,13.24242424,101
Arizona,12.97867363,12.97867363,102
Kent State,12.95575069,12.95575069,103
Bowling Green,12.3856845,12.3856845,104
Syracuse,12.12587523,12.12587523,105
East Carolina,11.88203436,11.88203436,106
Nevada,11.81866781,11.81866781,107
Illinois,9.809528052,9.809528052,108
UNLV,9.550925195,9.550925195,109
North Texas,9.518225181,9.518225181,110
Hawaii,9.169741389,9.169741389,111
Purdue,7.74141657,7.74141657,112
Florida International,7.628904135,7.628904135,113
Charlotte,7.406895661,7.406895661,114
San Jose State,7.225435812,7.225435812,115
Connecticut,7.09392122,7.09392122,116
Rutgers,6.630876436,6.630876436,117
Marshall,6.395311587,6.395311587,118
Massachusetts,6.098189941,6.098189941,119
Rice,5.003287415,5.003287415,120
Florida Atlantic,4.944229224,4.944229224,121
Fresno State,4.877193776,4.877193776,122
UTEP,4.767179369,4.767179369,123
New Mexico State,4.647109124,4.647109124,124
Kansas,4.234208824,4.234208824,125
Louisiana-Monroe,3.707279968,3.707279968,126
Buffalo,2.473436899,2.473436899,127
Texas State,-5.798570813,-5.798570813,128
