"Team","Previous.Score","Score","Rank"
"Air Force",1727.51630114316,1727.51630114316,41
"Akron",1526.2784828666,1526.2784828666,88
"Alabama",2295.98435750923,2295.98435750923,1
"Appalachian State",1778.25719114932,1778.25719114932,28
"Arizona",1502.93679858428,1502.93679858428,92
"Arizona State",1533.16292461299,1533.16292461299,86
"Arkansas",1664.46873172307,1664.46873172307,53
"Arkansas State",1622.74274292544,1622.74274292544,64
"Army",1506.44328120719,1506.44328120719,91
"Auburn",1809.80579337071,1809.80579337071,19
"Ball State",1484.74007875528,1484.74007875528,99
"Baylor",1578.2231076681,1578.2231076681,76
"Boise State",1804.50273185925,1804.50273185925,20
"Boston College",1575.98450302462,1575.98450302462,77
"Bowling Green",1485.1024051854,1485.1024051854,98
"Buffalo",1311.1051135879,1311.1051135879,126
"BYU",1751.94113741572,1751.94113741572,36
"California",1612.78147253723,1612.78147253723,65
"Central Michigan",1527.02293680432,1527.02293680432,87
"Charlotte",1427.28440570649,1427.28440570649,108
"Cincinnati",1477.30180442125,1477.30180442125,101
"Clemson",1923.49845946428,1923.49845946428,6
"Colorado",1873.81941198346,1873.81941198346,10
"Colorado State",1708.08956846881,1708.08956846881,42
"Connecticut",1351.42294191847,1351.42294191847,120
"Duke",1495.9477771077,1495.9477771077,93
"East Carolina",1388.57540546945,1388.57540546945,115
"Eastern Michigan",1566.68159071446,1566.68159071446,79
"Florida",1754.575864597,1754.575864597,32
"Florida Atlantic",1396.18751740923,1396.18751740923,114
"Florida International",1413.66189563352,1413.66189563352,111
"Florida State",1840.99449121562,1840.99449121562,13
"Fresno State",1277.51244287349,1277.51244287349,127
"Georgia",1660.47341361979,1660.47341361979,55
"Georgia Southern",1480.24293319295,1480.24293319295,100
"Georgia State",1403.25524684488,1403.25524684488,113
"Georgia Tech",1673.91049452869,1673.91049452869,52
"Hawaii",1460.41600019445,1460.41600019445,105
"Houston",1816.35903380084,1816.35903380084,16
"Idaho",1569.81981041619,1569.81981041619,78
"Illinois",1415.187471629,1415.187471629,110
"Indiana",1587.78790633382,1587.78790633382,73
"Iowa",1790.14412097682,1790.14412097682,24
"Iowa State",1523.60920523097,1523.60920523097,90
"Kansas",1333.44865791666,1333.44865791666,124
"Kansas State",1682.53272226276,1682.53272226276,50
"Kent State",1462.53505549934,1462.53505549934,104
"Kentucky",1641.02215484547,1641.02215484547,60
"Louisiana-Lafayette",1492.49735665559,1492.49735665559,94
"Louisiana-Monroe",1473.47450868679,1473.47450868679,103
"Louisiana Tech",1662.07553024937,1662.07553024937,54
"Louisville",1842.29422786184,1842.29422786184,11
"LSU",1841.64995836087,1841.64995836087,12
"Marshall",1351.19038362904,1351.19038362904,121
"Maryland",1598.12441675991,1598.12441675991,70
"Massachusetts",1350.61967970497,1350.61967970497,123
"Memphis",1685.91555879664,1685.91555879664,48
"Miami (FL)",1827.39292967263,1827.39292967263,15
"Miami (OH)",1566.11048483793,1566.11048483793,81
"Michigan",2025.34605644969,2025.34605644969,3
"Michigan State",1491.54957904111,1491.54957904111,95
"Middle Tennessee",1600.73514169506,1600.73514169506,69
"Minnesota",1753.83464526472,1753.83464526472,34
"Mississippi State",1643.18456604886,1643.18456604886,59
"Missouri",1544.00465930644,1544.00465930644,83
"Navy",1752.69562322829,1752.69562322829,35
"Nebraska",1774.68053297988,1774.68053297988,30
"Nevada",1426.7256713643,1426.7256713643,109
"New Mexico",1643.86076330854,1643.86076330854,58
"New Mexico State",1358.01217868385,1358.01217868385,119
"North Carolina",1701.81575375659,1701.81575375659,45
"North Carolina State",1706.71000600992,1706.71000600992,43
"North Texas",1447.46247379354,1447.46247379354,107
"Northern Illinois",1601.5670056803,1601.5670056803,68
"Northwestern",1706.33791779436,1706.33791779436,44
"Notre Dame",1632.29802527918,1632.29802527918,61
"Ohio",1626.97254124535,1626.97254124535,62
"Ohio State",2021.94405874718,2021.94405874718,4
"Oklahoma",1831.99096390465,1831.99096390465,14
"Oklahoma State",1810.34532575004,1810.34532575004,18
"Old Dominion",1683.74785965224,1683.74785965224,49
"Ole Miss",1624.9693300531,1624.9693300531,63
"Oregon",1592.69509673787,1592.69509673787,71
"Oregon State",1585.76871443481,1585.76871443481,74
"Penn State",1887.92110942214,1887.92110942214,9
"Pittsburgh",1730.37450685915,1730.37450685915,38
"Purdue",1404.87692510198,1404.87692510198,112
"Rice",1350.95389434398,1350.95389434398,122
"Rutgers",1311.91419450854,1311.91419450854,125
"San Diego State",1695.61156194004,1695.61156194004,46
"San Jose State",1376.28708057644,1376.28708057644,116
"SMU",1539.83589592801,1539.83589592801,84
"South Alabama",1488.90648837856,1488.90648837856,96
"South Carolina",1534.3261475743,1534.3261475743,85
"South Florida",1783.72582752214,1783.72582752214,26
"Southern Miss",1553.43005448405,1553.43005448405,82
"Stanford",1812.86903010857,1812.86903010857,17
"Syracuse",1474.43839006202,1474.43839006202,102
"TCU",1678.6785034897,1678.6785034897,51
"Temple",1757.86116413819,1757.86116413819,31
"Tennessee",1794.07414350318,1794.07414350318,22
"Texas",1603.28558973988,1603.28558973988,67
"Texas A&M",1793.26643609704,1793.26643609704,23
"Texas State",1123.82703694069,1123.82703694069,128
"Texas Tech",1580.08994451135,1580.08994451135,75
"Toledo",1796.42616961368,1796.42616961368,21
"Troy",1729.53452883206,1729.53452883206,40
"Tulane",1486.17029801161,1486.17029801161,97
"Tulsa",1782.49770090904,1782.49770090904,27
"UCF",1644.500457684,1644.500457684,57
"UCLA",1606.23635549013,1606.23635549013,66
"UNLV",1374.89489908525,1374.89489908525,117
"USC",1888.36944359627,1888.36944359627,8
"Utah",1729.62616721902,1729.62616721902,39
"Utah State",1524.9767340174,1524.9767340174,89
"UTEP",1367.99483216703,1367.99483216703,118
"UTSA",1589.19952658991,1589.19952658991,72
"Vanderbilt",1646.73002112487,1646.73002112487,56
"Virginia",1453.72109968433,1453.72109968433,106
"Virginia Tech",1737.76246495268,1737.76246495268,37
"Wake Forest",1566.38994113401,1566.38994113401,80
"Washington",1946.42508339394,1946.42508339394,5
"Washington State",1787.11775028456,1787.11775028456,25
"West Virginia",1754.4178788528,1754.4178788528,33
