TEAM,Points.For,Points.Against,Conf.Points.For,Conf.Points.Against,CONF.W,CONF.L,OVERALL.W,OVERALL.L,ConferenceOffset,Adjusted.SoS,First.Pass.SoS,SoS.Score,SoS.Ranking,Value,Rank
Alabama,473,137,304,118,0.904030537,0.095969463,0.949631177,0.050368823,1.025,0.577010134,0.573003273,0.926604842,4,0.844690756,1
Michigan,492,150,333,105,0.939084149,0.060915851,0.943491107,0.056508893,1.020037706,0.559870532,0.564548907,0.844273919,17,0.833551394,2
Ohio State,512,170,342,133,0.903642973,0.096357027,0.931692743,0.068307257,1.020037706,0.569805706,0.574897244,0.891998017,8,0.829046774,3
Wisconsin,342,164,249,123,0.841773902,0.158226098,0.85091784,0.14908216,1.020037706,0.573588904,0.584026102,0.910170797,6,0.777221736,4
Clemson,480,204,316,160,0.833820151,0.166179849,0.883698366,0.116301634,1.009472823,0.512890847,0.528498332,0.618604696,53,0.772547891,5
Auburn,387,187,210,147,0.699584405,0.300415595,0.848609829,0.151390171,1.025,0.563426274,0.56222856,0.861354105,15,0.771978141,6
Washington,537,214,389,184,0.854989781,0.145010219,0.898480338,0.101519662,1.021608162,0.47944706,0.442147168,0.457955825,77,0.76249695,7
LSU,311,180,218,141,0.737437533,0.262562467,0.785161267,0.214838733,1.025,0.586416021,0.62202886,0.971786483,2,0.749053393,8
Colorado,437,235,309,176,0.791496851,0.208503149,0.813091431,0.186908569,1.021608162,0.53322545,0.518651629,0.716282964,38,0.730393474,9
Louisville,544,280,367,161,0.875749373,0.124250627,0.82836139,0.17163861,1.009472823,0.499074973,0.48618545,0.55223947,61,0.721069206,10
Miami (FL),415,227,235,174,0.670899596,0.329100404,0.80688395,0.19311605,1.009472823,0.521173071,0.514312928,0.658388766,46,0.71607992,11
Western Michigan,537,230,362,147,0.894341127,0.105658873,0.881797952,0.118202048,0.984925006,0.430903103,0.401808891,0.224772544,120,0.710920444,12
Penn State,439,273,333,191,0.788750421,0.211249579,0.75506583,0.24493417,1.020037706,0.554459183,0.562978037,0.818280241,22,0.704883353,13
Florida,265,161,196,123,0.751056482,0.248943518,0.765133191,0.234866809,1.025,0.532570201,0.518049285,0.713135439,39,0.699841186,14
Temple,393,214,267,132,0.841514317,0.158485683,0.808542226,0.191457774,0.995521759,0.451383705,0.4536758,0.323152123,112,0.687162297,15
USC,395,266,299,180,0.769012483,0.230987517,0.71850804,0.28149196,1.021608162,0.571626344,0.577783702,0.90074354,7,0.686111968,16
Western Kentucky,478,266,407,173,0.88366316,0.11633684,0.800447116,0.199552884,0.982247931,0.482957537,0.489478809,0.474818575,74,0.684421532,17
Oklahoma,498,336,392,241,0.760044196,0.239955804,0.717596135,0.282403865,1.019920319,0.556503838,0.56996868,0.828101842,19,0.681701465,18
Virginia Tech,420,253,272,147,0.811291766,0.188708234,0.768750735,0.231249265,1.009472823,0.487987895,0.465934551,0.498982145,72,0.674138072,19
Texas A&M,425,286,252,242,0.523972737,0.476027263,0.718847243,0.281152757,1.025,0.530975142,0.532190098,0.705473495,42,0.6730439,20
Iowa,321,215,213,168,0.637023349,0.362976651,0.721095738,0.278904262,1.020037706,0.526929777,0.535377539,0.686041385,45,0.67239832,21
Houston,456,271,241,189,0.640153009,0.359846991,0.774393245,0.225606755,0.995521759,0.481881589,0.469244675,0.469650205,75,0.669664645,22
Washington State,484,326,358,244,0.71270837,0.28729163,0.718411236,0.281588764,1.021608162,0.519875991,0.528129073,0.652158181,47,0.669136846,23
Florida State,423,293,240,203,0.597922449,0.402077551,0.704800416,0.295199584,1.009472823,0.53793486,0.567708643,0.738904846,33,0.665346726,24
Appalachian State,349,204,250,94,0.910377565,0.089622435,0.78118341,0.21881659,0.975,0.463513228,0.457336005,0.381416878,100,0.656403418,25
Oklahoma State,444,299,311,224,0.685185938,0.314814062,0.718503982,0.281496018,1.019920319,0.4880667,0.490469737,0.499360691,71,0.655291223,26
West Virginia,367,260,268,196,0.677325395,0.322674605,0.693576224,0.306423776,1.019920319,0.517552503,0.532804852,0.640997189,48,0.652734487,27
Boise State,427,272,285,183,0.740758994,0.259241006,0.74437382,0.25562618,0.982557525,0.495298245,0.502409913,0.534097768,65,0.652142279,28
BYU,360,233,51,9,0.983873041,0.016126959,0.737130148,0.262869852,1.009312749,0.478168906,0.448241583,0.45181615,80,0.646801886,29
San Diego State,432,249,290,139,0.851056891,0.148943109,0.786810381,0.213189619,0.982557525,0.400232843,0.378393666,0.077446441,127,0.639322155,30
Stanford,317,242,233,202,0.583793718,0.416206282,0.654711593,0.345288407,1.021608162,0.558335482,0.56077276,0.836900235,18,0.636869148,31
Toledo,466,303,285,218,0.653655398,0.346344602,0.735006336,0.264993664,0.984925006,0.460193662,0.465780613,0.365471183,102,0.635537071,32
Troy,386,236,216,127,0.778799901,0.221200099,0.76243087,0.23756913,0.975,0.441723514,0.426784364,0.27674892,117,0.634284984,33
Kansas State,356,256,245,223,0.555516372,0.444483628,0.686006601,0.313993399,1.019920319,0.505167719,0.488444311,0.581506271,59,0.63250614,34
Memphis,474,324,263,207,0.638177227,0.361822773,0.711298568,0.288701432,0.995521759,0.47595467,0.477987591,0.441179956,84,0.63069115,35
Tennessee,435,351,287,295,0.483716075,0.516283925,0.624456355,0.375543645,1.025,0.565501593,0.589695194,0.871323,12,0.628191034,36
Navy,459,331,28,27,0.521534499,0.478465501,0.684564457,0.315435543,1.009312749,0.489559717,0.485362175,0.506532467,69,0.6239205,37
