"Team","id","score","rank"
"Hawaii",1,16.8892442215164,59
"Appalachian State",2,11.8125319739682,67
"Indiana",3,3.31205303536186,115
"Oregon State",7,3.69826416653558,110
"Rice",8,2.21398069322238,126
"South Carolina",9,13.7442981872095,64
"Tulane",13,2.80209632850536,120
"Charlotte",17,4.04458485036694,106
"Ball State",19,2.61242815663857,121
"Colorado State",22,21.3892989837181,52
"Kansas State",24,18.6996321687069,54
"Toledo",27,18.0729718137312,55
"Army",28,15.8034216916801,61
"Boise State",33,38.9735407245878,30
"Bowling Green",34,4.12942789097473,104
"BYU",35,10.2906350904547,72
"Fresno State",36,2.35971170382811,124
"UCLA",38,5.9319111941925,94
"Clemson",39,135.119113263301,7
"Georgia Tech",44,46.6338471532944,24
"Georgia",45,29.3333656393879,41
"Kent State",47,4.67652992084565,99
"LSU",49,31.083608217763,38
"Louisiana Tech",50,9.26185345657717,76
"Massachusetts",51,1.95411164134183,128
"Miami (OH)",52,10.0763689426813,74
"Missouri",53,12.1801370292889,66
"New Mexico State",56,4.32709207565598,103
"Northern Illinois",59,4.72922867351417,98
"Oklahoma",61,56.9447691557202,20
"Rutgers",64,7.49724350641529,84
"San Jose State",65,2.8443996998035,119
"South Alabama",67,7.72209701887564,81
"USC",72,73.4750518741365,14
"SMU",74,29.1169933747774,42
"Southern Miss",75,9.08306936467058,78
"Texas State",77,3.7168078273164,109
"Western Michigan",83,75.3306734444307,13
"Notre Dame",85,24.0162728893864,49
"Ole Miss",86,24.2655976826549,48
"Louisville",87,68.969756591245,17
"Maryland",88,4.79211251846958,97
"Akron",89,5.9620696281302,92
"Arkansas State",90,10.9672636344708,70
"Arkansas",91,24.4482899939677,47
"Boston College",94,7.33913381094075,85
"California",96,9.90133655892976,75
"UCF",97,3.9605883985382,107
"Central Michigan",98,26.9063377574634,44
"Cincinnati",99,3.62967198276386,111
"Connecticut",100,2.14716675718415,127
"Eastern Michigan",102,13.8690807056776,63
"Florida Atlantic",103,2.85232535536008,118
"Georgia Southern",104,3.91167715623026,108
"Georgia State",105,2.56628145779706,122
"Idaho",108,7.11934735369563,88
"Iowa State",111,6.65588883220364,90
"Kentucky",113,21.5012170334409,51
"Middle Tennessee",115,7.71770153829313,82
"North Carolina",117,70.2515335923556,16
"UNLV",118,7.5996320194851,83
"Nevada",119,4.61414222736023,100
"New Mexico",120,32.750136862185,35
"North Carolina State",122,26.8124628504918,45
"Louisiana-Monroe",124,3.45704005865466,113
"Ohio",125,11.0181509345499,69
"Old Dominion",126,10.1248003998682,73
"Penn State",127,456.151136326616,2
"Texas Tech",130,17.5415320533967,56
"UTEP",131,3.44331200044278,114
"UTSA",132,7.91580633905267,80
"Troy",133,13.236723646606,65
"Tulsa",134,20.3239800044397,53
"Utah State",135,4.53843929337395,102
"Virginia Tech",136,122.794778399879,8
"Virginia",137,6.5790785619734,91
"Wake Forest",138,8.68188679682479,79
"Washington State",139,23.2982567066054,50
"Western Kentucky",140,11.7195828677912,68
"Wyoming",141,39.6484632210881,29
"Houston",149,66.5685618878212,18
"Alabama",150,326.269920781761,4
"Arizona State",151,7.22012198385179,86
"Baylor",152,49.5534805028906,22
"Colorado",153,42.6803409409597,26
"East Carolina",155,4.55013351720303,101
"Florida International",156,2.27942318109319,125
"Florida State",157,63.4653109814562,19
"Kansas",159,3.14105874765659,117
"Miami (FL)",160,99.6149226009777,9
"Michigan State",161,6.97026956983347,89
"Mississippi State",162,16.732045974095,60
"North Texas",165,7.1307497301893,87
"Ohio State",167,558.459481709593,1
"Oregon",168,5.95704073483565,93
"Pittsburgh",169,153.90927163237,5
"San Diego State",170,14.3163718358523,62
"South Florida",171,45.1591806368404,25
"Temple",172,29.5257184027894,40
"Texas A&M",173,35.1364388627822,32
"Navy",174,49.4501194089201,23
"Vanderbilt",175,27.1261835620137,43
"Buffalo",176,3.22937184630756,116
"Duke",177,10.6648781748128,71
"Texas",178,9.09906344153376,77
"Utah",179,17.2625342875252,58
"Florida",181,39.700969401554,28
"Iowa",182,135.531535004091,6
"Nebraska",183,35.2031535282996,31
"Oklahoma State",184,91.0126786233517,10
"Syracuse",186,32.5507314237512,36
"TCU",187,25.930168621851,46
"Wisconsin",190,79.0694822792605,12
"Louisiana-Lafayette",193,5.71930003457076,95
"Stanford",194,40.6954680806665,27
"Air Force",195,55.4832320439965,21
"Washington",196,84.0098205945558,11
"Illinois",198,3.50882898974567,112
"Marshall",199,4.06787649419058,105
"Memphis",200,32.3385271238648,37
"Minnesota",201,17.3897481551313,57
"Northwestern",202,30.6349903119011,39
"Purdue",203,2.47098132372848,123
"Tennessee",204,71.4255827422534,15
"Arizona",206,5.43405364195029,96
"Auburn",207,33.9291779435722,33
"Michigan",208,425.553180479265,3
"West Virginia",210,33.0697344629468,34
