"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",60,69,43.5,111,70
"Akron",86,115,87.5,94,105
"Alabama",7,1,6,4,1
"Appalachian State",94,27,43.5,100,59
"Arizona",53,97,131.5,24,82
"Arizona State",32,94,78.5,44,66
"Arkansas",40,65,61,5,41
"Arkansas State",92,53,69,91,75
"Army",105,59,78.5,128,90
"Auburn",31,6,43.5,15,11
"Ball State",99,101,98,118,108
"Baylor",47,74,53.5,89,62
"Boise State",44,36,15,65,26
"Boston College",110,45,98,76,84
"Bowling Green",97,119,131.5,66,117
"Buffalo",126,116,131.5,103,127
"BYU",63,20,61,80,38.5
"California",13,108,98,13,64
"Central Michigan",91,88,78.5,88,93
"Charlotte",123,117,98,107,122
"Cincinnati",112,51,98,62,85
"Clemson",10,13,15,53,5
"Colorado",25,7,21,38,7
"Colorado State",50,62,78.5,64,58
"Connecticut",125,63,115.5,87,104
"Duke",84,47,98,20,72
"East Carolina",77,112,115.5,68,103
"Eastern Michigan",90,92,61,92,91
"Florida",82,9,32.5,39,31
"Florida Atlantic",108,126,115.5,109,123
"Florida International",121,107,115.5,93,120
"Florida State",21,32,43.5,33,15
"Fresno State",127,93,137.5,96,121
"Georgia",76,34,61,31,48
"Georgia Southern",100,85,98,105,101
"Georgia State",120,87,131.5,90,116
"Georgia Tech",54,41,61,52,44
"Hawaii",98,109,106.5,106,111
"Houston",27,37,26.5,75,22
"Idaho",87,102,61,98,96
"Illinois",88,70,115.5,26,83
"Indiana",64,43,78.5,43,55
"Iowa",46,11,61,45,24
"Iowa State",68,64,131.5,25,76
"Kansas",113,100,137.5,29,112
"Kansas State",56,33,69,59,43
"Kent State",116,75,115.5,95,107
"Kentucky",49,73,78.5,32,61
"Louisiana-Lafayette",104,91,89.5,115,106
"Louisiana-Monroe",96,127,98,86,114
"Louisiana Tech",33,90,34,124,63
"Louisville",4,42,15,61,12
"LSU",39,5,53.5,2,13
"Marshall",124,113,115.5,99,124
"Maryland",74,52,78.5,50,69
"Massachusetts",93,120,131.5,83,118
"Memphis",22,48,61,84,34
"Miami (FL)",42,14,61,46,23
"Miami (OH)",101,71,87.5,114,97
"Michigan",2,3,15,17,3
"Michigan State",51,39,115.5,16,51
"Middle Tennessee",45,123,61,119,87
"Minnesota",48,23,43.5,58,29
"Mississippi State",35,68,98,11,53
"Missouri",61,89,115.5,35,78
"Navy",17,66,32.5,69,30
"Nebraska",65,18,26.5,34,28
"Nevada",114,84,115.5,123,110
"New Mexico",55,106,43.5,125,77
"New Mexico State",102,125,125,67,119
"North Carolina",38,40,43.5,97,36
"North Carolina State",80,25,78.5,37,52
"North Texas",119,104,98,78,113
"Northern Illinois",78,79,115.5,73,88
"Northwestern",37,17,78.5,10,21
"Notre Dame",30,54,98,14,40
"Ohio",111,57,43.5,126,80.5
"Ohio State",1,2,15,8,2
"Oklahoma",5,55,26.5,19,14
"Oklahoma State",24,49,26.5,71,27
"Old Dominion",73,96,43.5,122,80.5
"Ole Miss",18,76,78.5,1,38.5
"Oregon",16,103,115.5,21,71
"Oregon State",58,44,131.5,23,65
"Penn State",14,15,26.5,22,6
"Pittsburgh",3,98,61,36,45
"Purdue",69,114,115.5,55,99
"Rice",122,118,131.5,101,126
"Rutgers",107,86,131.5,9,102
"San Diego State",57,50,15,127,46
"San Jose State",117,99,115.5,82,115
"SMU",75,95,78.5,40,79
"South Alabama",109,67,89.5,121,98
"South Carolina",115,30,78.5,49,74
"South Florida",11,78,26.5,81,35
"Southern Miss",79,110,78.5,108,100
"Stanford",67,8,43.5,18,25
"Syracuse",70,105,98,41,89
"TCU",66,31,69,60,47
"Temple",52,28,43.5,112,37
"Tennessee",12,82,43.5,12,32
"Texas",62,56,78.5,27,57
"Texas A&M",26,35,43.5,42,20
"Texas State",128,128,125,110,128
"Texas Tech",9,121,98,51,73
"Toledo",29,81,26.5,102,49
"Troy",72,58,19.5,117,60
"Tulane",106,60,115.5,79,95
"Tulsa",15,83,43.5,70,42
"UCF",59,46,61,85,54
"UCLA",71,26,106.5,3,50
"UNLV",81,122,98,116,109
"USC",23,12,43.5,7,10
"Utah",41,24,26.5,56,19
"Utah State",95,77,115.5,54,94
"UTEP",118,124,125,104,125
"UTSA",89,80,78.5,113,92
"Vanderbilt",85,19,98,30,56
"Virginia",83,72,131.5,28,86
"Virginia Tech",36,16,43.5,72,18
"Wake Forest",103,29,61,57,68
"Washington",6,10,15,77,4
"Washington State",8,22,26.5,47,9
"West Virginia",43,21,19.5,48,16
"Western Kentucky",19,61,43.5,74,33
"Western Michigan",20,38,6,120,17
"Wisconsin",34,4,26.5,6,8
"Wyoming",28,111,43.5,63,67
