"TEAM","ELO","GAMES","RANK"
"Hawaii",1103.42967378945,12,103
"Tulane",1176.11157423989,11,98
"South Carolina",1440.87581224419,11,63
"Indiana",1325.43157734812,12,78
"Charlotte",1067.00426368742,12,106
"Appalachian State",1642.37128297771,12,33
"Rice",708.433681811021,11,128
"Oregon State",1454.54505212035,12,58
"Kansas State",1598.16046110949,12,39
"Colorado State",1400.12957459935,11,67
"Toledo",1586.04424437423,12,41
"Army",1224.13663344674,12,92
"Ball State",1115.36868600911,11,102
"UCLA",1506.88485640825,12,51
"Oklahoma",1835.92043653853,12,19
"Massachusetts",996.753995366502,12,116
"Fresno State",730.470304920536,11,127
"Clemson",2011.53891595049,12,4
"Northern Illinois",1201.6643984922,11,95
"New Mexico State",984.68478510682,12,119
"USC",1944.65810341238,12,8
"Miami (OH)",1066.43914830325,11,108
"Georgia",1616.0051586513,11,37
"SMU",1266.46657961201,12,89
"Georgia Tech",1583.37522556867,12,42
"Rutgers",1213.43500365691,12,94
"Western Michigan",1891.6645057263,13,13
"BYU",1480.89889698054,12,55
"Boise State",1924.92421139704,12,12
"Louisiana Tech",1341.35571724045,12,75
"San Jose State",997.100680439702,12,115
"LSU",1750.59101956894,10,26
"Southern Miss",1292.08968613934,12,84
"Bowling Green",1056.48546351834,12,109
"South Alabama",1258.55560823292,11,90
"Kent State",1075.60536373494,12,105
"Missouri",1331.87699721137,12,77
"Texas State",892.017981893642,12,124
"Notre Dame",1287.30415373261,12,86
"Ole Miss",1642.30180287716,12,34
"Louisville",1869.07062179247,12,15
"Maryland",1523.73926503515,12,49
"Troy",1556.63180144485,12,46
"Iowa State",1141.41101087674,12,100
"Louisiana-Monroe",1090.07121653081,11,104
"Connecticut",1045.04822491654,12,111
"Wyoming",1493.86325317541,13,52
"Old Dominion",1381.54612640781,12,70
"Middle Tennessee",1406.58095134531,12,66
"UTEP",893.339620119017,11,123
"Cincinnati",1160.74558269031,11,99
"Central Michigan",1382.86525536013,12,69
"Virginia",1066.48765537959,12,107
"Texas Tech",1340.05743708456,11,76
"Florida Atlantic",853.249414699252,11,125
"Western Kentucky",1488.51810712714,12,53
"UTSA",1115.72507453971,11,101
"Virginia Tech",1789.92001779473,13,22
"Arkansas State",1304.41348997828,11,82
"Utah State",1316.24760766885,12,81
"Georgia State",960.270774954951,11,120
"Idaho",1274.78433261843,12,87
"California",1434.52302886366,12,64
"Kentucky",1477.62070692316,12,56
"UNLV",1019.82859694756,12,113
"Ohio",1318.42217075689,13,80
"UCF",1394.83804413537,11,68
"Arkansas",1570.42535688355,12,43
"New Mexico",1218.51475660148,12,93
"Georgia Southern",1318.76652140107,12,79
"Eastern Michigan",1343.92175297475,12,74
"Wake Forest",1477.44066928141,12,57
"Nevada",1003.29190626281,12,114
"Akron",1358.59472298089,11,71
"Penn State",1932.63864775341,13,10
"North Carolina",1637.68073522612,10,35
"Washington State",1836.31848423585,11,18
"North Carolina State",1548.06273002495,12,48
"Tulsa",1568.62904737957,12,44
"Boston College",1352.04807540607,12,72
"Houston",1750.03555562768,12,27
"Temple",1598.37020920792,13,38
"Pittsburgh",1763.45066504229,12,25
"Michigan State",1240.14281904703,12,91
"Baylor",1619.61726401839,11,36
"Navy",1556.62941767039,13,47
"North Texas",1051.90361109152,12,110
"East Carolina",995.747366389365,11,117
"Florida International",921.460844463319,12,122
"Texas A&M",1934.61350814549,11,9
"Colorado",2002.90022227505,13,5
"Vanderbilt",1451.56459064412,12,60
"Arizona State",1480.97871977558,11,54
"Mississippi State",1350.02090271152,12,73
"Miami (FL)",1788.87278824977,12,23
"South Florida",1648.09077740267,12,32
"Kansas",940.157280488273,11,121
"San Diego State",1517.06838339243,12,50
"Florida State",1783.220856879,11,24
"Oregon",1442.9923247949,12,62
"Ohio State",2273.22030868263,12,2
"Alabama",2319.85766199029,13,1
"Duke",1267.71623919511,12,88
"Utah",1669.60389404395,12,30
"Buffalo",828.25420193926,11,126
"Texas",1454.25649885198,12,59
"TCU",1430.09181557347,11,65
"Iowa",1685.72681025751,11,29
"Syracuse",1303.36122259996,12,83
"Florida",1838.00696774993,12,17
"Oklahoma State",1654.60632028973,11,31
"Nebraska",1855.74140217873,12,16
"Wisconsin",1876.86651210957,13,14
"Louisiana-Lafayette",1185.32844776939,11,97
"Washington",1996.03252462451,13,6
"Air Force",1596.01587915581,11,40
"Stanford",1926.48370062583,12,11
"Purdue",1026.21567170394,11,112
"Northwestern",1557.27000065321,12,45
"Memphis",1445.48740793557,11,61
"Marshall",987.530752065854,12,118
"Illinois",1192.15502692273,12,96
"Minnesota",1702.20221025951,12,28
"Tennessee",1974.85461654587,12,7
"Arizona",1288.46118022981,11,85
"Auburn",1823.72080077842,12,20
"Michigan",2257.0179085361,12,3
"West Virginia",1793.30869667502,11,21
