"Team","Score","Rank"
"Hawaii",-118.565941553281,94
"Tulane",-108.351098856407,90
"South Carolina",-74.2500150760723,71
"Indiana",-55.4922749642208,62
"Charlotte",-145.950507900877,100
"Appalachian State",0.991285841961655,25
"Rice",-288.233472004637,118
"Oregon State",-104.017222993274,89
"Kansas State",-20.4687919132123,40
"Colorado State",-32.4794014374532,49
"Toledo",3.74877434777826,22
"Army",-102.017899714938,88
"Ball State",-120.201793280564,95
"UCLA",-110.248580603913,91
"Oklahoma",156.02532935305,7
"Massachusetts",-670.188355664926,125
"Fresno State",-890.474119938005,126
"Clemson",298.740723655372,2
"Northern Illinois",-67.4189910056932,67
"New Mexico State",-292.351070659673,120
"USC",9.08530336702548,18
"Miami (OH)",-79.0172543978034,74
"Georgia",-44.0570081183641,55
"SMU",-84.9492128960565,79
"Georgia Tech",-17.4606319100732,38
"Rutgers",-657.538582959235,123
"Western Michigan",64.0600907675108,11
"BYU",-23.6474513691786,43
"Boise State",150.873725112725,8
"Louisiana Tech",-45.7352501718187,56
"San Jose State",-157.689211304152,103
"LSU",-1.5007632282565,27
"Southern Miss",-99.8198582584798,85
"Bowling Green",-144.174891380495,99
"South Alabama",-89.9638425396583,80
"Kent State",-202.787981694653,110
"Missouri",-123.697090969667,96
"Texas State",-1180.03276530211,128
"Notre Dame",-93.6887492423078,81
"Ole Miss",-79.2635286772003,75
"Louisville",33.3600124530945,12
"Maryland",-64.3686249474187,65
"Troy",-14.7790377096512,37
"Iowa State",-158.864362436191,104
"Louisiana-Monroe",-148.023759221947,101
"Connecticut",-262.319141045117,117
"Wyoming",-42.7029944567036,53
"Old Dominion",-18.7054525146322,39
"Middle Tennessee",-82.4842875492277,77
"UTEP",-364.41827215083,121
"Cincinnati",-159.92711125248,105
"Central Michigan",-74.813318053805,72
"Virginia",-645.306541716262,122
"Texas Tech",-113.585963679049,92
"Florida Atlantic",-236.529025737669,116
"Western Kentucky",13.0861923996913,16
"UTSA",-83.5881173590509,78
"Virginia Tech",-9.66779388818371,34
"Arkansas State",-48.343707988145,59
"Utah State",-162.446743755628,106
"Georgia State",-224.342935982618,114
"Idaho",-36.2488916894705,50
"California",-81.3304977159587,76
"Kentucky",-48.3225818097908,58
"UNLV",-210.891601174381,112
"Ohio",-42.4315534910136,52
"UCF",-47.9449240921553,57
"Arkansas",-42.7292890915335,54
"New Mexico",-29.4580138802136,48
"Georgia Southern",-98.4027974135627,84
"Eastern Michigan",-72.1056020860987,70
"Wake Forest",-65.0833878785914,66
"Nevada",-166.062477383316,107
"Akron",-94.3461403842242,82
"Penn State",198.293425105211,6
"North Carolina",-26.1387205400232,44
"Washington State",-2.37700652834587,29
"North Carolina State",-49.957635570222,60
"Tulsa",1.05121618056577,24
"Boston College",-77.7213717917696,73
"Houston",8.94544761376464,19
"Temple",3.11785564653028,23
"Pittsburgh",-27.4000370133976,46
"Michigan State",-149.466614244997,102
"Baylor",-70.7117416983858,68
"Navy",6.20742981500434,21
"North Texas",-181.781924390697,108
"East Carolina",-226.279164556404,115
"Florida International",-131.3618135028,98
"Texas A&M",-7.23458047652191,32
"Colorado",32.6681993660068,13
"Vanderbilt",-59.6925594327282,63
"Arizona State",-116.8459357225,93
"Mississippi State",-62.5536983177436,64
"Miami (FL)",-2.24111690253378,28
"South Florida",117.362535465102,9
"Kansas",-658.811088557895,124
"San Diego State",-20.5286602283907,41
"Florida State",11.8763903112463,17
"Oregon",-100.58598357815,86
"Ohio State",259.50403068907,3
"Alabama",203.981383860145,4
"Duke",-101.330019464855,87
"Utah",-28.0483291828205,47
"Buffalo",-1014.998704548,127
"Texas",-72.0997012609181,69
"TCU",-53.6525092207361,61
"Iowa",-9.96875364249019,35
"Syracuse",-125.296480019651,97
"Florida",-7.38552152881682,33
"Oklahoma State",-4.7852861000539,30
"Nebraska",7.27542883429319,20
"Wisconsin",31.3638070582015,14
"Louisiana-Lafayette",-95.7722680756086,83
"Washington",316.448586107624,1
"Air Force",-13.4344685185618,36
"Stanford",14.1369399261459,15
"Purdue",-211.755409690286,113
"Northwestern",-38.0449821183941,51
"Memphis",-26.8984522459372,45
"Marshall",-289.433924358967,119
"Illinois",-182.015745199678,109
"Minnesota",-21.0022864985902,42
"Tennessee",-5.73332844634218,31
"Arizona",-203.420083116144,111
"Auburn",0.861458035034047,26
"Michigan",202.9385644524,5
"West Virginia",116.229346786154,10
