"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Air Force",0.645405650950605,0.822702825475302,0.830276474639164,13016,18734,0.409952755905512,0.280026757599145,76,78,0.493894337690813,59
"Akron",0.382057855956754,0.691028927978377,0.849704537096043,10127,21623,0.31896062992126,0.187284245556855,98,94,0.322744405733514,97
"Alabama",0.949363900269973,0.974681950134986,0.985136873325708,30092,1658,0.947779527559055,0.91005328557931,1,2,0.939428765426525,1
"Appalachian State",0.781183409715154,0.890591704857577,0.847994810076103,21514,10236,0.677606299212598,0.511739893787584,30,30,0.667495084508203,25
"Arizona",0.261756001937459,0.630878000968729,0.95274546728128,11411,20339,0.35940157480315,0.216024122966332,89,88,0.286058421187439,104
"Arizona State",0.395988884532591,0.697994442266295,0.919931716355298,12535,19215,0.394803149606299,0.2535059549257,82,83,0.374456206005891,90
"Arkansas",0.501603513749236,0.750801756874618,0.967397569146533,15932,15818,0.501795275590551,0.364465848634848,61,68,0.49076510511443,61
"Arkansas State",0.614786157455517,0.807393078727758,0.832026350373208,16839,14911,0.530362204724409,0.35628264691034,64,61,0.517799590139925,55
"Army",0.744825957164193,0.872412978582097,0.75,6101,25649,0.192157480314961,0.125730509818804,114,120,0.436465472020417,76
"Auburn",0.84860982943469,0.924304914717345,0.963538931708212,26318,5432,0.828913385826772,0.738233386503182,5,7,0.821416867602651,5
"Ball State",0.436278722697923,0.718139361348962,0.811252631290391,9453,22297,0.297732283464567,0.173456579433855,103,103,0.335198935664656,96
"Baylor",0.581028607533605,0.790514303766802,0.8698835258548,18127,13623,0.570929133858268,0.392602484672512,55,53,0.527261187115314,52
"Boise State",0.74437382043153,0.872186910215765,0.88693042830608,24265,7485,0.764251968503937,0.591201714969536,18,18,0.694889183751426,18
"Boston College",0.354295548498607,0.677147774249303,0.862284971527729,9634,22116,0.303433070866142,0.177172855450864,102,100,0.304813508255062,99
"Bowling Green",0.263298345437787,0.631649172718894,0.882264181684222,8086,23664,0.254677165354331,0.141926857566114,109,108,0.239758187969096,114
"Buffalo",0.16876717999273,0.584383589996365,0.83989624526214,5122,26628,0.161322834645669,0.0791807290797965,125,124,0.148272225414806,126
"BYU",0.737130148344649,0.868565074172325,0.862313624672815,20273,11477,0.63851968503937,0.478235598685292,36,35,0.63659814172958,31
"California",0.418785778467435,0.709392889233717,0.966757164351633,18934,12816,0.596346456692913,0.408980755864591,51,50,0.468691586672283,68
"Central Michigan",0.487639924073026,0.743819962036513,0.855034665552968,10943,20807,0.344661417322835,0.219201853278606,88,89,0.392853165367648,85
"Charlotte",0.320100918378498,0.660050459189249,0.838549805093306,8394,23356,0.264377952755906,0.146329279801501,106,107,0.267073026062953,108
"Cincinnati",0.313400670483948,0.656700335241974,0.888085958557799,10327,21423,0.325259842519685,0.189693604486919,95,92,0.293971104079491,103
"Clemson",0.86429767788103,0.932148838940515,0.916118692806387,27059,4691,0.852251968503937,0.727788218173726,6,5,0.811950162071956,6
"Colorado",0.754302404150736,0.877151202075368,0.953610267986941,24492,7258,0.77140157480315,0.64524686432513,13,16,0.736674203444635,12
"Colorado State",0.617771669020648,0.808885834510324,0.880805036824991,18937,12813,0.59644094488189,0.424946707799104,46,49,0.561571246748075,49
"Connecticut",0.180528711475538,0.590264355737769,0.85687385081099,5684,26066,0.179023622047244,0.0905469419865113,123,122,0.162801428805075,125
"Duke",0.390272383442473,0.695136191721237,0.952943545103676,12941,18809,0.407590551181102,0.269998393764658,78,80,0.383801882816188,87
"East Carolina",0.334637024762253,0.667318512381126,0.875014963215817,10280,21470,0.323779527559055,0.189059296599751,96,93,0.30313477846168,101
"Eastern Michigan",0.501625509696082,0.750812754848041,0.852670726707284,12737,19013,0.401165354330709,0.256824478166825,80,81,0.418869376701883,79
"Florida",0.653506504446432,0.826753252223216,0.95565860824048,20568,11182,0.647811023622047,0.511831513744543,29,34,0.632289752217602,32
"Florida Atlantic",0.275196164176421,0.637598082088211,0.838359065652982,6193,25557,0.195055118110236,0.104264008431982,121,119,0.218827172083565,120
"Florida International",0.292582433683818,0.646291216841909,0.850285154091296,6540,25210,0.205984251968504,0.113194902296938,118,116,0.234513750462336,116
"Florida State",0.704800415921001,0.8524002079605,0.927150322159083,23176,8574,0.729952755905512,0.576883945860278,20,23,0.678954873754512,23
"Fresno State",0.209773801468486,0.604886900734243,0.845431756266978,4886,26864,0.153889763779528,0.0786977778375593,126,126,0.169529543522711,124
"Georgia",0.497946283323473,0.748973141661736,0.930751885717048,15948,15802,0.502299212598425,0.350156881849568,66,67,0.476409365658887,67
"Georgia Southern",0.501860275519073,0.750930137759537,0.859009783427645,10549,21201,0.332251968503937,0.214321237101715,90,91,0.398152580557697,83
"Georgia State",0.335305764001413,0.667652882000707,0.851656900186697,10086,21664,0.317669291338583,0.180630311832079,101,96,0.296266742168978,102
"Georgia Tech",0.563268956162118,0.781634478081059,0.903232440087412,16579,15171,0.522173228346457,0.368653054818239,60,64,0.513232938582018,56
"Hawaii",0.304943792484176,0.652471896242088,0.838205909671925,8480,23270,0.267086614173228,0.146071218213408,108,105,0.25943266404308,110
"Houston",0.774393245274928,0.887196622637464,0.866304819158198,22695,9055,0.714803149606299,0.549385341649172,23,25,0.685508116738918,21
"Idaho",0.469384959064776,0.734692479532388,0.841367654357794,12501,19249,0.393732283464567,0.243384228306115,84,84,0.394527642487629,84
"Illinois",0.240934758355739,0.62046737917787,0.942054205593244,7344,24406,0.231307086614173,0.135202208216925,113,113,0.228418097126469,117
"Indiana",0.468508477751323,0.734254238875662,0.923936531454694,16516,15234,0.520188976377953,0.352898446019971,65,65,0.461977724053102,71
"Iowa",0.721095737526279,0.86054786876314,0.918019074209049,21978,9772,0.692220472440945,0.546853728680557,25,26,0.672059918400293,24
"Iowa State",0.426790895198404,0.713395447599202,0.946933861970439,17602,14148,0.554393700787402,0.374514181657325,59,55,0.454226400691831,72
"Kansas",0.190031680089358,0.595015840044679,0.933808986242073,6004,25746,0.189102362204724,0.105071160784068,120,121,0.181336314426989,122
"Kansas State",0.714707437481922,0.857353718740961,0.899966456350614,21000,10750,0.661417322834646,0.510342719684435,31,31,0.649280920836904,28
"Kent State",0.313228135389334,0.656614067694667,0.848918441973263,8412,23338,0.264944881889764,0.147683401216586,105,106,0.265585054414524,109
"Kentucky",0.496823091441415,0.748411545720707,0.927860167817984,13575,18175,0.42755905511811,0.296906098809659,75,76,0.449841256373157,73
"Louisiana-Lafayette",0.469749307379395,0.734874653689697,0.818301010009129,10046,21704,0.316409448818898,0.190272401648054,94,97,0.361734038059397,91
"Louisiana-Monroe",0.22750080291696,0.61375040145848,0.860098497693402,4487,27263,0.141322834645669,0.0746023173783286,127,127,0.177556344090503,123
"Louisiana Tech",0.669075815100863,0.834537907550431,0.813720228843429,19803,11947,0.623716535433071,0.423553660091915,47,40,0.570865862062676,44
"Louisville",0.82836138954023,0.914180694770115,0.886084261118822,25589,6161,0.805952755905512,0.652854877456832,12,9,0.757982911828581,10
"LSU",0.785161267086137,0.892580633543069,0.982959172133946,24605,7145,0.77496062992126,0.679927456334367,9,13,0.77284118936484,8
"Marshall",0.335441606010763,0.667720803005381,0.843642241870327,6668,25082,0.210015748031496,0.118305540931434,115,115,0.258667055018167,111
"Maryland",0.422484879558581,0.711242439779291,0.906852194153326,12733,19017,0.40103937007874,0.258667091979272,79,82,0.389100683375782,86
"Massachusetts",0.27001038414159,0.635005192070795,0.851370329131917,6518,25232,0.205291338582677,0.110985543570342,119,117,0.221682999271333,119
"Memphis",0.711298567648879,0.855649283824439,0.859364742537136,23632,8118,0.744314960629921,0.547305826133874,24,21,0.655614927179716,27
"Miami (FL)",0.806883950208163,0.903441975104082,0.912517874505842,24534,7216,0.772724409448819,0.637039374249827,14,15,0.74843882129416,11
