"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",1,0,4,0,0.982557525002033,0.33255465866762,0.28750189293845,0.10360480022637,123,2.71431578279175,28
"Akron",1,0,3,2,0.984925005858917,0.388134669082044,0.368715429812746,0.253986515601652,112,2.09090236067403,63
"Alabama",2,0,5,0,1.025,0.486775312838026,0.443995404952283,0.520876519816137,49,3.56836509669203,3
"Appalachian State",1,0,3,2,0.975,0.593917629667613,0.642955317064,0.810769329730649,8,2.1589604780458,51
"Arizona",0,2,2,3,1.02160816194681,0.472176910382875,0.48626423374346,0.481377916153145,66,1.52773471928079,85
"Arizona State",1,1,4,1,1.02160816194681,0.421936424128081,0.406422076765702,0.34544324381412,102,2.86268980213122,16
"Arkansas",0,1,4,1,1.025,0.509241046806061,0.503470272755133,0.581661603987354,40,2.90535234319134,11
"Arkansas State",0,0,0,4,0.975,0.516734336397917,0.62417919109875,0.601936046799163,36,0.202858237107094,128
"Army",0,0,3,1,1.00931274900398,0.359389650411949,0.259998473301365,0.176211697211522,121,2.10609875594951,60
"Auburn",1,1,3,2,1.025,0.560053393035053,0.578644564598748,0.719143546347256,19,2.24770355957124,36
"Ball State",0,1,3,2,0.984925005858917,0.314284310983495,0.231692573436055,0.0541710882721074,126,2.04591661480083,69
"Baylor",2,0,5,0,1.0199203187251,0.323581410667054,0.242828991725406,0.079326063739075,125,3.48228980329576,7
"Boise State",1,0,4,0,0.982557525002033,0.452906359951519,0.38730728286523,0.429237975759375,85,2.74700396176119,26
"Boston College",0,2,3,2,1.00947282299374,0.423073796612302,0.361200912735612,0.348520609649833,101,2.14048648100319,54
"Bowling Green",0,1,1,4,0.984925005858917,0.541123461309206,0.668083475084793,0.667925211128463,25,0.87595404410999,110
"Buffalo",0,0,1,3,0.984925005858917,0.495300568859362,0.626422816387511,0.543943133423126,45,0.862276502606155,111
"BYU",0,0,2,3,1.00931274900398,0.60804980563863,0.719501752924708,0.849006473780471,7,1.58781776272452,75
"California",1,1,3,2,1.02160816194681,0.572132529789445,0.654894874445956,0.751825823515497,16,2.26623164021065,31
"Central Michigan",0,1,3,2,0.984925005858917,0.46965437189133,0.478737867258457,0.474552734534246,69,2.12702364395598,57
"Charlotte",0,1,1,4,0.982247931351517,0.481627231900109,0.556436015472692,0.506947460851193,55,0.837017995943522,114
"Cincinnati",0,2,3,2,0.995521759117377,0.432732812391809,0.460391603914014,0.374654814212382,95,2.14382013803854,53
"Clemson",2,0,5,0,1.00947282299374,0.519521517705527,0.561652390438247,0.609477267158337,34,3.55390035135142,4
"Colorado",2,0,4,1,1.02160816194681,0.45772677489502,0.415421204316765,0.442280475439012,80,2.86575432951675,15
"Colorado State",0,1,2,3,0.982557525002033,0.432920385953931,0.483482261426947,0.375162328223635,94,1.46842641139273,100
"Connecticut",0,1,2,3,0.995521759117377,0.496222771988616,0.512016915853071,0.546438319866373,44,1.49727033907914,91
"Duke",0,2,2,3,1.00947282299374,0.453938813132713,0.404621513944223,0.432031463548866,83,1.48211523796674,96
"East Carolina",0,1,2,3,0.995521759117377,0.473174328345986,0.504304457992207,0.484076609858316,63,1.49471103254021,94
"Eastern Michigan",1,0,4,1,0.984925005858917,0.378363773578379,0.278593820488661,0.227549600321544,115,2.71793135571613,27
"Florida",2,1,4,1,1.025,0.521574140110726,0.486976834742478,0.61503100628163,33,2.89971708520368,12
"Florida Atlantic",0,1,1,4,0.982247931351517,0.41618454151542,0.461367514428389,0.329880490812104,105,0.805891049781037,120
