"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",112,55,27,20,0.670676837923633,0.329323162076367,0.843626525233836,0.156373474766164,0.982557525002033,0.313266600452322,0.285466691743001,0.0693694472387867,125,0.646103542476389,37
"Akron",160,161,0,0,0.75,0.75,0.496308466349718,0.503691533650282,0.984925005858917,0.463648427136178,0.497166293800339,0.462027210096913,73,0.489108251029603,90
"Alabama",186,59,48,43,0.56480888101877,0.43519111898123,0.938269314055817,0.0617306859441825,1.025,0.480666454086997,0.44834184777987,0.506462502167249,63,0.794334162596264,4
"Appalachian State",99,110,0,0,0.75,0.75,0.437896252243796,0.562103747756204,0.975,0.605408887633099,0.679608499698359,0.832173965911217,11,0.505505326360434,83
"Arizona",122,102,28,35,0.370785096653633,0.629214903346367,0.604522335971799,0.395477664028201,1.02160816194681,0.436452819146003,0.453886958808241,0.391017522101579,93,0.566288175578531,66
"Arizona State",195,137,51,41,0.626507062423907,0.373492937576093,0.697760075760928,0.302239924239072,1.02160816194681,0.404857884037431,0.425667877441343,0.308520874661193,108,0.620180184942874,49
"Arkansas",128,106,24,45,0.18395136951161,0.81604863048839,0.609916459235826,0.390083540764174,1.025,0.561813334399428,0.583697817975076,0.718342841627281,16,0.616206334952632,52
"Arkansas State",67,144,0,0,0.75,0.75,0.140235421660069,0.859764578339931,0.975,0.533665515006865,0.655421950680336,0.644846861190404,27,0.304165158050154,121
"Army",145,64,0,0,0.75,0.75,0.8741659286127,0.1258340713873,1.00931274900398,0.39807234177823,0.310403151120118,0.29080333589982,112,0.692635830247985,26
"Auburn",98,75,34,42,0.377352084645129,0.622647915354871,0.653379158603996,0.346620841396004,1.025,0.63355838212982,0.665185494396558,0.9056743201655,5,0.673747468964888,32
"Ball State",123,92,0,0,0.75,0.75,0.665574845326302,0.334425154673698,0.984925005858917,0.353565756802352,0.280734262200498,0.174593442228145,123,0.529194937235912,75
"Baylor",168,54,35,24,0.709753533596201,0.290246466403799,0.936428174170949,0.063571825829051,1.0199203187251,0.347474643919545,0.29439199151725,0.15868910850232,124,0.736806872515195,17
"Boise State",114,62,0,0,0.75,0.75,0.808993253783474,0.191006746216526,0.982557525002033,0.545138649503066,0.567415382136784,0.674804040349555,22,0.715761023960688,21
"Boston College",82,83,14,66,0.0247247284233101,0.97527527157669,0.4928185877653,0.5071814122347,1.00947282299374,0.476856226763672,0.483256453665301,0.496513724647058,64,0.494269399513968,89
"Bowling Green",61,221,0,0,0.75,0.75,0.0451797319146385,0.954820268085362,0.984925005858917,0.586886656867771,0.764164173061221,0.783811089519609,12,0.280547232690319,126
"Buffalo",53,80,0,0,0.75,0.75,0.273723705650058,0.726276294349942,0.984925005858917,0.485982698358388,0.604288651346619,0.520343598230805,58,0.378124549416754,111
"BYU",83,88,0,0,0.75,0.75,0.465396403059444,0.534603596940556,1.00931274900398,0.619874613111897,0.6839806736049,0.869945015311792,9,0.543270486612915,71
"California",182,170,41,51,0.373492937576093,0.626507062423907,0.540325611057543,0.459674388942457,1.02160816194681,0.527156879534809,0.579645062886767,0.627852345961584,31,0.565390745335952,68
"Central Michigan",158,100,0,0,0.75,0.75,0.747268498025622,0.252731501974378,0.984925005858917,0.44275634707451,0.400603643219946,0.407476486785688,89,0.62219046841255,48
