"TEAM","ELO","GAMES","RANK"
"Hawaii",1601.57368050123,4,91
"Appalachian State",1650.45581272197,5,63
"Indiana",1731.14777073833,4,31
"Oregon State",1628.25146308817,4,76
"Rice",1496.85232598907,5,127
"South Carolina",1676.43669534966,5,53
"Tulane",1605.41334246546,4,87
"Charlotte",1515.26826328268,5,125
"Ball State",1582.68985662354,4,103
"Colorado State",1577.5902385943,4,105
"Kansas State",1692.39937318111,4,44
"Toledo",1629.35111190626,4,75
"Army",1646.54170313495,4,66
"Boise State",1714.6716341071,4,36
"Bowling Green",1516.07263668337,5,124
"BYU",1612.06026802007,5,84
"Fresno State",1525.0081283708,4,121
"UCLA",1721.35275257726,5,35
"Clemson",1797.18552405153,4,7
"Georgia Tech",1689.44854595392,5,47
"Georgia",1693.18433347057,4,43
"Kent State",1478.56957500122,5,128
"LSU",1734.87265578099,4,29
"Louisiana Tech",1594.95287574103,4,93
"Massachusetts",1543.88364459193,5,113
"Miami (OH)",1502.29313650625,4,126
"Missouri",1664.03910785139,5,57
"New Mexico State",1586.10224631702,4,101
"Northern Illinois",1551.54667002813,4,112
"Oklahoma",1691.92222986986,4,45
"Rutgers",1666.3618478323,5,55
"San Jose State",1532.28313990336,5,119
"South Alabama",1607.64317876391,4,86
"USC",1714.27219303529,5,37
"SMU",1564.15154247048,5,110
"Southern Miss",1637.407905686,5,71
"Texas State",1576.51030118327,4,106
"Western Michigan",1689.92915490583,5,46
"Notre Dame",1587.72593062244,5,99
"Ole Miss",1712.42025262553,5,39
"Louisville",1759.86972169467,5,15
"Maryland",1759.31160611286,4,16
"Akron",1588.44911811656,4,98
"Arkansas State",1534.02628739782,3,118
"Arkansas",1748.02610816812,5,21
"Boston College",1687.58562453294,5,48
"California",1751.95384933643,5,20
"UCF",1603.69990621996,4,90
"Central Michigan",1613.66345931092,5,82
"Cincinnati",1591.63656335142,4,95
"Connecticut",1580.38886418926,5,104
"Eastern Michigan",1650.86401710111,5,62
"Florida Atlantic",1522.3007364274,4,123
"Georgia Southern",1636.38498252819,4,72
"Georgia State",1524.84966965499,4,122
"Idaho",1568.70433329385,5,108
"Iowa State",1594.46524297018,5,94
"Kentucky",1686.76058037864,5,49
"Middle Tennessee",1649.83895006104,5,64
"North Carolina",1732.26143143104,4,30
"UNLV",1566.89518014849,5,109
"Nevada",1586.48627804481,5,100
"New Mexico",1599.70696352943,4,92
"North Carolina State",1737.18742930644,4,28
"Louisiana-Monroe",1556.16499679679,3,111
"Ohio",1591.23847784732,5,96
"Old Dominion",1621.97695122287,5,79
"Penn State",1744.52327171072,5,23
"Texas Tech",1741.48649182409,3,25
"UTEP",1542.93580209228,5,114
"UTSA",1541.50881926344,3,115
"Troy",1660.84803632701,5,59
"Tulsa",1639.56594881702,4,69
"Utah State",1575.61686431938,5,107
"Virginia Tech",1745.02554441763,4,22
"Virginia",1632.18705350826,5,73
"Wake Forest",1741.96094751978,5,24
"Washington State",1738.9630223159,3,27
"Western Kentucky",1608.67806875377,5,85
"Wyoming",1625.77049636899,5,77
"Houston",1707.06488012991,5,41
"Alabama",1821.3704925385,5,2
"Arizona State",1769.08403182589,4,14
"Baylor",1781.79869169987,4,11
"Colorado",1755.65093311266,5,17
"East Carolina",1585.02070470441,4,102
"Florida International",1538.34243410866,5,117
"Florida State",1699.36498130231,4,42
"Kansas",1616.1277565557,3,81
"Miami (FL)",1755.43077521685,4,18
"Michigan State",1666.00412367742,4,56
"Mississippi State",1683.75630684439,4,51
"North Texas",1540.05322997545,5,116
"Ohio State",1795.94470789022,4,8
"Oregon",1672.38690774729,5,54
"Pittsburgh",1723.92167466996,5,33
"San Diego State",1648.9889407415,3,65
"South Florida",1643.81635399701,5,67
"Temple",1618.29793532213,5,80
"Texas A&M",1805.70440622622,4,5
"Navy",1638.70144066247,4,70
"Vanderbilt",1659.25916269497,5,60
"Buffalo",1604.89990540914,3,88
"Duke",1629.62680953164,5,74
"Texas",1713.74674601703,4,38
"Utah",1754.9466754766,5,19
"Florida",1773.70753971152,5,12
"Iowa",1726.12576639451,4,32
"Nebraska",1813.66736192615,5,4
"Oklahoma State",1712.1717023402,4,40
"Syracuse",1603.91714312696,5,89
"TCU",1676.77131550251,4,52
"Wisconsin",1794.20313951579,4,9
"Louisiana-Lafayette",1588.5462504723,3,97
"Stanford",1771.94932021658,4,13
"Air Force",1684.10484079194,3,50
"Washington",1802.57238304098,5,6
"Tennessee",1828.12732209183,5,1
"Illinois",1613.17301744524,4,83
"Memphis",1659.11023217988,3,61
"Northwestern",1623.3681197683,5,78
"Purdue",1663.04495683517,3,58
"Minnesota",1739.49495047352,4,26
"Marshall",1532.23738804421,4,120
"Arizona",1640.10279059346,4,68
"Auburn",1721.90560168707,5,34
"Michigan",1817.67336678076,4,3
"West Virginia",1792.06010262683,3,10
