TEAM,ELO,GAMES,RANK
Michigan,1854.751586,6,1
Alabama,1834.420543,6,2
Texas A&M,1832.81581,5,3
Ohio State,1822.969949,5,4
Nebraska,1812.281537,5,5
Tennessee,1812.273371,6,6
Washington,1810.666589,6,7
Clemson,1808.470141,5,8
Arizona State,1798.658415,5,9
West Virginia,1795.048408,3,10
Baylor,1781.963702,4,11
Utah,1779.607892,6,12
Wisconsin,1778.460629,5,13
Florida,1773.668255,5,14
Penn State,1772.966616,6,15
Wake Forest,1766.210747,6,16
Louisville,1761.093583,5,17
North Carolina State,1758.861887,5,18
Virginia Tech,1756.226198,5,19
Washington State,1755.245046,4,20
Pittsburgh,1750.522037,6,21
USC,1745.281865,6,22
Stanford,1744.428565,5,23
Maryland,1743.772782,5,24
Colorado,1743.608047,6,25
Iowa,1740.027202,5,26
California,1739.583718,6,27
Oklahoma State,1738.842973,5,28
Auburn,1737.56673,6,29
LSU,1733.089193,4,30
UCLA,1730.090143,7,31
Boise State,1727.289529,5,32
Oklahoma,1725.396713,5,33
Texas Tech,1725.302243,4,34
Kansas State,1724.418298,5,35
Arkansas,1722.573616,6,36
Miami (FL),1718.511667,5,37
Ole Miss,1716.544077,5,38
Florida State,1715.482952,5,39
Indiana,1715.232304,5,40
Western Michigan,1713.218405,6,41
Minnesota,1711.111737,5,42
Georgia,1706.59878,5,43
North Carolina,1705.170164,5,44
Texas,1696.364288,5,45
TCU,1691.09826,5,46
Houston,1689.588108,6,47
Kentucky,1686.689196,5,48
Memphis,1685.201025,4,49
Purdue,1678.406232,4,50
San Diego State,1676.344741,4,51
Georgia Tech,1673.197933,6,52
Navy,1671.903634,5,53
South Florida,1670.442599,6,54
Air Force,1667.880589,4,55
Oregon State,1667.149329,5,56
Tulsa,1667.076868,5,57
Missouri,1663.51023,5,58
Troy,1663.145908,5,59
Boston College,1658.591329,6,60
Duke,1657.556467,6,61
Wyoming,1657.036414,6,62
Vanderbilt,1656.409559,5,63
Appalachian State,1652.903319,5,64
Mississippi State,1652.899128,5,65
Middle Tennessee,1652.47311,5,66
Old Dominion,1651.909327,6,67
Oregon,1648.378249,6,68
Hawaii,1648.155986,6,69
Toledo,1647.558357,5,70
South Carolina,1646.684891,6,71
Rutgers,1645.713012,6,72
Central Michigan,1642.960122,6,73
Virginia,1635.480049,5,74
BYU,1631.324003,6,75
Army,1627.691679,5,76
Northwestern,1626.813029,5,77
Michigan State,1626.008608,5,78
Louisiana Tech,1622.084733,5,79
Eastern Michigan,1621.167465,6,80
Arizona,1620.627446,6,81
Southern Miss,1618.573252,6,82
Georgia Southern,1617.496784,5,83
Akron,1617.324661,5,84
Ohio,1616.363828,6,85
New Mexico State,1613.826566,5,86
Colorado State,1610.591509,5,87
Connecticut,1609.242748,6,88
Tulane,1606.725642,4,89
South Alabama,1606.093467,4,90
Temple,1604.419008,6,91
UCF,1604.174395,4,92
Nevada,1601.359858,7,93
Syracuse,1595.752776,6,94
Western Kentucky,1592.900513,5,95
Kansas,1588.926674,4,96
Illinois,1586.798986,5,97
Idaho,1585.764524,6,98
Iowa State,1584.344247,6,99
UTSA,1581.867948,4,100
Cincinnati,1577.552692,5,101
Notre Dame,1577.497261,6,102
Louisiana-Lafayette,1574.468237,4,103
Arkansas State,1573.103671,4,104
North Texas,1570.675497,6,105
New Mexico,1570.283886,5,106
East Carolina,1570.021637,5,107
Ball State,1566.448649,5,108
Buffalo,1564.676719,4,109
Utah State,1564.467604,6,110
Texas State,1559.470004,5,111
Georgia State,1556.122635,5,112
UNLV,1556.081918,6,113
SMU,1552.424759,6,114
Florida International,1551.366375,6,115
Northern Illinois,1542.764062,5,116
Charlotte,1532.808439,6,117
Massachusetts,1529.928789,6,118
Louisiana-Monroe,1524.131841,4,119
Marshall,1519.912087,5,120
UTEP,1515.678446,6,121
Fresno State,1514.915891,5,122
San Jose State,1508.318602,6,123
Kent State,1504.837936,6,124
Bowling Green,1503.516221,6,125
Rice,1496.067086,5,126
Florida Atlantic,1491.973738,5,127
Miami (OH),1490.657121,5,128
