Team,Previous.Score,Score,Rank
Ohio State,2527.087498,2527.087498,1
Washington,2280.564221,2280.564221,2
Michigan,2218.143351,2218.143351,3
Alabama,2115.200739,2115.200739,4
Texas A&M,2110.560132,2110.560132,5
Nebraska,2042.145604,2042.145604,6
Louisville,2038.283788,2038.283788,7
Clemson,2028.306048,2028.306048,8
North Carolina State,2004.252049,2004.252049,9
Miami (FL),2001.051813,2001.051813,10
Western Michigan,1958.202805,1958.202805,11
Washington State,1950.71154,1950.71154,12
Baylor,1944.038016,1944.038016,13
Boise State,1937.758596,1937.758596,14
Tennessee,1936.223333,1936.223333,15
Ole Miss,1877.034704,1877.034704,16
Houston,1875.982452,1875.982452,17
Wisconsin,1875.344906,1875.344906,18
Florida State,1868.031936,1868.031936,19
Troy,1861.295697,1861.295697,20
Auburn,1841.335417,1841.335417,21
Stanford,1836.424814,1836.424814,22
Virginia Tech,1833.046102,1833.046102,23
West Virginia,1825.769101,1825.769101,24
Florida,1823.487197,1823.487197,25
Toledo,1818.40596,1818.40596,26
Penn State,1813.684039,1813.684039,27
Air Force,1810.116696,1810.116696,28
South Florida,1805.258033,1805.258033,29
LSU,1801.289481,1801.289481,30
Colorado,1786.187708,1786.187708,31
Iowa,1784.314854,1784.314854,32
Appalachian State,1777.820213,1777.820213,33
UCLA,1777.66514,1777.66514,34
Northwestern,1773.229925,1773.229925,35
Wake Forest,1768.834778,1768.834778,36
Wyoming,1764.064454,1764.064454,37
Utah,1759.988609,1759.988609,38
Arizona State,1758.432101,1758.432101,39
Memphis,1750.335634,1750.335634,40
Maryland,1749.09913,1749.09913,41
USC,1741.001612,1741.001612,42
Tulsa,1737.595166,1737.595166,43
Oklahoma State,1735.560731,1735.560731,44
Oregon,1730.069427,1730.069427,45
TCU,1729.313059,1729.313059,46
BYU,1721.577363,1721.577363,47
Kansas State,1721.484243,1721.484243,48
Pittsburgh,1711.494471,1711.494471,49
Georgia,1710.237728,1710.237728,50
Navy,1705.527115,1705.527115,51
Old Dominion,1700.055318,1700.055318,52
Oklahoma,1695.508966,1695.508966,53
San Diego State,1691.338621,1691.338621,54
Georgia Tech,1680.639853,1680.639853,55
Ohio,1679.128312,1679.128312,56
UCF,1677.653863,1677.653863,57
Minnesota,1673.971726,1673.971726,58
Indiana,1669.444539,1669.444539,59
Texas Tech,1661.392405,1661.392405,60
Army,1658.017697,1658.017697,61
Virginia,1651.189428,1651.189428,62
California,1649.429536,1649.429536,63
Arkansas,1644.282294,1644.282294,64
Akron,1633.572344,1633.572344,65
Mississippi State,1630.878119,1630.878119,66
Middle Tennessee,1628.83191,1628.83191,67
Georgia Southern,1624.074567,1624.074567,68
North Carolina,1620.033962,1620.033962,69
Temple,1619.61482,1619.61482,70
Michigan State,1608.734248,1608.734248,71
Boston College,1608.324249,1608.324249,72
Central Michigan,1607.288534,1607.288534,73
Missouri,1607.205222,1607.205222,74
Southern Miss,1602.729652,1602.729652,75
Tulane,1601.808325,1601.808325,76
Connecticut,1595.719705,1595.719705,77
South Alabama,1591.497251,1591.497251,78
Texas,1588.966523,1588.966523,79
Louisiana Tech,1586.378807,1586.378807,80
Vanderbilt,1585.025174,1585.025174,81
Western Kentucky,1571.179596,1571.179596,82
Duke,1569.894006,1569.894006,83
Notre Dame,1568.498348,1568.498348,84
UTSA,1565.105619,1565.105619,85
Eastern Michigan,1563.692745,1563.692745,86
Rutgers,1563.017261,1563.017261,87
Ball State,1558.540518,1558.540518,88
Colorado State,1557.46794,1557.46794,89
Arizona,1556.339996,1556.339996,90
Oregon State,1541.325094,1541.325094,91
Cincinnati,1537.512837,1537.512837,92
Hawaii,1530.584821,1530.584821,93
Utah State,1525.544262,1525.544262,94
Kentucky,1524.972359,1524.972359,95
Louisiana-Lafayette,1507.177963,1507.177963,96
Kent State,1483.643049,1483.643049,97
Louisiana-Monroe,1476.538024,1476.538024,98
SMU,1473.494154,1473.494154,99
Northern Illinois,1471.572332,1471.572332,100
Idaho,1460.485647,1460.485647,101
South Carolina,1453.300491,1453.300491,102
Purdue,1449.071871,1449.071871,103
Iowa State,1433.933349,1433.933349,104
Syracuse,1430.592967,1430.592967,105
UNLV,1419.582523,1419.582523,106
Florida International,1408.171745,1408.171745,107
Georgia State,1392.007944,1392.007944,108
North Texas,1381.054931,1381.054931,109
Massachusetts,1369.471739,1369.471739,110
Bowling Green,1362.111508,1362.111508,111
Florida Atlantic,1349.254128,1349.254128,112
Nevada,1344.31751,1344.31751,113
Texas State,1343.809218,1343.809218,114
Illinois,1342.242346,1342.242346,115
Charlotte,1337.970539,1337.970539,116
East Carolina,1336.318035,1336.318035,117
New Mexico,1329.726643,1329.726643,118
Arkansas State,1321.61048,1321.61048,119
Kansas,1316.287738,1316.287738,120
Miami (OH),1310.730915,1310.730915,121
New Mexico State,1310.208817,1310.208817,122
UTEP,1275.727577,1275.727577,123
Fresno State,1207.326445,1207.326445,124
Buffalo,1194.784031,1194.784031,125
Rice,1165.599104,1165.599104,126
San Jose State,1150.05843,1150.05843,127
Marshall,1017.940048,1017.940048,128
