Team,Score,Rank
Texas A&M,416.1847974,1
Clemson,408.3594117,2
Michigan,289.3467432,3
Alabama,216.0568502,4
Nebraska,210.9384045,5
Tennessee,205.4404194,6
Louisville,192.3035389,7
Western Michigan,136.1959199,8
Washington,126.257365,9
Florida State,125.7687791,10
Boise State,119.9279403,11
Air Force,114.0535698,12
Ohio State,106.7670633,13
Virginia Tech,101.0001843,14
Navy,86.86649484,15
West Virginia,85.54248774,16
Wyoming,83.18490018,17
Baylor,80.13284887,18
North Carolina State,74.84508188,19
Arizona State,73.61851175,20
Miami (FL),56.73380723,21
Wisconsin,51.12069278,22
Houston,50.95667821,23
Ole Miss,47.86007769,24
South Florida,47.83480458,25
Stanford,44.35869491,26
USC,41.97649228,27
Utah,38.61682093,28
Penn State,34.51211227,29
Wake Forest,33.34133051,30
Toledo,30.93969528,31
Florida,30.06602387,32
Troy,27.77335815,33
Auburn,27.61603339,34
North Carolina,22.50186331,35
Maryland,21.43288279,36
Oklahoma State,20.56957576,37
Memphis,19.62113598,38
Washington State,17.90030136,39
LSU,17.31545395,40
BYU,17.23813146,41
Colorado,12.48729675,42
Georgia,11.85015537,43
Pittsburgh,11.59966866,44
Tulsa,11.52108426,45
UCF,10.43303586,46
Arkansas,8.815907956,47
Eastern Michigan,6.02269963,48
Appalachian State,5.593451262,49
Oklahoma,4.533121457,50
UCLA,4.298073414,51
California,3.909641037,52
Georgia Tech,2.522893526,53
Kansas State,0.904886214,54
Texas Tech,-2.111281735,55
TCU,-2.29515146,56
Missouri,-3.139862421,57
Minnesota,-3.94743274,58
Indiana,-4.215117435,59
East Carolina,-4.792328901,60
Old Dominion,-5.746600745,61
Tulane,-7.24589738,62
Akron,-8.773697764,63
Northwestern,-9.422132592,64
Central Michigan,-12.60804522,65
Kentucky,-13.26019317,66
Oregon State,-13.74319461,67
Boston College,-14.35452673,68
Oregon,-15.28054548,69
UTSA,-16.23726153,70
Colorado State,-17.01865413,71
Ohio,-20.46113079,72
Louisiana Tech,-20.6123202,73
Southern Miss,-21.8509648,74
Iowa,-22.03940936,75
Rutgers,-24.26082731,76
Idaho,-25.17336841,77
Michigan State,-25.18355203,78
Western Kentucky,-26.09902001,79
Purdue,-26.60408523,80
Middle Tennessee,-27.29907563,81
Connecticut,-28.49742782,82
Texas,-29.56758469,83
Cincinnati,-30.91893614,84
Vanderbilt,-31.06910728,85
Illinois,-32.20211102,86
Mississippi State,-33.56092345,87
Arizona,-33.59424511,88
Virginia,-34.37812456,89
Kansas,-35.74547088,90
Utah State,-36.72370133,91
SMU,-39.96359776,92
Georgia Southern,-40.04633912,93
Kent State,-42.26814125,94
Syracuse,-43.49670681,95
South Carolina,-44.49629909,96
Notre Dame,-46.29281033,97
North Texas,-47.47642671,98
Temple,-47.59769969,99
Bowling Green,-48.54711769,100
San Diego State,-49.0559166,101
Marshall,-49.79047005,102
Duke,-50.00707812,103
Louisiana-Monroe,-51.2341896,104
Arkansas State,-51.68302573,105
Hawaii,-51.73398307,106
Charlotte,-52.44708879,107
Georgia State,-57.02829064,108
Iowa State,-57.73388589,109
Massachusetts,-60.40601084,110
Northern Illinois,-61.78514036,111
UNLV,-70.82924434,112
Texas State,-80.35426913,113
Fresno State,-81.6536853,114
South Alabama,-84.22525413,115
Ball State,-87.62319575,116
Nevada,-89.84170735,117
Florida Atlantic,-91.11046064,118
New Mexico,-95.71156199,119
Florida International,-101.0004808,120
Buffalo,-119.7234492,121
San Jose State,-142.7312769,122
Army,-143.7567035,123
Louisiana-Lafayette,-183.3485668,124
UTEP,-217.7815543,125
New Mexico State,-248.3045447,126
Miami (OH),-335.6729299,127
Rice,-427.0941896,128
