"TEAM","ELO","GAMES","RANK"
"Hawaii",1043.16877162704,6,107
"Appalachian State",1800.89560940166,5,24
"Indiana",1377.54780675907,5,70
"Oregon State",1292.70265562529,5,85
"Rice",560.763962032418,5,128
"South Carolina",1375.86680576805,6,71
"Tulane",1293.57505140856,4,84
"Charlotte",953.117693572523,6,115
"Ball State",1297.75796553111,5,83
"Colorado State",1381.40286480849,5,69
"Kansas State",1533.88884035281,5,50
"Toledo",1629.97084468662,5,39
"Army",1303.02374270373,5,81
"Boise State",1992.06693461139,5,13
"Bowling Green",986.049845072207,6,111
"BYU",1526.16063613986,6,52
"Fresno State",700.712107122284,5,127
"UCLA",1641.69112926227,7,35
"Clemson",2160.8922006854,5,5
"Georgia Tech",1629.67790037053,6,40
"Georgia",1793.04803566327,5,25
"Kent State",991.98171732436,6,110
"LSU",1613.92878864932,4,42
"Louisiana Tech",1301.82108820048,5,82
"Massachusetts",1093.67057382946,6,103
"Miami (OH)",816.020045021704,5,122
"Missouri",1609.36212861027,5,43
"New Mexico State",825.533745914036,5,121
"Northern Illinois",1049.59896482627,5,106
"Oklahoma",1502.09647280178,5,55
"Rutgers",1271.62705986706,6,89
"San Jose State",850.017271354739,6,119
"South Alabama",1310.60795929231,4,78
"USC",1640.27560640113,6,36
"SMU",1176.75996166028,6,96
"Southern Miss",1473.48701528863,6,58
"Texas State",1290.95518788064,5,86
"Western Michigan",1870.05203277007,6,18
"Notre Dame",1160.79011490607,6,97
"Ole Miss",1649.29564989719,5,34
"Louisville",2080.29998343745,5,7
"Maryland",1730.66302540078,5,29
"Akron",1440.66298947663,5,62
"Arkansas State",956.827080614829,4,114
"Arkansas",1635.73916468943,6,37
"Boston College",1422.92348160945,6,65
"California",1444.05562970852,6,60
"UCF",1426.67134807735,4,64
"Central Michigan",1618.37343828005,6,41
"Cincinnati",1336.36643273712,5,76
"Connecticut",1178.88678571847,6,95
"Eastern Michigan",1304.8981909688,6,80
"Florida Atlantic",745.310955113496,5,125
"Georgia Southern",1421.94806707775,5,66
"Georgia State",1101.54073974394,5,102
"Idaho",1238.71902294194,6,91
"Iowa State",1075.97791035624,6,105
"Kentucky",1219.43315768253,5,93
"Middle Tennessee",1312.12783252819,5,77
"North Carolina",1596.15066254853,5,44
"UNLV",1010.25953862674,6,109
"Nevada",976.66620196397,7,112
"New Mexico",1016.5191674843,5,108
"North Carolina State",1710.3799492039,5,31
"Louisiana-Monroe",808.377549825764,4,124
"Ohio",1253.55170531662,6,90
"Old Dominion",1410.5215878197,6,67
"Penn State",1549.89868854595,6,48
"Texas Tech",1535.06000023931,4,49
"UTEP",812.437619166816,6,123
"UTSA",1078.21242286527,4,104
"Troy",1780.98619716654,5,27
"Tulsa",1429.00577515847,5,63
"Utah State",1309.39685380089,6,79
"Virginia Tech",1805.4769622865,5,23
"Virginia",1104.68776948461,5,101
"Wake Forest",1661.48022977541,6,32
"Washington State",1734.71033509046,4,28
"Western Kentucky",1215.74521660203,5,94
"Wyoming",1441.39125420802,6,61
"Houston",1781.88892124288,6,26
"Alabama",2185.93518757343,6,2
"Arizona State",1870.81197300086,5,17
"Baylor",2026.38301374531,4,9
"Colorado",1848.34698732293,6,19
"East Carolina",1282.02430996061,5,87
"Florida International",829.841571870056,6,120
"Florida State",1926.38768110564,5,15
"Kansas",949.498117248343,4,116
"Miami (FL)",2010.20894819582,5,11
"Michigan State",1371.93988716472,5,72
"Mississippi State",1238.61289948575,5,92
"North Texas",905.530079126905,6,118
"Ohio State",2149.67243408257,5,6
"Oregon",1594.14777727819,6,45
"Pittsburgh",1713.64310571103,6,30
"San Diego State",1657.17067155241,4,33
"South Florida",1516.57677664138,6,54
"Temple",1145.58054025244,6,98
"Texas A&M",2161.06985087291,5,4
"Navy",1523.88893973018,5,53
"Vanderbilt",1272.45979045638,5,88
"Buffalo",735.775707629973,4,126
"Duke",1353.4107702705,6,74
"Texas",1364.23040978659,5,73
"Utah",1633.41170446277,6,38
"Florida",1832.37952669767,5,22
"Iowa",1560.93342342699,5,47
"Nebraska",2001.68624562449,5,12
"Oklahoma State",1533.73260414723,5,51
"Syracuse",1134.01316002948,6,99
"TCU",1470.82012349205,5,59
"Wisconsin",1842.73124399061,5,21
"Louisiana-Lafayette",1383.29841388018,4,68
"Stanford",1934.31641139949,5,14
"Air Force",1889.48296143325,4,16
"Washington",2021.68310145265,6,10
"Illinois",1112.31683537476,5,100
"Marshall",935.406087200254,5,117
"Memphis",1484.02961175851,4,56
"Minnesota",1562.49715303327,5,46
"Northwestern",1478.04908248447,5,57
"Purdue",962.925025611554,4,113
"Tennessee",2172.78052470101,6,3
"Arizona",1344.37844277573,6,75
"Michigan",2236.00961371156,6,1
"Auburn",1848.04802843289,6,20
"West Virginia",2057.64183847313,3,8
