"Team","CONF.W","CONF.L","OVERALL.W","OVERALL.L","Score","Rank","Games"
"Abil Christian",0,0,0,1,1099.72141262181,157,1
"Air Force",1,1,4,1,2144.32472234207,24,5
"Akron",2,0,4,2,1682.83373984485,65,6
"Alabama",3,0,6,0,2578.54886360261,4,6
"Alabama A&M",0,0,0,1,1070.0010983407,160,1
"Alabama St.",0,0,0,1,810.245817398665,191,1
"Albany (N.Y.)",0,0,1,0,1707.1587347332,63,1
"Alcorn State",0,0,0,1,1185.1625772074,129,1
"Appalachian State",1,0,3,2,1958.16874579468,37,5
"Arizona",0,4,2,5,1484.98538888632,92,7
"Arizona State",2,1,5,1,2241.30972492192,15,6
"Arkansas",0,2,4,2,2020.53075764606,34,6
"Arkansas State",1,0,1,4,979.461356487482,174,5
"Army",0,0,3,2,1394.44213329456,103,5
"Auburn",2,1,4,2,2152.94410081693,21,6
"Austin Peay",0,0,0,1,1011.40957257785,168,1
"Ball State",0,2,3,3,1459.72621703191,95,6
"Baylor",2,0,5,0,2340.560128087,10,5
"Bethune-Cookman",0,0,0,1,742.750009166106,199,1
"Boise State",2,0,5,0,2285.62373998275,13,5
"Boston College",0,3,3,3,1522.1693169896,87,6
"Bowling Green",0,2,1,5,1272.83011156987,109,6
"Buffalo",0,1,1,4,950.425473979811,179,5
"BYU",0,0,3,3,1790.02983703914,56,6
"Cal Poly",0,0,0,1,762.80520291694,195,1
"California",1,2,3,3,1610.77458130616,77,6
"Cent Arkansas",0,0,1,0,2047.68585689684,30,1
"Central Michigan",1,1,4,2,1958.01637015532,38,6
"Charleston So",0,0,0,1,1185.82973534664,128,1
"Charlotte",1,1,2,4,1176.88369914157,132,6
"Cincinnati",0,3,3,3,1513.44537408311,90,6
"Clemson",3,0,6,0,2616.76108954677,3,6
"Colgate",0,0,0,1,993.343218878918,170,1
"Colorado",2,1,4,2,2208.29032492914,17,6
"Colorado State",1,1,3,3,1511.89256385734,91,6
"Connecticut",1,1,3,3,1453.03345223917,99,6
"Delaware",0,0,0,1,1187.29562626491,127,1
"Delaware State",0,0,0,1,1049.80368751557,162,1
"Duke",0,2,3,3,1613.21941195169,76,6
"E Illinois",0,0,1,0,1520.69257507713,88,1
"E Kentucky",0,0,0,2,679.009942531723,202,2
"E Washington",0,0,1,0,2182.88892373538,19,1
"East Carolina",0,2,2,4,1475.71954916829,94,6
"Eastern Michigan",1,1,4,2,1637.77779471542,71,6
"Elon",0,0,0,1,723.014871892034,201,1
"Florida",2,1,4,1,2138.26008461799,25,5
"Florida A&M",0,0,0,1,1170.60699307814,135,1
"Florida Atlantic",0,2,1,5,883.503530673093,185,6
"Florida International",2,0,2,4,948.704151931449,180,6
"Florida State",1,2,4,2,2154.22701554734,20,6
"Fordham",0,0,0,1,1167.04984380977,138,1
"Fresno State",0,2,1,5,1040.07552051253,164,6
"Furman",0,0,0,1,1107.35305673983,154,1
"Gardner-Webb",0,0,0,1,1069.81202039989,161,1
"Georgia",2,2,4,2,2131.90983249438,27,6
"Georgia Southern",2,1,3,2,1618.87341527673,75,5
"Georgia State",1,1,1,4,1227.15616915261,117,5
"Georgia Tech",1,3,3,3,1849.25402539103,44,6
"Grambling St",0,0,0,1,1049.23869572127,163,1
"Hampton",0,0,0,1,928.315642043181,183,1
"Hawaii",3,0,4,3,1261.20403956539,111,7
"Houston",2,0,5,1,2150.94110902949,22,6
"Howard",0,0,0,2,983.547400658786,173,2
"Idaho",1,1,3,3,1561.97722930379,84,6
"Idaho State",0,0,0,2,1008.09107477649,169,2
"Illinois",0,2,1,4,1317.76345932627,107,5
"Illinois State",0,0,1,0,2146.09475622455,23,1
"Incarnate Word",0,0,0,1,773.883709938538,193,1
"Indiana",1,1,3,2,1621.35660334358,74,5
"Indiana State",0,0,0,1,1146.33566595588,146,1
"Iowa",2,1,4,2,1575.40338603948,81,6
"Iowa State",0,3,1,5,1191.76737028319,124,6
"Jackson State",0,0,0,1,773.677011075621,194,1
"Jacksonville St",0,0,0,1,1126.1376621882,151,1
"JMU",0,0,0,1,1187.3675912036,126,1
"Kansas",0,2,1,4,1147.79867747181,145,5
"Kansas State",1,1,3,2,1819.7610425954,47,5
"Kent State",1,1,2,4,1170.52583296386,136,6
"Kentucky",1,2,3,3,1481.40905117815,93,6
"Lamar",0,0,0,1,1190.242096646,125,1
"Liberty",0,0,0,2,744.327291671932,198,2
"Louisiana-Lafayette",1,1,2,3,1455.29817880887,97,5
"Louisiana-Monroe",0,2,1,4,979.451725886778,175,5
"Louisiana Tech",2,1,3,3,1394.10269825615,104,6
"Louisville",2,1,4,1,2307.82588145157,12,5
"LSU",2,1,3,2,1814.08786810353,49,5
"Maine",0,0,0,2,985.565180985076,172,2
"Marshall",0,1,1,4,1283.06477034437,108,5
"Maryland",1,1,4,1,2048.82673119954,29,5
"Massachusetts",0,0,1,5,1255.10876433977,113,6
"McNeese",0,0,0,1,946.450891220238,181,1
"Memphis",1,0,4,1,1807.95594067999,52,5
"Mercer",0,0,0,1,1158.46294007717,142,1
"Miami (FL)",1,1,4,1,2223.60428998916,16,5
"Miami (OH)",0,2,0,6,746.874577185262,197,6
"Michigan",3,0,6,0,2625.41139601334,2,6
"Michigan State",0,2,2,3,1563.89050520845,83,5
"Middle Tennessee",2,0,4,1,1666.46341435199,67,5
"Minnesota",0,2,3,2,1811.52025327855,51,5
"Mississippi State",1,2,2,3,1331.31887974111,106,5
"Mississippi Valley State",0,0,0,1,831.263401959786,188,1
"Missouri",0,2,2,3,1797.43151390496,55,5
"Missouri State",0,0,0,1,1163.20968039052,141,1
"Monmouth",0,0,0,1,673.279363629896,203,1
"Montana State",0,0,0,1,825.633462292602,190,1
"Morgan State",0,0,0,1,746.994461259425,196,1
"Murray State",0,0,0,1,827.118116211963,189,1
"N Arizona",0,0,0,1,1181.85007976284,130,1
"N Colorado",0,0,0,1,858.181504674667,186,1
"Navy",0,0,4,1,1983.93113512767,36,5
"NC Central",0,0,0,2,1112.5050969154,153,2
"Nebraska",2,0,5,0,2429.12450383378,8,5
"Nevada",1,2,3,4,1231.1430898905,116,7
"New Mexico",1,1,2,3,1148.05756115742,144,5
"New Mexico State",1,1,2,3,1091.36742868561,159,5
"Nicholls",0,0,0,2,988.894390153314,171,2
"North Carolina",2,1,4,2,2035.6061640596,31,6
"North Carolina A&T",0,0,1,1,1606.83614734783,78,2
"North Carolina State",1,0,4,1,1823.85059660478,45,5
"North Dakota",0,0,0,1,735.501176302295,200,1
"North Dakota St",0,0,1,0,1937.47394697471,40,1
"North Texas",2,1,3,3,1213.21363483753,119,6
"Northern Illinois",1,1,1,5,1112.94609208682,152,6
"Northern Iowa",0,0,1,0,1806.75089696903,53,1
"Northwestern",1,1,2,3,1653.05969620918,69,5
"Northwestern St",0,0,0,1,1192.71286634827,123,1
"Notre Dame",0,0,2,4,1242.26369238306,114,6
"Ohio",2,0,4,2,1397.22481343518,102,6
"Ohio State",2,0,5,0,2490.33607778452,7,5
"Oklahoma",2,0,3,2,1817.31297203896,48,5
"Oklahoma State",2,1,4,2,1774.82899289004,59,6
"Old Dominion",2,0,4,2,1600.71628673104,79,6
"Ole Miss",1,1,3,2,1873.32534437913,42,5
"Oregon",0,3,2,4,1637.21450390269,72,6
"Oregon State",1,1,2,3,1456.39904074992,96,5
"Penn State",2,1,4,2,1811.68993619381,50,6
"Pittsburgh",1,1,4,2,2028.16994203645,32,6
"Portland State",0,0,0,2,506.099235017317,208,2
"Prairie View",0,0,0,1,1197.41330971826,121,1
"Presbyterian",0,0,0,1,1103.59110373435,156,1
"Purdue",1,1,3,2,1177.33905307414,131,5
"Rice",0,3,0,5,573.793930202,206,5
"Richmond",0,0,1,0,1805.98062039062,54,1
"Rutgers",0,3,2,4,1450.24368019619,100,6
"S Carolina St",0,0,0,3,945.208111345137,182,3
"S Illinois",0,0,0,1,414.46234191707,210,1
"Sacramento St",0,0,0,1,488.97325066611,209,1
"San Diego State",1,0,4,1,1894.76465563749,41,5
"San Jose State",0,2,1,5,962.999838815537,178,6
"Savannah State",0,0,0,2,973.89879441678,177,2
"SE Louisiana",0,0,0,1,1166.25852041559,139,1
"SE Missouri St",0,0,0,1,1144.89011214376,147,1
"SF Austin",0,0,0,1,1149.71563539979,143,1
"SMU",0,2,2,4,1515.20407650356,89,6
"South Alabama",0,2,3,2,1557.24252519823,85,5
"South Carolina",1,4,2,4,1570.89017807578,82,6
"South Dakota",0,0,0,1,618.627069458644,205,1
"South Dakota St",0,0,0,1,1142.93468526727,148,1
"South Florida",2,0,5,1,1766.72429981272,60,6
"Southern",0,0,0,2,542.900219938368,207,2
"Southern Miss",2,1,4,2,1706.61689508968,64,6
"Southern Utah",0,0,0,1,1175.4461400407,134,1
"Stanford",2,2,3,2,2241.37342605169,14,5
"Stony Brook",0,0,0,1,775.115549001567,192,1
"Syracuse",0,2,2,4,1424.52866302675,101,6
"TCU",2,1,4,2,1650.97802509061,70,6
"Temple",1,1,3,3,1255.43172117291,112,6
"Tennessee",2,1,5,1,2523.6238197592,6,6
"Texas",0,2,2,3,1580.59358403505,80,5
