"Team","Score","Rank"
"Hawaii",-51.7339830724248,106
"Appalachian State",5.59345126191406,49
"Indiana",-4.21511743545418,59
"Oregon State",-13.7431946088359,67
"Rice",-427.09418956431,128
"South Carolina",-44.4962990932145,96
"Tulane",-7.24589738027939,62
"Charlotte",-52.4470887907306,107
"Ball State",-87.6231957537707,116
"Colorado State",-17.0186541252857,71
"Kansas State",0.904886213542046,54
"Toledo",30.9396952770235,31
"Army",-143.756703524335,123
"Boise State",119.927940326357,11
"Bowling Green",-48.5471176879177,100
"BYU",17.2381314605157,41
"Fresno State",-81.6536852950669,114
"UCLA",4.29807341440126,51
"Clemson",408.359411720143,2
"Georgia Tech",2.5228935264443,53
"Georgia",11.8501553743018,43
"Kent State",-42.2681412467974,94
"LSU",17.315453953174,40
"Louisiana Tech",-20.6123202027931,73
"Massachusetts",-60.4060108380143,110
"Miami (OH)",-335.672929880019,127
"Missouri",-3.13986242050809,57
"New Mexico State",-248.304544693517,126
"Northern Illinois",-61.7851403631172,111
"Oklahoma",4.53312145724124,50
"Rutgers",-24.2608273069295,76
"San Jose State",-142.731276919402,122
"South Alabama",-84.2252541290191,115
"USC",41.9764922781406,27
"SMU",-39.9635977638772,92
"Southern Miss",-21.8509648035304,74
"Texas State",-80.3542691309374,113
"Western Michigan",136.195919945729,8
"Notre Dame",-46.2928103253574,97
"Ole Miss",47.8600776855556,24
"Louisville",192.303538905993,7
"Maryland",21.4328827942682,36
"Akron",-8.77369776427256,63
"Arkansas State",-51.6830257322138,105
"Arkansas",8.81590795614717,47
"Boston College",-14.3545267263769,68
"California",3.90964103731837,52
"UCF",10.4330358568509,46
"Central Michigan",-12.6080452246723,65
"Cincinnati",-30.9189361370577,84
"Connecticut",-28.4974278215094,82
"Eastern Michigan",6.0226996295366,48
"Florida Atlantic",-91.1104606417453,118
"Georgia Southern",-40.0463391209453,93
"Georgia State",-57.028290639656,108
"Idaho",-25.1733684145803,77
"Iowa State",-57.7338858916948,109
"Kentucky",-13.2601931744271,66
"Middle Tennessee",-27.2990756258312,81
"North Carolina",22.5018633140872,35
"UNLV",-70.8292443444174,112
"Nevada",-89.8417073515141,117
"New Mexico",-95.7115619875332,119
"North Carolina State",74.8450818760461,19
"Louisiana-Monroe",-51.2341896022215,104
"Ohio",-20.4611307892681,72
"Old Dominion",-5.7466007453332,61
"Penn State",34.5121122697863,29
"Texas Tech",-2.11128173522042,55
"UTEP",-217.781554323229,125
"UTSA",-16.2372615320772,70
"Troy",27.7733581515138,33
"Tulsa",11.521084257684,45
"Utah State",-36.7237013310567,91
"Virginia Tech",101.000184319749,14
"Virginia",-34.3781245579253,89
"Wake Forest",33.3413305125089,30
"Washington State",17.9003013577331,39
"Western Kentucky",-26.0990200137403,79
"Wyoming",83.1849001770887,17
"Houston",50.9566782148551,23
"Alabama",216.056850165446,4
"Arizona State",73.618511747357,20
"Baylor",80.1328488728704,18
"Colorado",12.4872967489231,42
"East Carolina",-4.79232890137605,60
"Florida International",-101.000480825343,120
"Florida State",125.768779097707,10
"Kansas",-35.7454708832252,90
"Miami (FL)",56.7338072307884,21
"Michigan State",-25.1835520296206,78
"Mississippi State",-33.5609234456933,87
"North Texas",-47.476426706524,98
"Ohio State",106.767063283568,13
"Oregon",-15.2805454811942,69
"Pittsburgh",11.5996686641343,44
"San Diego State",-49.0559165983446,101
"South Florida",47.8348045765488,25
"Temple",-47.5976996890494,99
"Texas A&M",416.184797379566,1
"Navy",86.866494840868,15
"Vanderbilt",-31.0691072810694,85
"Buffalo",-119.72344915123,121
"Duke",-50.0070781188226,103
"Texas",-29.5675846944899,83
"Utah",38.6168209294929,28
"Florida",30.0660238660211,32
"Iowa",-22.0394093616794,75
"Nebraska",210.938404469137,5
"Oklahoma State",20.5695757604738,37
"Syracuse",-43.496706812058,95
"TCU",-2.29515146025423,56
"Wisconsin",51.1206927817738,22
"Louisiana-Lafayette",-183.348566817346,124
"Stanford",44.3586949068317,26
"Air Force",114.053569765412,12
"Washington",126.257365006957,9
"Illinois",-32.2021110204669,86
"Marshall",-49.7904700493444,102
"Memphis",19.6211359833247,38
"Minnesota",-3.94743274032696,58
"Northwestern",-9.42213259189525,64
"Purdue",-26.6040852317405,80
"Tennessee",205.440419448012,6
"Arizona",-33.5942451054128,88
"Michigan",289.34674324033,3
"Auburn",27.616033386719,34
"West Virginia",85.542487744252,16
